Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermAssetCharges,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,exchange,exchangeDataDelayedBy,marketState,twoHundredDayAverageChangePercent,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,regularMarketChangePercent,regularMarketDayRange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,fax,industry
t0,ITMC,-3668506.0,29884,,,109915,,113118,119589,2322,-182455,-182455,,-60682,,,,-3203,10772,193227,8450,292370,,113118,113118,100380.0,672498.0,5482971.0,-3568126.0,387302.0,1914845.0,52000.0,67680.0,-4399583.0,106959.0,-1.0,568.0,4287806.0,215248.0,106959.0,1036394.0,778072.0,653253.0,1195165.0,56571.0,660998.0,,-184084.0,33.0,218983.0,218983.0,762508.0,-14471.0,89.0,-233576.0,65188.0,92.0,-830880.0,-267644.0,,,-3509734.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.2385,finmb_60233148,Other OTC,Itoco Inc.,USD,110577,188540,0.21687499,13.387344,0.0162 - 0.3,-0.06692502,-0.22308339,0.0162,0.3,1517961600,-0.02,-0.122,0.21167222,0.021402776,0.10111283,0.20413755,0.028937444,37873,-1.9104507,15,America/New_York,EDT,-14400000,False,False,PNK,0,PRE,0.14175464,ITOCO INC,0.233075,1630517471,-0.005425006,0.235,0.23675,0.2305,8750,us_market,4,-2.2746356,0.2305 - 0.23675,-1.85,,,0.3,0.0162,0.2117,0.2041,110.58k,188.54k,29.88k,,,,,,,,,,,,,,,0.00%,"Feb 06, 2018",,1:30,"Feb 06, 2018","Dec 30, 2013","Sep 29, 2010",0.00%,0.00%,,,,,-97.60%,,,-2.26k,-0.0200,,568,0.01,3.13M,,,-0.12,,,Value,89501,Healthcare,"Itoco Inc. engages in the processing, production, and distribution of medical cannabis products. The company was formerly known as Itoco Mining Corporation and changed its name to Itoco Inc. in May 2018. Itoco Inc. is based in Reno, Nevada.",Reno,905-829-5000,NV,United States,http://www.itoco.net,86400,880-50 West Liberty Street,905-829-4144,Biotechnology
t-1,ITMC,-3900163.0,29884,,,-469849,,-578829,123005,398,-189046,-189046,,-112644,,,,108980,1787,190833,1389,-280803,,-578829,-578829,100883.0,604578.0,5811501.0,-3799280.0,585917.0,2012221.0,52000.0,82480.0,-4620826.0,164968.0,,15039.0,4920747.0,52570.0,164968.0,1066113.0,845225.0,692481.0,890754.0,55225.0,981937.0,,-1405492.0,1330888.0,788301.0,788301.0,-3931656.0,13660.0,-182.0,-2105347.0,114855.0,777.0,3097000.0,729971.0,-1504.0,,-4075522.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.2385,finmb_60233148,Other OTC,Itoco Inc.,USD,110577,188540,0.21687499,13.387344,0.0162 - 0.3,-0.06692502,-0.22308339,0.0162,0.3,1517961600,-0.02,-0.122,0.21167222,0.021402776,0.10111283,0.20413755,0.028937444,37873,-1.9104507,15,America/New_York,EDT,-14400000,False,False,PNK,0,PRE,0.14175464,ITOCO INC,0.233075,1630517471,-0.005425006,0.235,0.23675,0.2305,8750,us_market,4,-2.2746356,0.2305 - 0.23675,-1.85,,,0.3,0.0162,0.2117,0.2041,110.58k,188.54k,29.88k,,,,,,,,,,,,,,,0.00%,"Feb 06, 2018",,1:30,"Feb 06, 2018","Dec 30, 2013","Sep 29, 2010",0.00%,0.00%,,,,,-97.60%,,,-2.26k,-0.0200,,568,0.01,3.13M,,,-0.12,,,Value,89501,Healthcare,"Itoco Inc. engages in the processing, production, and distribution of medical cannabis products. The company was formerly known as Itoco Mining Corporation and changed its name to Itoco Inc. in May 2018. Itoco Inc. is based in Reno, Nevada.",Reno,905-829-5000,NV,United States,http://www.itoco.net,86400,880-50 West Liberty Street,905-829-4144,Biotechnology
t-2,ITMC,-3571543.0,29884,,,-195895,,-173333,129734,29017,-196313,-196313,,-112644,,,,-22562,40964,237277,11947,418,,-173333,-173333,126308.0,423437.0,6809625.0,-3445235.0,80350.0,3364390.0,52000.0,49540.0,-3910025.0,-10647.0,23163.0,1379.0,5675974.0,88896.0,-10647.0,2999776.0,215143.0,104168.0,1133651.0,60056.0,1462823.0,23163.0,-6025.0,1330888.0,165000.0,165000.0,-36427.0,868.0,30.0,-164162.0,95596.0,-170.0,-21241.0,-22562.0,-1504.0,,-5460831.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.2385,finmb_60233148,Other OTC,Itoco Inc.,USD,110577,188540,0.21687499,13.387344,0.0162 - 0.3,-0.06692502,-0.22308339,0.0162,0.3,1517961600,-0.02,-0.122,0.21167222,0.021402776,0.10111283,0.20413755,0.028937444,37873,-1.9104507,15,America/New_York,EDT,-14400000,False,False,PNK,0,PRE,0.14175464,ITOCO INC,0.233075,1630517471,-0.005425006,0.235,0.23675,0.2305,8750,us_market,4,-2.2746356,0.2305 - 0.23675,-1.85,,,0.3,0.0162,0.2117,0.2041,110.58k,188.54k,29.88k,,,,,,,,,,,,,,,0.00%,"Feb 06, 2018",,1:30,"Feb 06, 2018","Dec 30, 2013","Sep 29, 2010",0.00%,0.00%,,,,,-97.60%,,,-2.26k,-0.0200,,568,0.01,3.13M,,,-0.12,,,Value,89501,Healthcare,"Itoco Inc. engages in the processing, production, and distribution of medical cannabis products. The company was formerly known as Itoco Mining Corporation and changed its name to Itoco Inc. in May 2018. Itoco Inc. is based in Reno, Nevada.",Reno,905-829-5000,NV,United States,http://www.itoco.net,86400,880-50 West Liberty Street,905-829-4144,Biotechnology
t-3,ITMC,-3461619.0,29884,,,-1801464,,-1819134,929253,-58696,-1327978,-1327978,-202209.0,-456218,,,,17670,126204,1454182,184900,-473486,,-1819134,-1819134,126492.0,258437.0,6615596.0,-3335127.0,67105.0,3280469.0,52000.0,43906.0,-3736692.0,91128.0,,511.0,5514945.0,86308.0,91128.0,3003086.0,150891.0,48334.0,1100651.0,58140.0,1370754.0,,361255.0,16229.0,-216098.0,-216098.0,1304756.0,436.0,-456386.0,656691.0,227119.0,39288.0,195970.0,347437.0,-1504.0,13104.0,-5364054.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.2385,finmb_60233148,Other OTC,Itoco Inc.,USD,110577,188540,0.21687499,13.387344,0.0162 - 0.3,-0.06692502,-0.22308339,0.0162,0.3,1517961600,-0.02,-0.122,0.21167222,0.021402776,0.10111283,0.20413755,0.028937444,37873,-1.9104507,15,America/New_York,EDT,-14400000,False,False,PNK,0,PRE,0.14175464,ITOCO INC,0.233075,1630517471,-0.005425006,0.235,0.23675,0.2305,8750,us_market,4,-2.2746356,0.2305 - 0.23675,-1.85,,,0.3,0.0162,0.2117,0.2041,110.58k,188.54k,29.88k,,,,,,,,,,,,,,,0.00%,"Feb 06, 2018",,1:30,"Feb 06, 2018","Dec 30, 2013","Sep 29, 2010",0.00%,0.00%,,,,,-97.60%,,,-2.26k,-0.0200,,568,0.01,3.13M,,,-0.12,,,Value,89501,Healthcare,"Itoco Inc. engages in the processing, production, and distribution of medical cannabis products. The company was formerly known as Itoco Mining Corporation and changed its name to Itoco Inc. in May 2018. Itoco Inc. is based in Reno, Nevada.",Reno,905-829-5000,NV,United States,http://www.itoco.net,86400,880-50 West Liberty Street,905-829-4144,Biotechnology
