Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,accountsPayable,intangibleAssets,otherCurrentLiab,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToOperatingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,marketState,shortName,market,exchangeDataDelayedBy,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,JADG,-470358.0,12000400,,,-46004,,-46004,46004,0,-46004,-46004,,,,,,0,0,46004,0,0,,-46004,-46004,1645479.0,480163.0,-470358.0,9805.0,1200.0,-2117037.0,4135.0,480163.0,5670.0,4135.0,21257.0,,,28508.0,11080.0,11080.0,-5437.0,-16517.0,979.0,,,-476028.0,en-US,US,EQUITY,False,Delayed Quote,USD,1593442740,1593532800,-0.018,-0.039,0.05517143,-0.05287143,-0.95831174,0.09376811,-0.09146811,-0.9754714,27600,-0.05897436,15,America/New_York,EDT,-14400000,4,0.0,0.0023 - 0.0023,0.0023,0.0,0.0,0,0,finmb_130882816,PRE,JADE GLOBAL HOLDINGS INC,us_market,0,PNK,False,False,0.0023,1629830908,0.0,0.0023,0.0023,0.0023,147,Other OTC,"Jade Global Holdings, Inc.",USD,104,14,0.00029999996,0.14999998,0.002 - 0.57,-0.56769997,-0.9959649,0.002,0.57,1488758400,2.84,,,0.57,0.002,0.0552,0.0938,104,14,12M,,3.73M,68.93%,0.00%,,,,,,,,,,,0.00%,"Mar 05, 2017",,1:20,"Mar 05, 2017","Dec 30, 2019","Dec 30, 2019",0.00%,0.00%,-638.52%,,,,,,-210.83k,-214.96k,-0.0180,,4.13k,0,360.41k,,0.01,-0.04,-107.37k,-26.89k,Value,33156,Consumer Cyclical,"Jade Global Holdings, Inc. focuses on wholesale and retail trade of jade and jade products through retail stores and online Website. The company was formerly known as Media Analytics Corporation and changed its name Jade Global Holdings, Inc. to in January 2017. Jade Global Holdings, Inc. was founded in 2011 and is based in Miami, Florida.",Miami,786 363 0136,FL,1577750400,United States,http://www.jadeglobalholdings.com,86400,8950 SW 74 Court,Specialty Retail,Suite 2201-A44
t-1,JADG,-424354.0,12000400,,,-44409,,-44409,44409,0,-44409,-44409,,,,,,0,0,44409,0,0,,-44409,-44409,1645479.0,440575.0,-424354.0,16221.0,1200.0,-2071033.0,9572.0,440575.0,6649.0,9572.0,13749.0,,,26495.0,11000.0,11000.0,-5988.0,-16988.0,926.0,,,-431003.0,en-US,US,EQUITY,False,Delayed Quote,USD,1593442740,1593532800,-0.018,-0.039,0.05517143,-0.05287143,-0.95831174,0.09376811,-0.09146811,-0.9754714,27600,-0.05897436,15,America/New_York,EDT,-14400000,4,0.0,0.0023 - 0.0023,0.0023,0.0,0.0,0,0,finmb_130882816,PRE,JADE GLOBAL HOLDINGS INC,us_market,0,PNK,False,False,0.0023,1629830908,0.0,0.0023,0.0023,0.0023,147,Other OTC,"Jade Global Holdings, Inc.",USD,104,14,0.00029999996,0.14999998,0.002 - 0.57,-0.56769997,-0.9959649,0.002,0.57,1488758400,2.84,,,0.57,0.002,0.0552,0.0938,104,14,12M,,3.73M,68.93%,0.00%,,,,,,,,,,,0.00%,"Mar 05, 2017",,1:20,"Mar 05, 2017","Dec 30, 2019","Dec 30, 2019",0.00%,0.00%,-638.52%,,,,,,-210.83k,-214.96k,-0.0180,,4.13k,0,360.41k,,0.01,-0.04,-107.37k,-26.89k,Value,33156,Consumer Cyclical,"Jade Global Holdings, Inc. focuses on wholesale and retail trade of jade and jade products through retail stores and online Website. The company was formerly known as Media Analytics Corporation and changed its name Jade Global Holdings, Inc. to in January 2017. Jade Global Holdings, Inc. was founded in 2011 and is based in Miami, Florida.",Miami,786 363 0136,FL,1577750400,United States,http://www.jadeglobalholdings.com,86400,8950 SW 74 Court,Specialty Retail,Suite 2201-A44
t-2,JADG,-379945.0,12000400,,,-42357,,-42357,42007,0,-42007,-42007,,,,,,0,0,42007,0,-350,,-42357,-42357,1645479.0,403080.0,-379945.0,23135.0,1200.0,-2026624.0,15560.0,403080.0,7575.0,15560.0,8254.0,,,21769.0,67475.0,67475.0,3046.0,-64429.0,1284.0,-45475.0,350.0,-387520.0,en-US,US,EQUITY,False,Delayed Quote,USD,1593442740,1593532800,-0.018,-0.039,0.05517143,-0.05287143,-0.95831174,0.09376811,-0.09146811,-0.9754714,27600,-0.05897436,15,America/New_York,EDT,-14400000,4,0.0,0.0023 - 0.0023,0.0023,0.0,0.0,0,0,finmb_130882816,PRE,JADE GLOBAL HOLDINGS INC,us_market,0,PNK,False,False,0.0023,1629830908,0.0,0.0023,0.0023,0.0023,147,Other OTC,"Jade Global Holdings, Inc.",USD,104,14,0.00029999996,0.14999998,0.002 - 0.57,-0.56769997,-0.9959649,0.002,0.57,1488758400,2.84,,,0.57,0.002,0.0552,0.0938,104,14,12M,,3.73M,68.93%,0.00%,,,,,,,,,,,0.00%,"Mar 05, 2017",,1:20,"Mar 05, 2017","Dec 30, 2019","Dec 30, 2019",0.00%,0.00%,-638.52%,,,,,,-210.83k,-214.96k,-0.0180,,4.13k,0,360.41k,,0.01,-0.04,-107.37k,-26.89k,Value,33156,Consumer Cyclical,"Jade Global Holdings, Inc. focuses on wholesale and retail trade of jade and jade products through retail stores and online Website. The company was formerly known as Media Analytics Corporation and changed its name Jade Global Holdings, Inc. to in January 2017. Jade Global Holdings, Inc. was founded in 2011 and is based in Miami, Florida.",Miami,786 363 0136,FL,1577750400,United States,http://www.jadeglobalholdings.com,86400,8950 SW 74 Court,Specialty Retail,Suite 2201-A44
t-3,JADG,-337938.0,12000400,,,-82193,,-82193,82194,0,-82194,-82194,,,,,,0,0,82194,0,1,,-82193,-82193,1645479.0,359311.0,-337588.0,21723.0,1200.0,-1984267.0,12514.0,359311.0,8859.0,12514.0,5485.0,350.0,316326.0,26231.0,67475.0,67475.0,-9437.0,-9437.0,590.0,45935.0,350.0,-346797.0,en-US,US,EQUITY,False,Delayed Quote,USD,1593442740,1593532800,-0.018,-0.039,0.05517143,-0.05287143,-0.95831174,0.09376811,-0.09146811,-0.9754714,27600,-0.05897436,15,America/New_York,EDT,-14400000,4,0.0,0.0023 - 0.0023,0.0023,0.0,0.0,0,0,finmb_130882816,PRE,JADE GLOBAL HOLDINGS INC,us_market,0,PNK,False,False,0.0023,1629830908,0.0,0.0023,0.0023,0.0023,147,Other OTC,"Jade Global Holdings, Inc.",USD,104,14,0.00029999996,0.14999998,0.002 - 0.57,-0.56769997,-0.9959649,0.002,0.57,1488758400,2.84,,,0.57,0.002,0.0552,0.0938,104,14,12M,,3.73M,68.93%,0.00%,,,,,,,,,,,0.00%,"Mar 05, 2017",,1:20,"Mar 05, 2017","Dec 30, 2019","Dec 30, 2019",0.00%,0.00%,-638.52%,,,,,,-210.83k,-214.96k,-0.0180,,4.13k,0,360.41k,,0.01,-0.04,-107.37k,-26.89k,Value,33156,Consumer Cyclical,"Jade Global Holdings, Inc. focuses on wholesale and retail trade of jade and jade products through retail stores and online Website. The company was formerly known as Media Analytics Corporation and changed its name Jade Global Holdings, Inc. to in January 2017. Jade Global Holdings, Inc. was founded in 2011 and is based in Miami, Florida.",Miami,786 363 0136,FL,1577750400,United States,http://www.jadeglobalholdings.com,86400,8950 SW 74 Court,Specialty Retail,Suite 2201-A44
