Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,commonStock,retainedEarnings,totalCurrentLiabilities,accountsPayable,intangibleAssets,deferredLongTermLiab,totalAssets,treasuryStock,otherAssets,cash,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,changeToLiabilities,changeToOperatingActivities,changeToNetincome,netBorrowings,totalCashFromFinancingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,marketState,shortName,market,exchangeDataDelayedBy,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Dec 13, 2012) 4","Short Ratio (Dec 13, 2012) 4","Short % of Float (Dec 13, 2012) 4","Short % of Shares Outstanding (Dec 13, 2012) 4","Shares Short (prior month Nov 14, 2012) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,HGYN,-32660.0,74641296,,,-20760,,-20760,20760,0,-20760,-20760,,,,,,0,0,20760,0,0,,-20760,-20760,97186036.0,27660.0,-32660.0,27244.0,74641.0,-97293337.0,27660.0,416.0,,,,,,,,,,,,,,-184.0,20944.0,,,,,,,,,,,,en-US,US,EQUITY,False,Delayed Quote,USD,0.25121695,0.008783042,0.034961984,0.24542643,0.014573559,0.05938056,19406736,15,America/New_York,EDT,-14400000,4,3.9999962,0.245 - 0.26,0.25,finmb_22941499,PRE,HONG YUAN HOLDING GROUP,us_market,0,PNK,False,False,0.26,1630526386,0.00999999,0.25,0.26,0.245,64321,Other OTC,"Cereplast, Inc.",USD,420262,61283,0.2445,15.774194,0.0155 - 1.47,-1.21,-0.82312924,0.0155,1.47,2.92,,,1.47,0.0155,0.2512,0.2454,420.26k,61.28k,74.64M,,,0.00%,0.00%,5.49k,0.14,0.88%,0.80%,4.13k,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,,,,,,,,-33.56k,,,,,,,,,,,Value,450000,Financial Services,"Cereplast, Inc. does not have significant operation. Previously, it was involved in the development and are commercialization of bio-based resins. The company was incorporated in 2001 and is based in Zhengzhou, China.",Zhengzhou,86 189 9925 0338,1609372800,China,86400,Global Mansion,Shell Companies,Room 2707 Zhengbian Road Jishui District
t-1,HGYN,25823.0,74641296,,,-4842,,-4842,5066,0,-5066,-5066,,,,,,0,0,5066,0,224,,-4842,-4842,,,25823.0,,,,,,,,,,,,,,,,,,,0.0,5066.0,-224.0,,,,,,,,,,,en-US,US,EQUITY,False,Delayed Quote,USD,0.25121695,0.008783042,0.034961984,0.24542643,0.014573559,0.05938056,19406736,15,America/New_York,EDT,-14400000,4,3.9999962,0.245 - 0.26,0.25,finmb_22941499,PRE,HONG YUAN HOLDING GROUP,us_market,0,PNK,False,False,0.26,1630526386,0.00999999,0.25,0.26,0.245,64321,Other OTC,"Cereplast, Inc.",USD,420262,61283,0.2445,15.774194,0.0155 - 1.47,-1.21,-0.82312924,0.0155,1.47,2.92,,,1.47,0.0155,0.2512,0.2454,420.26k,61.28k,74.64M,,,0.00%,0.00%,5.49k,0.14,0.88%,0.80%,4.13k,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,,,,,,,,-33.56k,,,,,,,,,,,Value,450000,Financial Services,"Cereplast, Inc. does not have significant operation. Previously, it was involved in the development and are commercialization of bio-based resins. The company was incorporated in 2001 and is based in Zhengzhou, China.",Zhengzhou,86 189 9925 0338,1609372800,China,86400,Global Mansion,Shell Companies,Room 2707 Zhengbian Road Jishui District
t-2,HGYN,-22663000.0,74641296,75000.0,,-7271000,4000.0,-7271000,1134000,54000,-1155000,-1155000,,-2112000.0,,,,0,436000,1591000,382000,-6116000,,-7271000,-7271000,96416000.0,34511000.0,-22424000.0,15142000.0,811000.0,-121136000.0,26891000.0,920000.0,239000.0,350000.0,14304000.0,1485000.0,398000.0,233000.0,7346000.0,1485000.0,6492000.0,7175000.0,1021000.0,7500000.0,5722000.0,-48000.0,242000.0,4091000.0,-74000.0,1176000.0,10000.0,-290000.0,-876000.0,230000.0,-241000.0,145000.0,,-19716000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.25121695,0.008783042,0.034961984,0.24542643,0.014573559,0.05938056,19406736,15,America/New_York,EDT,-14400000,4,3.9999962,0.245 - 0.26,0.25,finmb_22941499,PRE,HONG YUAN HOLDING GROUP,us_market,0,PNK,False,False,0.26,1630526386,0.00999999,0.25,0.26,0.245,64321,Other OTC,"Cereplast, Inc.",USD,420262,61283,0.2445,15.774194,0.0155 - 1.47,-1.21,-0.82312924,0.0155,1.47,2.92,,,1.47,0.0155,0.2512,0.2454,420.26k,61.28k,74.64M,,,0.00%,0.00%,5.49k,0.14,0.88%,0.80%,4.13k,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,,,,,,,,-33.56k,,,,,,,,,,,Value,450000,Financial Services,"Cereplast, Inc. does not have significant operation. Previously, it was involved in the development and are commercialization of bio-based resins. The company was incorporated in 2001 and is based in Zhengzhou, China.",Zhengzhou,86 189 9925 0338,1609372800,China,86400,Global Mansion,Shell Companies,Room 2707 Zhengbian Road Jishui District
t-3,HGYN,-20122000.0,74641296,114000.0,,-8716000,4000.0,-8716000,1159000,93000,-1180000,-1180000,,-1442000.0,,,,0,747000,1927000,654000,-7536000,,-8716000,-8716000,92738000.0,33550000.0,-19881000.0,13739000.0,622000.0,-113865000.0,24791000.0,968000.0,241000.0,484000.0,14886000.0,624000.0,532000.0,223000.0,6581000.0,624000.0,7102000.0,7011000.0,1166000.0,8628000.0,5444000.0,143000.0,819000.0,6166000.0,-15000.0,715000.0,30000.0,-114000.0,-571000.0,221000.0,606000.0,-586000.0,-20000.0,-17780000.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.25121695,0.008783042,0.034961984,0.24542643,0.014573559,0.05938056,19406736,15,America/New_York,EDT,-14400000,4,3.9999962,0.245 - 0.26,0.25,finmb_22941499,PRE,HONG YUAN HOLDING GROUP,us_market,0,PNK,False,False,0.26,1630526386,0.00999999,0.25,0.26,0.245,64321,Other OTC,"Cereplast, Inc.",USD,420262,61283,0.2445,15.774194,0.0155 - 1.47,-1.21,-0.82312924,0.0155,1.47,2.92,,,1.47,0.0155,0.2512,0.2454,420.26k,61.28k,74.64M,,,0.00%,0.00%,5.49k,0.14,0.88%,0.80%,4.13k,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,,,,,,,,-33.56k,,,,,,,,,,,Value,450000,Financial Services,"Cereplast, Inc. does not have significant operation. Previously, it was involved in the development and are commercialization of bio-based resins. The company was incorporated in 2001 and is based in Zhengzhou, China.",Zhengzhou,86 189 9925 0338,1609372800,China,86400,Global Mansion,Shell Companies,Room 2707 Zhengbian Road Jishui District
