Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,otherLiab,changeToLiabilities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,totalCashflowsFromInvestingActivities,netBorrowings,repurchaseOfStock,depreciation,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,shortName,esgPopulated,tradeable,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchangeDataDelayedBy,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,longName,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,FPVTF,603723.0,30964100,,,-131605,,-131605,70296,0,-121843,-121843,,,,,,0,0,121843,0,-9762,,-131605,-131605,169729.0,603723.0,3732.0,773452.0,14426713.0,-19244153.0,5421163.0,639199.0,169729.0,5421163.0,4743.0,768709.0,37299.0,165997.0,,126940.0,637000.0,-72980.0,685000.0,549391.0,-87608.0,-9964.0,-48000.0,1.0,,,,,,598980.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,GOLDEN PURSUIT RESOURCES LTD,False,False,PNK,0.12,1629226896,0.0,0.12,0.12,0.12,50,POST,0,4,0.0,0.12 - 0.12,0.12,finmb_2492829,Golden Pursuit Resources Ltd.,Other OTC,CAD,3664,0,0.019999996,0.19999996,0.1 - 0.19,-0.07,-0.36842105,0.1,0.19,1586390400,-0.035,0.021,0.11805555,0.0019444451,0.016470594,0.11978261,0.00021738559,0.0018148343,3986052,5.714286,15,America/New_York,EDT,-14400000,-0.9,,,0.19,0.1,0.1181,0.1198,3.66k,,30.96M,,22.99M,29.38%,0.00%,,,,,,,,,,,,"Apr 08, 2020",,,,"Sep 29, 2020","Dec 30, 2020",0.00%,0.00%,-48.37%,,,,,,-305.93k,-955.89k,-0.0350,,639.2k,0.02,,,4.53,0.02,-489.12k,-738.56k,Value,V5Z 4B7,,"Golden Pursuit Resources Ltd., a mineral exploration company, engages in the acquisition, exploration, and development of mineral properties, primarily precious metals in Nevada. It holds interests in various territorial and federal mineral claims located in Gordon Lake. The company was formerly known as Silver Pursuit Resources Ltd. and changed its name to Golden Pursuit Resources Ltd. in June 2018. Golden Pursuit Resources Ltd. was founded in 1992 and is headquartered in Vancouver, Canada.",Vancouver,604-730-6982,BC,1577750400,Canada,http://www.goldpursuit.ca,86400,652 Millbank,
t-1,FPVTF,98329.0,30964100,,,-650259,,-650259,29825,0,-50361,-50361,,-10787.0,,,,0,0,50361,0,-599898,,-650259,-650259,68899.0,98329.0,29842.0,167228.0,13789713.0,-19112547.0,5421163.0,89808.0,68899.0,5421163.0,4743.0,162485.0,49077.0,31054.0,,-97844.0,-44214.0,-10999.0,685000.0,-161578.0,-150653.0,-1025.0,106321.0,588938.0,33289.0,-44214.0,-106321.0,20536.0,33289.0,93586.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,GOLDEN PURSUIT RESOURCES LTD,False,False,PNK,0.12,1629226896,0.0,0.12,0.12,0.12,50,POST,0,4,0.0,0.12 - 0.12,0.12,finmb_2492829,Golden Pursuit Resources Ltd.,Other OTC,CAD,3664,0,0.019999996,0.19999996,0.1 - 0.19,-0.07,-0.36842105,0.1,0.19,1586390400,-0.035,0.021,0.11805555,0.0019444451,0.016470594,0.11978261,0.00021738559,0.0018148343,3986052,5.714286,15,America/New_York,EDT,-14400000,-0.9,,,0.19,0.1,0.1181,0.1198,3.66k,,30.96M,,22.99M,29.38%,0.00%,,,,,,,,,,,,"Apr 08, 2020",,,,"Sep 29, 2020","Dec 30, 2020",0.00%,0.00%,-48.37%,,,,,,-305.93k,-955.89k,-0.0350,,639.2k,0.02,,,4.53,0.02,-489.12k,-738.56k,Value,V5Z 4B7,,"Golden Pursuit Resources Ltd., a mineral exploration company, engages in the acquisition, exploration, and development of mineral properties, primarily precious metals in Nevada. It holds interests in various territorial and federal mineral claims located in Gordon Lake. The company was formerly known as Silver Pursuit Resources Ltd. and changed its name to Golden Pursuit Resources Ltd. in June 2018. Golden Pursuit Resources Ltd. was founded in 1992 and is headquartered in Vancouver, Canada.",Vancouver,604-730-6982,BC,1577750400,Canada,http://www.goldpursuit.ca,86400,652 Millbank,
t-2,FPVTF,-288945.0,30964100,,,-120651,,-120651,81103,0,-91620,-91620,,-7530.0,,,,0,0,91620,0,-29031,,-120651,-120651,569158.0,-288945.0,476059.0,280213.0,12850245.0,-18462290.0,5323100.0,251386.0,569157.0,5323100.0,15774.0,264439.0,13053.0,53098.0,1.0,-116459.0,494284.0,-6507.0,494284.0,248129.0,-246155.0,-2539.0,106321.0,-1.0,33289.0,-44214.0,-106321.0,20536.0,33289.0,-304718.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,GOLDEN PURSUIT RESOURCES LTD,False,False,PNK,0.12,1629226896,0.0,0.12,0.12,0.12,50,POST,0,4,0.0,0.12 - 0.12,0.12,finmb_2492829,Golden Pursuit Resources Ltd.,Other OTC,CAD,3664,0,0.019999996,0.19999996,0.1 - 0.19,-0.07,-0.36842105,0.1,0.19,1586390400,-0.035,0.021,0.11805555,0.0019444451,0.016470594,0.11978261,0.00021738559,0.0018148343,3986052,5.714286,15,America/New_York,EDT,-14400000,-0.9,,,0.19,0.1,0.1181,0.1198,3.66k,,30.96M,,22.99M,29.38%,0.00%,,,,,,,,,,,,"Apr 08, 2020",,,,"Sep 29, 2020","Dec 30, 2020",0.00%,0.00%,-48.37%,,,,,,-305.93k,-955.89k,-0.0350,,639.2k,0.02,,,4.53,0.02,-489.12k,-738.56k,Value,V5Z 4B7,,"Golden Pursuit Resources Ltd., a mineral exploration company, engages in the acquisition, exploration, and development of mineral properties, primarily precious metals in Nevada. It holds interests in various territorial and federal mineral claims located in Gordon Lake. The company was formerly known as Silver Pursuit Resources Ltd. and changed its name to Golden Pursuit Resources Ltd. in June 2018. Golden Pursuit Resources Ltd. was founded in 1992 and is headquartered in Vancouver, Canada.",Vancouver,604-730-6982,BC,1577750400,Canada,http://www.goldpursuit.ca,86400,652 Millbank,
t-3,FPVTF,-682579.0,30964100,,,-53380,,-53380,48073,0,-48073,-48073,,-7530.0,,,,0,0,48073,0,-5307,,-53380,-53380,712125.0,-682579.0,411514.0,29546.0,12335960.0,-18341639.0,5323100.0,3258.0,712124.0,5323100.0,15774.0,13772.0,10514.0,240610.0,1.0,48943.0,494284.0,1500.0,494284.0,-4701.0,-4701.0,-1764.0,106321.0,-1.0,33289.0,-44214.0,-106321.0,20536.0,33289.0,-698352.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,GOLDEN PURSUIT RESOURCES LTD,False,False,PNK,0.12,1629226896,0.0,0.12,0.12,0.12,50,POST,0,4,0.0,0.12 - 0.12,0.12,finmb_2492829,Golden Pursuit Resources Ltd.,Other OTC,CAD,3664,0,0.019999996,0.19999996,0.1 - 0.19,-0.07,-0.36842105,0.1,0.19,1586390400,-0.035,0.021,0.11805555,0.0019444451,0.016470594,0.11978261,0.00021738559,0.0018148343,3986052,5.714286,15,America/New_York,EDT,-14400000,-0.9,,,0.19,0.1,0.1181,0.1198,3.66k,,30.96M,,22.99M,29.38%,0.00%,,,,,,,,,,,,"Apr 08, 2020",,,,"Sep 29, 2020","Dec 30, 2020",0.00%,0.00%,-48.37%,,,,,,-305.93k,-955.89k,-0.0350,,639.2k,0.02,,,4.53,0.02,-489.12k,-738.56k,Value,V5Z 4B7,,"Golden Pursuit Resources Ltd., a mineral exploration company, engages in the acquisition, exploration, and development of mineral properties, primarily precious metals in Nevada. It holds interests in various territorial and federal mineral claims located in Gordon Lake. The company was formerly known as Silver Pursuit Resources Ltd. and changed its name to Golden Pursuit Resources Ltd. in June 2018. Golden Pursuit Resources Ltd. was founded in 1992 and is headquartered in Vancouver, Canada.",Vancouver,604-730-6982,BC,1577750400,Canada,http://www.goldpursuit.ca,86400,652 Millbank,
