Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,currency,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,exchange,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,market,marketState,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,FMPR,-168303.0,127300000,,,-42098,,-42098,48511,13465,-35046,-35046,,-7051,,,,0,17384,52430,3919,-7052,,-42098,-42098,200.0,442700.0,-168303.0,28353.0,274397.0,127300.0,1.0,-295803.0,1.0,100000.0,1469.0,442699.0,174397.0,172927.0,35819.0,0.0,23998.0,23998.0,37051.0,-1363.0,-25361.0,-20314.0,,-268302.0,en-US,US,EQUITY,False,Delayed Quote,0.0,2.01 - 2.01,2.01,0.0,0.0,0,0,finmb_79144797,Other OTC,"Fame Productions, Inc.",USD,4,33,1.8299999,10.166666,0.18 - 2.01,0.0,0.0,0.18,2.01,-0.001,USD,4,-0.001,1.0277778,0.9822222,0.95567566,0.8848551,1.125145,1.2715584,255872992,-2009.9999,15,America/New_York,EDT,-14400000,PNK,0,False,False,2.01,1630420279,0.0,2.0,2.01,2.01,100,FAME PRODUCTIONS INC,us_market,POST,-3.05,,,2.01,0.18,1.0278,0.8849,4,33,127.3M,,,,,,,,,,,,,,,,,,,,"Dec 30, 2010","Jun 29, 2011",-95.37%,-67.44%,-15.13%,,99.31k,0.00,,69.7k,,-94.72k,-0.0010,,1.47k,0,378.53k,,0.39,-0.00,-30.06k,-143.21k,Value,10034,Communication Services,3,"Fame Productions, Inc., a media company, acquires, develops, and operates underserved and underdeveloped urban media assets and brands that serve various markets. It focuses on the ownership and operation of multi-media brands, intellectual property, and content development. The company develops and analyzes brand strategies to meet the changing needs of marketing in a post digital millennial. It also works with clients, advertisers, and sponsors to develop intellectual property, as well as integrated programs that include retail events, consumer engagement experiences, and sampling opportunities followed up with post-event content. In addition, the company creates custom content for various media platforms, as well as distribution and amplification of those assets to the consumer market place. Fame Productions, Inc. is based in New York, New York.",New York,646-504-3263,NY,United States,http://www.fameproinc.com,86400,33 Indian Road,Publishing,Suite 3k
t-1,FMPR,-126205.0,127300000,,,-26793,,-26793,32116,12229,-19887,-19887,,-6906,,,,0,12229,32116,0,-6906,,-26793,-26793,200.0,411650.0,-126205.0,28352.0,285445.0,127300.0,,-253705.0,,130000.0,2832.0,411650.0,155445.0,152613.0,28769.0,0.0,3350.0,3350.0,36906.0,2645.0,-705.0,-10818.0,,-256205.0,en-US,US,EQUITY,False,Delayed Quote,0.0,2.01 - 2.01,2.01,0.0,0.0,0,0,finmb_79144797,Other OTC,"Fame Productions, Inc.",USD,4,33,1.8299999,10.166666,0.18 - 2.01,0.0,0.0,0.18,2.01,-0.001,USD,4,-0.001,1.0277778,0.9822222,0.95567566,0.8848551,1.125145,1.2715584,255872992,-2009.9999,15,America/New_York,EDT,-14400000,PNK,0,False,False,2.01,1630420279,0.0,2.0,2.01,2.01,100,FAME PRODUCTIONS INC,us_market,POST,-3.05,,,2.01,0.18,1.0278,0.8849,4,33,127.3M,,,,,,,,,,,,,,,,,,,,"Dec 30, 2010","Jun 29, 2011",-95.37%,-67.44%,-15.13%,,99.31k,0.00,,69.7k,,-94.72k,-0.0010,,1.47k,0,378.53k,,0.39,-0.00,-30.06k,-143.21k,Value,10034,Communication Services,3,"Fame Productions, Inc., a media company, acquires, develops, and operates underserved and underdeveloped urban media assets and brands that serve various markets. It focuses on the ownership and operation of multi-media brands, intellectual property, and content development. The company develops and analyzes brand strategies to meet the changing needs of marketing in a post digital millennial. It also works with clients, advertisers, and sponsors to develop intellectual property, as well as integrated programs that include retail events, consumer engagement experiences, and sampling opportunities followed up with post-event content. In addition, the company creates custom content for various media platforms, as well as distribution and amplification of those assets to the consumer market place. Fame Productions, Inc. is based in New York, New York.",New York,646-504-3263,NY,United States,http://www.fameproinc.com,86400,33 Indian Road,Publishing,Suite 3k
t-2,FMPR,-99411.0,127300000,,,-67178,,-67178,45489,-14727,-60216,-60216,,-6961,,,,0,-14727,45489,0,-6962,,-67178,-67178,200.0,401393.0,-99411.0,28353.0,301982.0,127300.0,-1.0,-226911.0,-1.0,160000.0,188.0,401394.0,141982.0,141795.0,21862.0,0.0,10400.0,3350.0,63650.0,-102.0,-102.0,3426.0,-10400.0,-259412.0,en-US,US,EQUITY,False,Delayed Quote,0.0,2.01 - 2.01,2.01,0.0,0.0,0,0,finmb_79144797,Other OTC,"Fame Productions, Inc.",USD,4,33,1.8299999,10.166666,0.18 - 2.01,0.0,0.0,0.18,2.01,-0.001,USD,4,-0.001,1.0277778,0.9822222,0.95567566,0.8848551,1.125145,1.2715584,255872992,-2009.9999,15,America/New_York,EDT,-14400000,PNK,0,False,False,2.01,1630420279,0.0,2.0,2.01,2.01,100,FAME PRODUCTIONS INC,us_market,POST,-3.05,,,2.01,0.18,1.0278,0.8849,4,33,127.3M,,,,,,,,,,,,,,,,,,,,"Dec 30, 2010","Jun 29, 2011",-95.37%,-67.44%,-15.13%,,99.31k,0.00,,69.7k,,-94.72k,-0.0010,,1.47k,0,378.53k,,0.39,-0.00,-30.06k,-143.21k,Value,10034,Communication Services,3,"Fame Productions, Inc., a media company, acquires, develops, and operates underserved and underdeveloped urban media assets and brands that serve various markets. It focuses on the ownership and operation of multi-media brands, intellectual property, and content development. The company develops and analyzes brand strategies to meet the changing needs of marketing in a post digital millennial. It also works with clients, advertisers, and sponsors to develop intellectual property, as well as integrated programs that include retail events, consumer engagement experiences, and sampling opportunities followed up with post-event content. In addition, the company creates custom content for various media platforms, as well as distribution and amplification of those assets to the consumer market place. Fame Productions, Inc. is based in New York, New York.",New York,646-504-3263,NY,United States,http://www.fameproinc.com,86400,33 Indian Road,Publishing,Suite 3k
t-3,FMPR,-32234.0,127300000,,,41354,,41354,36259,84428,48169,48169,,-6815,,,,0,84428,36259,0,-6815,,41354,41354,200.0,379304.0,-32234.0,28353.0,347070.0,127300.0,,-159734.0,,190000.0,290.0,379304.0,157070.0,156780.0,10172.0,0.0,10400.0,1500.0,-112317.0,-2395.0,-3895.0,67068.0,1500.0,-222234.0,en-US,US,EQUITY,False,Delayed Quote,0.0,2.01 - 2.01,2.01,0.0,0.0,0,0,finmb_79144797,Other OTC,"Fame Productions, Inc.",USD,4,33,1.8299999,10.166666,0.18 - 2.01,0.0,0.0,0.18,2.01,-0.001,USD,4,-0.001,1.0277778,0.9822222,0.95567566,0.8848551,1.125145,1.2715584,255872992,-2009.9999,15,America/New_York,EDT,-14400000,PNK,0,False,False,2.01,1630420279,0.0,2.0,2.01,2.01,100,FAME PRODUCTIONS INC,us_market,POST,-3.05,,,2.01,0.18,1.0278,0.8849,4,33,127.3M,,,,,,,,,,,,,,,,,,,,"Dec 30, 2010","Jun 29, 2011",-95.37%,-67.44%,-15.13%,,99.31k,0.00,,69.7k,,-94.72k,-0.0010,,1.47k,0,378.53k,,0.39,-0.00,-30.06k,-143.21k,Value,10034,Communication Services,3,"Fame Productions, Inc., a media company, acquires, develops, and operates underserved and underdeveloped urban media assets and brands that serve various markets. It focuses on the ownership and operation of multi-media brands, intellectual property, and content development. The company develops and analyzes brand strategies to meet the changing needs of marketing in a post digital millennial. It also works with clients, advertisers, and sponsors to develop intellectual property, as well as integrated programs that include retail events, consumer engagement experiences, and sampling opportunities followed up with post-event content. In addition, the company creates custom content for various media platforms, as well as distribution and amplification of those assets to the consumer market place. Fame Productions, Inc. is based in New York, New York.",New York,646-504-3263,NY,United States,http://www.fameproinc.com,86400,33 Indian Road,Publishing,Suite 3k
