Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,longTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,currency,market,shortName,exchange,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,exchangeDataDelayedBy,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,FQVTF,203800000.0,116529000,,,14950000,,12100000,16900000,33800000,14950000,14950000,,-100000,,,,2850000,73950000,59000000,40150000,0,,12100000,12100000,16600000.0,54800000.0,45800000.0,252600000.0,6700000.0,298400000.0,300000.0,1300000.0,196800000.0,32200000.0,700000.0,1900000.0,143100000.0,44700000.0,1900000.0,100000.0,700000.0,7500000.0,240200000.0,53100000.0,38700000.0,11000000.0,,4150000,-1800000,-800000,-3900000,3100000,50000,8750000,1100000,100000,-3150000,-7250000,-3550000,50000,2200000,-1050000,195500000.0,en-US,US,EQUITY,False,Delayed Quote,30.6,1630503018,0.48999977,30.6,30.6,30.6,500,2.168,32.7985,-2.1984997,-0.0670305,34.00033,-3.4003315,-0.10000877,3644613120,14.114391,15,America/New_York,EDT,False,False,USD,us_market,FEVERTREE DRINKS PLC,PNK,POST,2,1.6273655,30.6 - 30.6,30.11,0.0,0.0,0,0,finmb_275290785,Other OTC,Fevertree Drinks Plc,GBP,2517,866,4.1000004,0.154717,26.5 - 38.625,-8.025,-0.20776698,26.5,38.625,0,0.157,61.445786,0.005214215,0.498,-14400000,1.23,,,38.62,26.5,32.8,34.0,2.52k,866,116.53M,,103.28M,10.44%,60.64%,,,,,,0.22,0.62%,0.16,0.52%,,42.76%,,"Apr 07, 2021",,,"Dec 30, 2020","Dec 30, 2020",16.54%,20.35%,11.47%,17.42%,252.1M,2.17,3.30%,116.3M,54.5M,41.7M,0.50,-19.90%,143.1M,1.23,1.9M,0.75,5.37,2.17,38.1M,30.94M,Value,W6 7NL,Consumer Defensive,250,"Fevertree Drinks Plc, together with its subsidiaries, develops and supplies premium mixer drinks in the United Kingdom, the United States, Europe, and internationally. The company's products include Indian tonic water, Mediterranean tonic water, elderflower tonic water, aromatic tonic water, Clementine tonic water, citrus tonic water lemon tonic water, ginger beer, ginger ale, smoky ginger ale, spiced orange ginger ale, Madagascan cola, Sicilian lemonade, lemonade, and spring soda water. Fevertree Drinks Plc sells its products under Fever-Tree brand name to bars and restaurants. The company was formerly known as Fevertree Topco Limited and changed its name to Fevertree Drinks Plc in October 2014. Fevertree Drinks Plc was incorporated in 2013 and is headquartered in London, the United Kingdom.",London,44 20 7349 4922,1609372800,United Kingdom,http://www.fever-tree.com,86400,186 -188 Shepherds Bush Road,Beverages—Non-Alcoholic
t-1,FQVTF,203800000.0,116529000,,,14950000,,12100000,16900000,33800000,14950000,14950000,,-100000,,,,2850000,73950000,59000000,40150000,0,,12100000,12100000,16600000.0,54800000.0,45800000.0,252600000.0,6700000.0,298400000.0,300000.0,1300000.0,196800000.0,32200000.0,700000.0,1900000.0,143100000.0,44700000.0,1900000.0,100000.0,700000.0,7500000.0,240200000.0,53100000.0,38700000.0,11000000.0,,4150000,-1800000,-800000,-3900000,3100000,50000,8750000,1100000,100000,-3150000,-7250000,-3550000,50000,2200000,-1050000,195500000.0,en-US,US,EQUITY,False,Delayed Quote,30.6,1630503018,0.48999977,30.6,30.6,30.6,500,2.168,32.7985,-2.1984997,-0.0670305,34.00033,-3.4003315,-0.10000877,3644613120,14.114391,15,America/New_York,EDT,False,False,USD,us_market,FEVERTREE DRINKS PLC,PNK,POST,2,1.6273655,30.6 - 30.6,30.11,0.0,0.0,0,0,finmb_275290785,Other OTC,Fevertree Drinks Plc,GBP,2517,866,4.1000004,0.154717,26.5 - 38.625,-8.025,-0.20776698,26.5,38.625,0,0.157,61.445786,0.005214215,0.498,-14400000,1.23,,,38.62,26.5,32.8,34.0,2.52k,866,116.53M,,103.28M,10.44%,60.64%,,,,,,0.22,0.62%,0.16,0.52%,,42.76%,,"Apr 07, 2021",,,"Dec 30, 2020","Dec 30, 2020",16.54%,20.35%,11.47%,17.42%,252.1M,2.17,3.30%,116.3M,54.5M,41.7M,0.50,-19.90%,143.1M,1.23,1.9M,0.75,5.37,2.17,38.1M,30.94M,Value,W6 7NL,Consumer Defensive,250,"Fevertree Drinks Plc, together with its subsidiaries, develops and supplies premium mixer drinks in the United Kingdom, the United States, Europe, and internationally. The company's products include Indian tonic water, Mediterranean tonic water, elderflower tonic water, aromatic tonic water, Clementine tonic water, citrus tonic water lemon tonic water, ginger beer, ginger ale, smoky ginger ale, spiced orange ginger ale, Madagascan cola, Sicilian lemonade, lemonade, and spring soda water. Fevertree Drinks Plc sells its products under Fever-Tree brand name to bars and restaurants. The company was formerly known as Fevertree Topco Limited and changed its name to Fevertree Drinks Plc in October 2014. Fevertree Drinks Plc was incorporated in 2013 and is headquartered in London, the United Kingdom.",London,44 20 7349 4922,1609372800,United Kingdom,http://www.fever-tree.com,86400,186 -188 Shepherds Bush Road,Beverages—Non-Alcoholic
t-2,FQVTF,191000000.0,116529000,,,10850000,,8750000,13650000,24350000,10700000,10700000,,-100000,,,,2100000,52100000,41400000,27750000,150000,,8750000,8750000,40600000.0,54800000.0,33400000.0,231600000.0,1800000.0,265000000.0,300000.0,,177500000.0,,-1000000.0,800000.0,136900000.0,32400000.0,800000.0,,-1000000.0,6300000.0,215000000.0,54500000.0,23600000.0,30000000.0,2300000.0,1250000,-100000,-800000,-5900000,4300000,50000,10300000,800000,150000,-5750000,-1350000,5550000,-150000,-4700000,-250000,182600000.0,en-US,US,EQUITY,False,Delayed Quote,30.6,1630503018,0.48999977,30.6,30.6,30.6,500,2.168,32.7985,-2.1984997,-0.0670305,34.00033,-3.4003315,-0.10000877,3644613120,14.114391,15,America/New_York,EDT,False,False,USD,us_market,FEVERTREE DRINKS PLC,PNK,POST,2,1.6273655,30.6 - 30.6,30.11,0.0,0.0,0,0,finmb_275290785,Other OTC,Fevertree Drinks Plc,GBP,2517,866,4.1000004,0.154717,26.5 - 38.625,-8.025,-0.20776698,26.5,38.625,0,0.157,61.445786,0.005214215,0.498,-14400000,1.23,,,38.62,26.5,32.8,34.0,2.52k,866,116.53M,,103.28M,10.44%,60.64%,,,,,,0.22,0.62%,0.16,0.52%,,42.76%,,"Apr 07, 2021",,,"Dec 30, 2020","Dec 30, 2020",16.54%,20.35%,11.47%,17.42%,252.1M,2.17,3.30%,116.3M,54.5M,41.7M,0.50,-19.90%,143.1M,1.23,1.9M,0.75,5.37,2.17,38.1M,30.94M,Value,W6 7NL,Consumer Defensive,250,"Fevertree Drinks Plc, together with its subsidiaries, develops and supplies premium mixer drinks in the United Kingdom, the United States, Europe, and internationally. The company's products include Indian tonic water, Mediterranean tonic water, elderflower tonic water, aromatic tonic water, Clementine tonic water, citrus tonic water lemon tonic water, ginger beer, ginger ale, smoky ginger ale, spiced orange ginger ale, Madagascan cola, Sicilian lemonade, lemonade, and spring soda water. Fevertree Drinks Plc sells its products under Fever-Tree brand name to bars and restaurants. The company was formerly known as Fevertree Topco Limited and changed its name to Fevertree Drinks Plc in October 2014. Fevertree Drinks Plc was incorporated in 2013 and is headquartered in London, the United Kingdom.",London,44 20 7349 4922,1609372800,United Kingdom,http://www.fever-tree.com,86400,186 -188 Shepherds Bush Road,Beverages—Non-Alcoholic
t-3,FQVTF,191000000.0,116529000,,,10850000,,8750000,13650000,24350000,10700000,10700000,,-100000,,,,2100000,52100000,41400000,27750000,150000,,8750000,8750000,40600000.0,54800000.0,33400000.0,231600000.0,1800000.0,265000000.0,300000.0,,177500000.0,,-1000000.0,800000.0,136900000.0,32400000.0,800000.0,,-1000000.0,6300000.0,215000000.0,54500000.0,23600000.0,30000000.0,2300000.0,1250000,-100000,-800000,-5900000,4300000,50000,10300000,800000,150000,-5750000,-1350000,5550000,-150000,-4700000,-250000,182600000.0,en-US,US,EQUITY,False,Delayed Quote,30.6,1630503018,0.48999977,30.6,30.6,30.6,500,2.168,32.7985,-2.1984997,-0.0670305,34.00033,-3.4003315,-0.10000877,3644613120,14.114391,15,America/New_York,EDT,False,False,USD,us_market,FEVERTREE DRINKS PLC,PNK,POST,2,1.6273655,30.6 - 30.6,30.11,0.0,0.0,0,0,finmb_275290785,Other OTC,Fevertree Drinks Plc,GBP,2517,866,4.1000004,0.154717,26.5 - 38.625,-8.025,-0.20776698,26.5,38.625,0,0.157,61.445786,0.005214215,0.498,-14400000,1.23,,,38.62,26.5,32.8,34.0,2.52k,866,116.53M,,103.28M,10.44%,60.64%,,,,,,0.22,0.62%,0.16,0.52%,,42.76%,,"Apr 07, 2021",,,"Dec 30, 2020","Dec 30, 2020",16.54%,20.35%,11.47%,17.42%,252.1M,2.17,3.30%,116.3M,54.5M,41.7M,0.50,-19.90%,143.1M,1.23,1.9M,0.75,5.37,2.17,38.1M,30.94M,Value,W6 7NL,Consumer Defensive,250,"Fevertree Drinks Plc, together with its subsidiaries, develops and supplies premium mixer drinks in the United Kingdom, the United States, Europe, and internationally. The company's products include Indian tonic water, Mediterranean tonic water, elderflower tonic water, aromatic tonic water, Clementine tonic water, citrus tonic water lemon tonic water, ginger beer, ginger ale, smoky ginger ale, spiced orange ginger ale, Madagascan cola, Sicilian lemonade, lemonade, and spring soda water. Fevertree Drinks Plc sells its products under Fever-Tree brand name to bars and restaurants. The company was formerly known as Fevertree Topco Limited and changed its name to Fevertree Drinks Plc in October 2014. Fevertree Drinks Plc was incorporated in 2013 and is headquartered in London, the United Kingdom.",London,44 20 7349 4922,1609372800,United Kingdom,http://www.fever-tree.com,86400,186 -188 Shepherds Bush Road,Beverages—Non-Alcoholic
