Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,commonStock,retainedEarnings,totalCurrentLiabilities,shortLongTermDebt,accountsPayable,totalAssets,cash,totalCurrentAssets,otherAssets,propertyPlantEquipment,changeToNetincome,changeToLiabilities,totalCashFromOperatingActivities,changeInCash,netBorrowings,totalCashFromFinancingActivities,depreciation,totalCashflowsFromInvestingActivities,changeToOperatingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,marketState,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,exchange,priceHint,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DVLP,-968590.0,543843008,,,-90097,-54256,-90097,2773,0,-2773,-2773,,-117731,,,,0,0,2773,0,-87324,,-90097,-90097,10579305.0,1022846.0,-968590.0,262614.0,54150.0,-11602045.0,1022846.0,50000.0,161483.0,,,,,,-9078.0,23029.0,,,,,,,,,,,,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0094 - 0.0094,0.0094,0.0,0.0,0,0,finmb_33736254,Other OTC,"Golden Developing Solutions, Inc.",USD,494213,57782,0.0082,6.833333,0.0012 - 0.016,-0.006600001,-0.41250002,0.0012,0.016,-14400000,False,False,USD,REGULAR,-0.012,0.001,0.012203055,-0.0028030556,-0.22970113,0.008613546,0.0007864535,0.09130426,1292847,9.4,15,America/New_York,EDT,GOLDEN DEVELOPING SOLUTIONS INC,0.0094,1630437559,0.0,0.0082,0.0094,0.0094,35200,0,PNK,4,us_market,1.75,,,0.016,0.0012,0.0122,0.0086,494.21k,57.78k,543.84M,,251.51M,55.99%,0.02%,,,,,,,,,,,,,,,,"Dec 30, 2019","Sep 29, 2020",0.00%,0.00%,,-78.14%,,,,,-1.05M,-1.53M,-0.0120,,,,598.75k,,,0.00,273.79k,,Value,78734,Healthcare,"Golden Developing Solutions, Inc., through its subsidiaries, engages in the online retail of cannabidiol (CBD) products. It develops and operates an Internet website that offers CBD, hemp oil, and health/wellness related products, including vitamins, supplements, CBD based tinctures, vapes, soft-gels, and other products. The company was formerly known as Clean Hydrogen Producers, Ltd and changed its name to Golden Developing Solutions, Inc. in April 2017. Golden Developing Solutions, Inc. was incorporated in 1998 and is based in Lakeway, Texas.",Lakeway,623 826 5206,TX,1577750400,United States,http://goldendeveloping.com,86400,2303 Ranch Road 620 South,Drug Manufacturers—Specialty & Generic,Suite 160-143
t-1,DVLP,-878494.0,543843008,,,-348086,-54256,-340636,152447,0,-152447,-152447,,-221944,,,,0,0,152447,0,-195639,7450.0,-348086,-340636,10579304.0,932750.0,-878494.0,232562.0,54150.0,-11511948.0,932750.0,50000.0,138454.0,,,,,,149780.0,98922.0,-21604.0,-21604.0,,,,,,,,,,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0094 - 0.0094,0.0094,0.0,0.0,0,0,finmb_33736254,Other OTC,"Golden Developing Solutions, Inc.",USD,494213,57782,0.0082,6.833333,0.0012 - 0.016,-0.006600001,-0.41250002,0.0012,0.016,-14400000,False,False,USD,REGULAR,-0.012,0.001,0.012203055,-0.0028030556,-0.22970113,0.008613546,0.0007864535,0.09130426,1292847,9.4,15,America/New_York,EDT,GOLDEN DEVELOPING SOLUTIONS INC,0.0094,1630437559,0.0,0.0082,0.0094,0.0094,35200,0,PNK,4,us_market,1.75,,,0.016,0.0012,0.0122,0.0086,494.21k,57.78k,543.84M,,251.51M,55.99%,0.02%,,,,,,,,,,,,,,,,"Dec 30, 2019","Sep 29, 2020",0.00%,0.00%,,-78.14%,,,,,-1.05M,-1.53M,-0.0120,,,,598.75k,,,0.00,273.79k,,Value,78734,Healthcare,"Golden Developing Solutions, Inc., through its subsidiaries, engages in the online retail of cannabidiol (CBD) products. It develops and operates an Internet website that offers CBD, hemp oil, and health/wellness related products, including vitamins, supplements, CBD based tinctures, vapes, soft-gels, and other products. The company was formerly known as Clean Hydrogen Producers, Ltd and changed its name to Golden Developing Solutions, Inc. in April 2017. Golden Developing Solutions, Inc. was incorporated in 1998 and is based in Lakeway, Texas.",Lakeway,623 826 5206,TX,1577750400,United States,http://goldendeveloping.com,86400,2303 Ranch Road 620 South,Drug Manufacturers—Specialty & Generic,Suite 160-143
t-2,DVLP,-576222.0,543843008,,,-559951,-54256,-514942,364979,0,-364979,-364979,,-15288,,,,0,0,364979,0,-194972,45009.0,-559951,-514942,10540940.0,652082.0,-576222.0,,54150.0,-11171312.0,652082.0,50000.0,114532.0,21604.0,21604.0,21604.0,,,303278.0,10931.0,-120418.0,-82466.0,37952.0,37952.0,72459.0,,,,,,-630478.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0094 - 0.0094,0.0094,0.0,0.0,0,0,finmb_33736254,Other OTC,"Golden Developing Solutions, Inc.",USD,494213,57782,0.0082,6.833333,0.0012 - 0.016,-0.006600001,-0.41250002,0.0012,0.016,-14400000,False,False,USD,REGULAR,-0.012,0.001,0.012203055,-0.0028030556,-0.22970113,0.008613546,0.0007864535,0.09130426,1292847,9.4,15,America/New_York,EDT,GOLDEN DEVELOPING SOLUTIONS INC,0.0094,1630437559,0.0,0.0082,0.0094,0.0094,35200,0,PNK,4,us_market,1.75,,,0.016,0.0012,0.0122,0.0086,494.21k,57.78k,543.84M,,251.51M,55.99%,0.02%,,,,,,,,,,,,,,,,"Dec 30, 2019","Sep 29, 2020",0.00%,0.00%,,-78.14%,,,,,-1.05M,-1.53M,-0.0120,,,,598.75k,,,0.00,273.79k,,Value,78734,Healthcare,"Golden Developing Solutions, Inc., through its subsidiaries, engages in the online retail of cannabidiol (CBD) products. It develops and operates an Internet website that offers CBD, hemp oil, and health/wellness related products, including vitamins, supplements, CBD based tinctures, vapes, soft-gels, and other products. The company was formerly known as Clean Hydrogen Producers, Ltd and changed its name to Golden Developing Solutions, Inc. in April 2017. Golden Developing Solutions, Inc. was incorporated in 1998 and is based in Lakeway, Texas.",Lakeway,623 826 5206,TX,1577750400,United States,http://goldendeveloping.com,86400,2303 Ranch Road 620 South,Drug Manufacturers—Specialty & Generic,Suite 160-143
t-3,DVLP,366899.0,543843008,,,277492,-54256,-3921022,-494337,-566900,-72563,-72563,,-15288,,,,0,-1395860,-1323297,-828960,350055,-4248804.0,277492,-3921022,10956552.0,5312483.0,366899.0,3993655.0,66717.0,-10656370.0,4645247.0,100500.0,103601.0,5625126.0,104070.0,104070.0,4579805.0,941251.0,4958298.0,-520653.0,157767.0,-45058.0,158175.0,-127825.0,-261628.0,-75000.0,64837.0,146468.0,-286000.0,-75000.0,-4541177.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.0094 - 0.0094,0.0094,0.0,0.0,0,0,finmb_33736254,Other OTC,"Golden Developing Solutions, Inc.",USD,494213,57782,0.0082,6.833333,0.0012 - 0.016,-0.006600001,-0.41250002,0.0012,0.016,-14400000,False,False,USD,REGULAR,-0.012,0.001,0.012203055,-0.0028030556,-0.22970113,0.008613546,0.0007864535,0.09130426,1292847,9.4,15,America/New_York,EDT,GOLDEN DEVELOPING SOLUTIONS INC,0.0094,1630437559,0.0,0.0082,0.0094,0.0094,35200,0,PNK,4,us_market,1.75,,,0.016,0.0012,0.0122,0.0086,494.21k,57.78k,543.84M,,251.51M,55.99%,0.02%,,,,,,,,,,,,,,,,"Dec 30, 2019","Sep 29, 2020",0.00%,0.00%,,-78.14%,,,,,-1.05M,-1.53M,-0.0120,,,,598.75k,,,0.00,273.79k,,Value,78734,Healthcare,"Golden Developing Solutions, Inc., through its subsidiaries, engages in the online retail of cannabidiol (CBD) products. It develops and operates an Internet website that offers CBD, hemp oil, and health/wellness related products, including vitamins, supplements, CBD based tinctures, vapes, soft-gels, and other products. The company was formerly known as Clean Hydrogen Producers, Ltd and changed its name to Golden Developing Solutions, Inc. in April 2017. Golden Developing Solutions, Inc. was incorporated in 1998 and is based in Lakeway, Texas.",Lakeway,623 826 5206,TX,1577750400,United States,http://goldendeveloping.com,86400,2303 Ranch Road 620 South,Drug Manufacturers—Specialty & Generic,Suite 160-143
