Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,intangibleAssets,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,changeToOperatingActivities,depreciation,changeToNetincome,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry
t0,GRLT,-73510.0,533611,,,-46988,,-46988,163955,133044,-30911,-30911,,,,,,0,209006,239917,75962,-16077,,-46988,-46988,326034.0,651454.0,-73510.0,142148.0,577943.0,533.0,84498.0,-400077.0,126831.0,3373.0,187454.0,357574.0,93538.0,5667.0,464000.0,45306.0,,45306.0,49500.0,49500.0,42150.0,-7348.0,-5667.0,,,,,-93916.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0017499999,35.0,5.0E-5 - 0.0078,-0.006,-0.7692308,5e-05,0.0078,-0.496,13.065323,0.0016 - 0.0018,0.001592,0.0,0.0,0,0,finmb_3547348,Other OTC,"GRILLiT, Inc.",USD,45841905,39024194,-0.138,0.0019219444,-0.00012194447,-0.06344849,0.0020125175,-0.00021251757,-0.10559787,441829,-0.013043478,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GRILLIT INC,0.0018,1630526209,0.00020799995,0.0017,0.0018,0.0016,37763978,38.75,,,0.0078,0.0,0.0019,0.002,45.84M,39.02M,533.61k,,,0.00%,0.29%,,,,,,,,,,,0.00%,,,1:200,"Apr 24, 2012","Dec 30, 2012","Mar 30, 2013",-31.26%,-5.91%,-7.70%,-235.17%,847.26k,1.59,,538.64k,,-264.86k,-0.4960,,3.37k,0,464k,,0.44,-0.14,-251.4k,39.58k,Value,34655,Consumer Cyclical,"GRILLiT, Inc., an early stage development company, operates a chain of fast casual dining restaurants under the GRILLiT brand. It specialized in salads, rice bowls, grilled chicken, steak, and shrimp. The company also franchises restaurants in Florida, Tennessee, Texas, Colorado, and Nevada. GRILLiT, Inc. was founded in 2011 and is headquartered in Trinity, Florida.",Trinity,727-300-5775,FL,United States,http://www.grillitofthesuncoast.com,86400,3501 Durrance Street,Restaurants
t-1,GRLT,-711094.0,533611,,,-136638,,-136638,71726,0,-108641,-108641,,-320.0,,,,0,0,108641,0,-27997,,-136638,-136638,9084267.0,808869.0,-707844.0,,101025.0,10672.0,,-9802783.0,,,808869.0,,97775.0,,,514203.0,3250.0,508553.0,-435788.0,-435788.0,-288.0,435500.0,-5667.0,13335.0,36665.0,13335.0,,-711094.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0017499999,35.0,5.0E-5 - 0.0078,-0.006,-0.7692308,5e-05,0.0078,-0.496,13.065323,0.0016 - 0.0018,0.001592,0.0,0.0,0,0,finmb_3547348,Other OTC,"GRILLiT, Inc.",USD,45841905,39024194,-0.138,0.0019219444,-0.00012194447,-0.06344849,0.0020125175,-0.00021251757,-0.10559787,441829,-0.013043478,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GRILLIT INC,0.0018,1630526209,0.00020799995,0.0017,0.0018,0.0016,37763978,38.75,,,0.0078,0.0,0.0019,0.002,45.84M,39.02M,533.61k,,,0.00%,0.29%,,,,,,,,,,,0.00%,,,1:200,"Apr 24, 2012","Dec 30, 2012","Mar 30, 2013",-31.26%,-5.91%,-7.70%,-235.17%,847.26k,1.59,,538.64k,,-264.86k,-0.4960,,3.37k,0,464k,,0.44,-0.14,-251.4k,39.58k,Value,34655,Consumer Cyclical,"GRILLiT, Inc., an early stage development company, operates a chain of fast casual dining restaurants under the GRILLiT brand. It specialized in salads, rice bowls, grilled chicken, steak, and shrimp. The company also franchises restaurants in Florida, Tennessee, Texas, Colorado, and Nevada. GRILLiT, Inc. was founded in 2011 and is headquartered in Trinity, Florida.",Trinity,727-300-5775,FL,United States,http://www.grillitofthesuncoast.com,86400,3501 Durrance Street,Restaurants
t-2,GRLT,-597956.0,533611,,,-57644,,-57644,57394,0,-57644,-57644,,-320.0,,,,0,0,57644,0,0,,-57644,-57644,9062117.0,709353.0,-594456.0,,114897.0,9572.0,,-9666145.0,,288.0,709353.0,,111397.0,,,5650.0,3500.0,-350.0,7500.0,118609.0,-1355.0,-119964.0,-5667.0,-111110.0,-250.0,48890.0,111109.0,-597956.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0017499999,35.0,5.0E-5 - 0.0078,-0.006,-0.7692308,5e-05,0.0078,-0.496,13.065323,0.0016 - 0.0018,0.001592,0.0,0.0,0,0,finmb_3547348,Other OTC,"GRILLiT, Inc.",USD,45841905,39024194,-0.138,0.0019219444,-0.00012194447,-0.06344849,0.0020125175,-0.00021251757,-0.10559787,441829,-0.013043478,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GRILLIT INC,0.0018,1630526209,0.00020799995,0.0017,0.0018,0.0016,37763978,38.75,,,0.0078,0.0,0.0019,0.002,45.84M,39.02M,533.61k,,,0.00%,0.29%,,,,,,,,,,,0.00%,,,1:200,"Apr 24, 2012","Dec 30, 2012","Mar 30, 2013",-31.26%,-5.91%,-7.70%,-235.17%,847.26k,1.59,,538.64k,,-264.86k,-0.4960,,3.37k,0,464k,,0.44,-0.14,-251.4k,39.58k,Value,34655,Consumer Cyclical,"GRILLiT, Inc., an early stage development company, operates a chain of fast casual dining restaurants under the GRILLiT brand. It specialized in salads, rice bowls, grilled chicken, steak, and shrimp. The company also franchises restaurants in Florida, Tennessee, Texas, Colorado, and Nevada. GRILLiT, Inc. was founded in 2011 and is headquartered in Trinity, Florida.",Trinity,727-300-5775,FL,United States,http://www.grillitofthesuncoast.com,86400,3501 Durrance Street,Restaurants
t-3,GRLT,-700562.0,533611,,,-51140,,-51140,23890,0,-24140,-24140,,-320.0,,,,0,0,24140,0,-27000,,-51140,-51140,8903717.0,702204.0,-696812.0,,5392.0,7972.0,,-9608501.0,,1642.0,702204.0,,1642.0,,,6000.0,3750.0,0.0,22000.0,67000.0,1110.0,-65890.0,-5667.0,-15000.0,250.0,48890.0,45000.0,-700562.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0017499999,35.0,5.0E-5 - 0.0078,-0.006,-0.7692308,5e-05,0.0078,-0.496,13.065323,0.0016 - 0.0018,0.001592,0.0,0.0,0,0,finmb_3547348,Other OTC,"GRILLiT, Inc.",USD,45841905,39024194,-0.138,0.0019219444,-0.00012194447,-0.06344849,0.0020125175,-0.00021251757,-0.10559787,441829,-0.013043478,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GRILLIT INC,0.0018,1630526209,0.00020799995,0.0017,0.0018,0.0016,37763978,38.75,,,0.0078,0.0,0.0019,0.002,45.84M,39.02M,533.61k,,,0.00%,0.29%,,,,,,,,,,,0.00%,,,1:200,"Apr 24, 2012","Dec 30, 2012","Mar 30, 2013",-31.26%,-5.91%,-7.70%,-235.17%,847.26k,1.59,,538.64k,,-264.86k,-0.4960,,3.37k,0,464k,,0.44,-0.14,-251.4k,39.58k,Value,34655,Consumer Cyclical,"GRILLiT, Inc., an early stage development company, operates a chain of fast casual dining restaurants under the GRILLiT brand. It specialized in salads, rice bowls, grilled chicken, steak, and shrimp. The company also franchises restaurants in Florida, Tennessee, Texas, Colorado, and Nevada. GRILLiT, Inc. was founded in 2011 and is headquartered in Trinity, Florida.",Trinity,727-300-5775,FL,United States,http://www.grillitofthesuncoast.com,86400,3501 Durrance Street,Restaurants
