Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,longTermInvestments,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,shortName,esgPopulated,tradeable,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchangeDataDelayedBy,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,longName,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,ERILF,-50840000.0,163516992,,,-2842000,3593000,-2993000,3116000,2906000,-1579000,-1579000,,-1263000,,,,88000,10662000,12241000,7756000,-1263000,-63000,-2930000,-2993000,3152000.0,2935000.0,97500000.0,-47688000.0,1802000.0,53405000.0,51139000.0,1590000.0,-103275000.0,31328000.0,1513000.0,2097000.0,2237000.0,53202000.0,13397000.0,1513000.0,14563000.0,33593000.0,25028000.0,5036000.0,3622000.0,22500000.0,,2000000.0,0.0,1983000.0,-7428000.0,-7730000.0,5461000.0,-1442000.0,147000.0,4158000.0,1262000.0,-302000.0,428000.0,-16000.0,,,,,-19609000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,DYNAMIC TECHNOLOGIES GROUP INC,False,False,PNK,0.2291,1630437127,0.0,0.2352,0.2291,0.2291,158500,REGULAR,0,4,0.0,0.2291 - 0.2291,0.2291,finmb_4422112,Dynamic Technologies Group Inc.,Other OTC,CAD,24020,36484,0.062100008,0.37185633,0.167 - 0.42,-0.19089998,-0.45452377,0.167,0.42,1622628000,1622628000,1622628000,-0.055,-0.292,0.2633211,-0.034221098,-0.12995957,0.3096339,-0.08053391,-0.26009396,37461744,-0.78458905,15,America/New_York,EDT,-14400000,1.22,,,0.42,0.167,0.2633,0.3096,24.02k,36.48k,163.52M,,100.43M,44.47%,0.00%,,,,,,,,,,,0.00%,,,0:1,"Jun 29, 2016","Dec 30, 2020","Mar 30, 2021",-17.80%,-15.29%,-8.66%,,62.91M,0.38,-39.20%,11.49M,-7.72M,-9.8M,-0.0550,,2.24M,0.01,41.87M,,0.63,-0.29,2.62M,-6.22M,Value,M4R 1K8,Industrials,"Dynamic Technologies Group Inc. designs, builds, and installs entertainment attractions and ride systems for the entertainment industry. The company operates through Ride Systems Manufacturing, and Parts and Service segments. It also applies turn-key integration services for special projects, such as large optical telescopes and enclosures, and custom steel fabrication services. The company serves theme parks, stand-alone tourist venues, and the government sector in Canada, the United States, Asia, the Middle East, and Europe. The company was formerly known as Empire Industries Ltd. and changed its name to Dynamic Technologies Group Inc. in March 2021. Dynamic Technologies Group Inc. was founded in 1926 and is based in Toronto, Canada.",Toronto,416 366 7977,ON,1577750400,Canada,http://www.dynamictechgroup.com,86400,20 Eglinton Avenue West,Metal Fabrication,Suite 1820 PO Box 2029
t-1,ERILF,-48447000.0,163516992,,,-2342000,3964000,-3040000,3637000,-73000,-4962000,-4962000,,-1569000,,,,11000,19362000,24324000,19435000,2620000,-687000,-2353000,-3040000,3553000.0,2828000.0,110508000.0,-44894000.0,7385000.0,69578000.0,51139000.0,2590000.0,-100653000.0,31328000.0,1792000.0,2207000.0,3679000.0,63892000.0,18617000.0,1792000.0,15486000.0,45950000.0,34985000.0,7009000.0,3641000.0,18629000.0,2382000.0,2000000.0,-15518000.0,-205000.0,-206000.0,3510000.0,1001000.0,3039000.0,-58000.0,-208000.0,-13000.0,-1284000.0,1275000.0,-12000.0,5000000.0,120000.0,-845000.0,15760000.0,-17942000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,DYNAMIC TECHNOLOGIES GROUP INC,False,False,PNK,0.2291,1630437127,0.0,0.2352,0.2291,0.2291,158500,REGULAR,0,4,0.0,0.2291 - 0.2291,0.2291,finmb_4422112,Dynamic Technologies Group Inc.,Other OTC,CAD,24020,36484,0.062100008,0.37185633,0.167 - 0.42,-0.19089998,-0.45452377,0.167,0.42,1622628000,1622628000,1622628000,-0.055,-0.292,0.2633211,-0.034221098,-0.12995957,0.3096339,-0.08053391,-0.26009396,37461744,-0.78458905,15,America/New_York,EDT,-14400000,1.22,,,0.42,0.167,0.2633,0.3096,24.02k,36.48k,163.52M,,100.43M,44.47%,0.00%,,,,,,,,,,,0.00%,,,0:1,"Jun 29, 2016","Dec 30, 2020","Mar 30, 2021",-17.80%,-15.29%,-8.66%,,62.91M,0.38,-39.20%,11.49M,-7.72M,-9.8M,-0.0550,,2.24M,0.01,41.87M,,0.63,-0.29,2.62M,-6.22M,Value,M4R 1K8,Industrials,"Dynamic Technologies Group Inc. designs, builds, and installs entertainment attractions and ride systems for the entertainment industry. The company operates through Ride Systems Manufacturing, and Parts and Service segments. It also applies turn-key integration services for special projects, such as large optical telescopes and enclosures, and custom steel fabrication services. The company serves theme parks, stand-alone tourist venues, and the government sector in Canada, the United States, Asia, the Middle East, and Europe. The company was formerly known as Empire Industries Ltd. and changed its name to Dynamic Technologies Group Inc. in March 2021. Dynamic Technologies Group Inc. was founded in 1926 and is based in Toronto, Canada.",Toronto,416 366 7977,ON,1577750400,Canada,http://www.dynamictechgroup.com,86400,20 Eglinton Avenue West,Metal Fabrication,Suite 1820 PO Box 2029
t-2,ERILF,-46651000.0,163516992,,,-2669000,3964000,-2812000,3508000,2599000,-2312000,-2312000,,-1487000,,,,63000,16599000,18911000,14000000,-357000,-80000,-2732000,-2812000,2943000.0,2735000.0,114791000.0,-43708000.0,5339000.0,71083000.0,51210000.0,1450000.0,-98332000.0,31326000.0,679000.0,980000.0,2430000.0,74902000.0,26733000.0,679000.0,17182000.0,48073000.0,39238000.0,,3788000.0,26659000.0,1905000.0,2000000.0,0.0,-366000.0,-432000.0,-1270000.0,-2139000.0,-5252000.0,-1246000.0,-2370000.0,1339000.0,-838000.0,1242000.0,-134000.0,5000000.0,120000.0,-845000.0,15760000.0,-26829000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,DYNAMIC TECHNOLOGIES GROUP INC,False,False,PNK,0.2291,1630437127,0.0,0.2352,0.2291,0.2291,158500,REGULAR,0,4,0.0,0.2291 - 0.2291,0.2291,finmb_4422112,Dynamic Technologies Group Inc.,Other OTC,CAD,24020,36484,0.062100008,0.37185633,0.167 - 0.42,-0.19089998,-0.45452377,0.167,0.42,1622628000,1622628000,1622628000,-0.055,-0.292,0.2633211,-0.034221098,-0.12995957,0.3096339,-0.08053391,-0.26009396,37461744,-0.78458905,15,America/New_York,EDT,-14400000,1.22,,,0.42,0.167,0.2633,0.3096,24.02k,36.48k,163.52M,,100.43M,44.47%,0.00%,,,,,,,,,,,0.00%,,,0:1,"Jun 29, 2016","Dec 30, 2020","Mar 30, 2021",-17.80%,-15.29%,-8.66%,,62.91M,0.38,-39.20%,11.49M,-7.72M,-9.8M,-0.0550,,2.24M,0.01,41.87M,,0.63,-0.29,2.62M,-6.22M,Value,M4R 1K8,Industrials,"Dynamic Technologies Group Inc. designs, builds, and installs entertainment attractions and ride systems for the entertainment industry. The company operates through Ride Systems Manufacturing, and Parts and Service segments. It also applies turn-key integration services for special projects, such as large optical telescopes and enclosures, and custom steel fabrication services. The company serves theme parks, stand-alone tourist venues, and the government sector in Canada, the United States, Asia, the Middle East, and Europe. The company was formerly known as Empire Industries Ltd. and changed its name to Dynamic Technologies Group Inc. in March 2021. Dynamic Technologies Group Inc. was founded in 1926 and is based in Toronto, Canada.",Toronto,416 366 7977,ON,1577750400,Canada,http://www.dynamictechgroup.com,86400,20 Eglinton Avenue West,Metal Fabrication,Suite 1820 PO Box 2029
t-3,ERILF,-44210000.0,163516992,,,-1744000,3964000,-2353000,3867000,4895000,-67000,-67000,,-1465000,,,,41000,16290000,16357000,11395000,-1677000,-568000,-1785000,-2353000,3031000.0,2671000.0,120272000.0,-41179000.0,8894000.0,79093000.0,51210000.0,1450000.0,-95520000.0,30304000.0,460000.0,6792000.0,7682000.0,79644000.0,25895000.0,460000.0,18130000.0,49235000.0,37394000.0,1363000.0,2633000.0,28361000.0,1905000.0,2000000.0,0.0,-493000.0,-2492000.0,-3293000.0,2057000.0,-3506000.0,-764000.0,1044000.0,1019000.0,-801000.0,321000.0,-44000.0,5000000.0,120000.0,-845000.0,15760000.0,-30409000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,DYNAMIC TECHNOLOGIES GROUP INC,False,False,PNK,0.2291,1630437127,0.0,0.2352,0.2291,0.2291,158500,REGULAR,0,4,0.0,0.2291 - 0.2291,0.2291,finmb_4422112,Dynamic Technologies Group Inc.,Other OTC,CAD,24020,36484,0.062100008,0.37185633,0.167 - 0.42,-0.19089998,-0.45452377,0.167,0.42,1622628000,1622628000,1622628000,-0.055,-0.292,0.2633211,-0.034221098,-0.12995957,0.3096339,-0.08053391,-0.26009396,37461744,-0.78458905,15,America/New_York,EDT,-14400000,1.22,,,0.42,0.167,0.2633,0.3096,24.02k,36.48k,163.52M,,100.43M,44.47%,0.00%,,,,,,,,,,,0.00%,,,0:1,"Jun 29, 2016","Dec 30, 2020","Mar 30, 2021",-17.80%,-15.29%,-8.66%,,62.91M,0.38,-39.20%,11.49M,-7.72M,-9.8M,-0.0550,,2.24M,0.01,41.87M,,0.63,-0.29,2.62M,-6.22M,Value,M4R 1K8,Industrials,"Dynamic Technologies Group Inc. designs, builds, and installs entertainment attractions and ride systems for the entertainment industry. The company operates through Ride Systems Manufacturing, and Parts and Service segments. It also applies turn-key integration services for special projects, such as large optical telescopes and enclosures, and custom steel fabrication services. The company serves theme parks, stand-alone tourist venues, and the government sector in Canada, the United States, Asia, the Middle East, and Europe. The company was formerly known as Empire Industries Ltd. and changed its name to Dynamic Technologies Group Inc. in March 2021. Dynamic Technologies Group Inc. was founded in 1926 and is based in Toronto, Canada.",Toronto,416 366 7977,ON,1577750400,Canada,http://www.dynamictechgroup.com,86400,20 Eglinton Avenue West,Metal Fabrication,Suite 1820 PO Box 2029
