Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,accountsPayable,netReceivables,otherCurrentLiab,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToNetincome,repurchaseOfStock,otherCashflowsFromFinancingActivities,netBorrowings,changeToAccountReceivables,investments,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,marketState,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,exchange,priceHint,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,IONGF,743182.0,60025700,,,-601383,,-601383,560833,0,-560833,-560833,,,,,,0,0,560833,0,-40550,,-601383,-601383,1394728.0,1965771.0,205171.0,2137910.0,2343081.0,6683748.0,-6466481.0,-45128.0,839313.0,205171.0,-45128.0,34043.0,914310.0,205171.0,,,-94560.0,-434830.0,56365.0,408039.0,56365.0,-463161.0,5772.0,-90468.0,211.0,197225.0,,,,,,709139.0,en-US,US,EQUITY,False,Delayed Quote,-3.242918,0.3242 - 0.342,0.3392,finmb_605138492,Other OTC,Ion Energy Ltd.,CAD,35278,18614,0.19420001,1.4492538,0.134 - 1.4,-1.0718,-0.7655714,0.134,1.4,1598832000,-14400000,False,False,USD,PRE,0.32968572,-0.0014857054,-0.004506429,0.36318117,-0.03498116,-0.09631877,19700436,15,America/New_York,EDT,ION ENERGY LTD,0.3282,1630518773,-0.010999978,0.34,0.342,0.3242,19660,0,PNK,4,us_market,,,,1.4,0.134,0.3297,0.3632,35.28k,18.61k,60.03M,,35.93M,26.72%,1.50%,,,,,,,,,,,0.00%,"Aug 30, 2020",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,"4,489,341.41%",,-291.04%,-48,-0.00,,58,,-3.39M,,,839.31k,0.02,,,4.46,,-1.43M,,Value,M5H 4A6,Basic Materials,"Ion Energy Ltd. explores for and develops lithium assets in Asia. Its flagship property is the Baavhai Uul lithium brine project that covers 81,758 hectares located in Mongolia. The company is headquartered in Toronto, Canada.",Toronto,647 951 6508,ON,Canada,http://www.ionenergy.ca,86400,90 Adelaide Street West,Other Industrial Metals & Mining,Suite 400
t-1,IONGF,1503144.0,60025700,,,-1270866,,-1270866,474305,58,-1253476,-1253476,,-58.0,,,,0,58,1253476,0,-17390,,-1270866,-1270866,965183.0,1771682.0,317106.0,2468327.0,2785433.0,6597056.0,-5865098.0,-35313.0,1302474.0,317106.0,-35313.0,34740.0,1785510.0,317106.0,,,-8851.0,-434830.0,56365.0,-421668.0,56365.0,-952999.0,-4471.0,-948528.0,211.0,752646.0,-231262.0,231262.0,,,,1468404.0,en-US,US,EQUITY,False,Delayed Quote,-3.242918,0.3242 - 0.342,0.3392,finmb_605138492,Other OTC,Ion Energy Ltd.,CAD,35278,18614,0.19420001,1.4492538,0.134 - 1.4,-1.0718,-0.7655714,0.134,1.4,1598832000,-14400000,False,False,USD,PRE,0.32968572,-0.0014857054,-0.004506429,0.36318117,-0.03498116,-0.09631877,19700436,15,America/New_York,EDT,ION ENERGY LTD,0.3282,1630518773,-0.010999978,0.34,0.342,0.3242,19660,0,PNK,4,us_market,,,,1.4,0.134,0.3297,0.3632,35.28k,18.61k,60.03M,,35.93M,26.72%,1.50%,,,,,,,,,,,0.00%,"Aug 30, 2020",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,"4,489,341.41%",,-291.04%,-48,-0.00,,58,,-3.39M,,,839.31k,0.02,,,4.46,,-1.43M,,Value,M5H 4A6,Basic Materials,"Ion Energy Ltd. explores for and develops lithium assets in Asia. Its flagship property is the Baavhai Uul lithium brine project that covers 81,758 hectares located in Mongolia. The company is headquartered in Toronto, Canada.",Toronto,647 951 6508,ON,Canada,http://www.ionenergy.ca,86400,90 Adelaide Street West,Other Industrial Metals & Mining,Suite 400
t-2,IONGF,2097620.0,60025700,,,-1434697,,-1434697,230489,0,-230489,-230489,,-58.0,,,,0,0,230489,0,-1204208,,-1434697,-1434697,886473.0,992511.0,255590.0,2984093.0,3239683.0,6597056.0,-4594232.0,-11242.0,2255473.0,255590.0,-11242.0,36367.0,2316843.0,255590.0,4422.0,,82146.0,59322.0,2403749.0,-56948.0,2764197.0,2202151.0,3754.0,-264674.0,211.0,1135365.0,-231262.0,-231262.0,-129186.0,9248.0,,2061253.0,en-US,US,EQUITY,False,Delayed Quote,-3.242918,0.3242 - 0.342,0.3392,finmb_605138492,Other OTC,Ion Energy Ltd.,CAD,35278,18614,0.19420001,1.4492538,0.134 - 1.4,-1.0718,-0.7655714,0.134,1.4,1598832000,-14400000,False,False,USD,PRE,0.32968572,-0.0014857054,-0.004506429,0.36318117,-0.03498116,-0.09631877,19700436,15,America/New_York,EDT,ION ENERGY LTD,0.3282,1630518773,-0.010999978,0.34,0.342,0.3242,19660,0,PNK,4,us_market,,,,1.4,0.134,0.3297,0.3632,35.28k,18.61k,60.03M,,35.93M,26.72%,1.50%,,,,,,,,,,,0.00%,"Aug 30, 2020",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,"4,489,341.41%",,-291.04%,-48,-0.00,,58,,-3.39M,,,839.31k,0.02,,,4.46,,-1.43M,,Value,M5H 4A6,Basic Materials,"Ion Energy Ltd. explores for and develops lithium assets in Asia. Its flagship property is the Baavhai Uul lithium brine project that covers 81,758 hectares located in Mongolia. The company is headquartered in Toronto, Canada.",Toronto,647 951 6508,ON,Canada,http://www.ionenergy.ca,86400,90 Adelaide Street West,Other Industrial Metals & Mining,Suite 400
t-3,IONGF,-1012256.0,60025700,,,-85888,,-85888,110087,0,-110087,-110087,,-58.0,,,,0,0,110087,0,24199,,-85888,-85888,948225.0,5121.0,1114124.0,-64031.0,1050093.0,3100626.0,-3159535.0,-10243.0,53322.0,1114124.0,-10243.0,34876.0,66992.0,145107.0,4422.0,613260.0,-1606.0,87811.0,2403749.0,-56948.0,2764197.0,-33813.0,11.0,-121634.0,211.0,15237.0,-231262.0,-231262.0,-129186.0,-4624.0,93750.0,-1047132.0,en-US,US,EQUITY,False,Delayed Quote,-3.242918,0.3242 - 0.342,0.3392,finmb_605138492,Other OTC,Ion Energy Ltd.,CAD,35278,18614,0.19420001,1.4492538,0.134 - 1.4,-1.0718,-0.7655714,0.134,1.4,1598832000,-14400000,False,False,USD,PRE,0.32968572,-0.0014857054,-0.004506429,0.36318117,-0.03498116,-0.09631877,19700436,15,America/New_York,EDT,ION ENERGY LTD,0.3282,1630518773,-0.010999978,0.34,0.342,0.3242,19660,0,PNK,4,us_market,,,,1.4,0.134,0.3297,0.3632,35.28k,18.61k,60.03M,,35.93M,26.72%,1.50%,,,,,,,,,,,0.00%,"Aug 30, 2020",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,"4,489,341.41%",,-291.04%,-48,-0.00,,58,,-3.39M,,,839.31k,0.02,,,4.46,,-1.43M,,Value,M5H 4A6,Basic Materials,"Ion Energy Ltd. explores for and develops lithium assets in Asia. Its flagship property is the Baavhai Uul lithium brine project that covers 81,758 hectares located in Mongolia. The company is headquartered in Toronto, Canada.",Toronto,647 951 6508,ON,Canada,http://www.ionenergy.ca,86400,90 Adelaide Street West,Other Industrial Metals & Mining,Suite 400
