Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,dividendDate,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DGWR,-4572502.0,134968992,,,-675344,,-675344,189614,30284,-175538,-175538,,-312393,,,,0,51428,226966,21144,-499806,,-675344,-675344,100683.0,4291077.0,4822809.0,-4471819.0,434815.0,381990.0,16940.0,-8779836.0,5000.0,39993.0,4822809.0,882535.0,189802.0,86505.0,5549.0,2963045.0,9352,-157185,327509,327509,-9320,-6357,-176681,16208,277,187413,-147185,-4736304.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.01385,1630503408,-4.9999915e-05,0.013,0.0139,0.013,160135,0,DEEP GREEN WASTE & RECYCLING IN,REGULAR,us_market,-0.35971162,0.013 - 0.0139,0.0139,0.0,0.0,0,0,finmb_671646069,Other OTC,"Deep Green Waste & Recycling, Inc.",USD,4280077,1715498,0.00635,0.8466667,0.0075 - 0.08,-0.066149995,-0.826875,1506470400,0.0075,0.08,0.078007445,0.02628838,-0.012438381,-0.4731513,-0.007,-0.034,0.012847777,0.0010022223,1869320,-0.40735292,15,America/New_York,EDT,-14400000,False,False,-2.55,,,0.08,0.0075,0.0128,0.0263,4.28M,1.72M,134.97M,,104.5M,47.03%,0.00%,,,,,,,,,,,0.00%,"Sep 26, 2017",,1:1000,"Sep 26, 2017","Dec 30, 2020","Jun 29, 2021",0.00%,-858.38%,-163.06%,,76.27k,0.00,,,-623.78k,-1.48M,-0.0070,,39.99k,0,994.21k,,0.02,-0.03,-333.23k,69.49k,Value,98072,Industrials,1,"Deep Green Waste & Recycling, Inc. provides waste and recycling services. The company is based in Woodinville, Washington.",Woodinville,833 304 7336,WA,1609372800,United States,http://deepgreenwaste.com,86400,13110 NE 177th Place,Waste Management,Suite 293
t-1,DGWR,-4637124.0,134968992,,,-328138,,-328138,139850,17816,-131709,-131709,,-38493,,,,0,24837,156546,7021,-196429,,-328138,-328138,106133.0,3560004.0,4829080.0,-4530991.0,420231.0,329089.0,13497.0,-8104492.0,16860.0,46350.0,4829080.0,992535.0,153920.0,52176.0,5826.0,2954238.0,4344,-50000,155330,155330,52098,45593,-59737,9675,-5826,187786,-50000,-4776904.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.01385,1630503408,-4.9999915e-05,0.013,0.0139,0.013,160135,0,DEEP GREEN WASTE & RECYCLING IN,REGULAR,us_market,-0.35971162,0.013 - 0.0139,0.0139,0.0,0.0,0,0,finmb_671646069,Other OTC,"Deep Green Waste & Recycling, Inc.",USD,4280077,1715498,0.00635,0.8466667,0.0075 - 0.08,-0.066149995,-0.826875,1506470400,0.0075,0.08,0.078007445,0.02628838,-0.012438381,-0.4731513,-0.007,-0.034,0.012847777,0.0010022223,1869320,-0.40735292,15,America/New_York,EDT,-14400000,False,False,-2.55,,,0.08,0.0075,0.0128,0.0263,4.28M,1.72M,134.97M,,104.5M,47.03%,0.00%,,,,,,,,,,,0.00%,"Sep 26, 2017",,1:1000,"Sep 26, 2017","Dec 30, 2020","Jun 29, 2021",0.00%,-858.38%,-163.06%,,76.27k,0.00,,,-623.78k,-1.48M,-0.0070,,39.99k,0,994.21k,,0.02,-0.03,-333.23k,69.49k,Value,98072,Industrials,1,"Deep Green Waste & Recycling, Inc. provides waste and recycling services. The company is based in Woodinville, Washington.",Woodinville,833 304 7336,WA,1609372800,United States,http://deepgreenwaste.com,86400,13110 NE 177th Place,Waste Management,Suite 293
t-2,DGWR,-4388482.0,134968992,,,-276406,,-276406,217816,0,-220145,-220145,,-29603,,,,0,0,220145,0,-56261,,-276406,-276406,,3374888.0,4373037.0,-4388482.0,112295.0,15555.0,12984.0,-7776354.0,5000.0,757.0,4373037.0,882535.0,9798.0,757.0,,2948964.0,4784,-50000,3030,3030,9085,-2142,-5172,2329,-5826,246437,-50000,-4372280.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.01385,1630503408,-4.9999915e-05,0.013,0.0139,0.013,160135,0,DEEP GREEN WASTE & RECYCLING IN,REGULAR,us_market,-0.35971162,0.013 - 0.0139,0.0139,0.0,0.0,0,0,finmb_671646069,Other OTC,"Deep Green Waste & Recycling, Inc.",USD,4280077,1715498,0.00635,0.8466667,0.0075 - 0.08,-0.066149995,-0.826875,1506470400,0.0075,0.08,0.078007445,0.02628838,-0.012438381,-0.4731513,-0.007,-0.034,0.012847777,0.0010022223,1869320,-0.40735292,15,America/New_York,EDT,-14400000,False,False,-2.55,,,0.08,0.0075,0.0128,0.0263,4.28M,1.72M,134.97M,,104.5M,47.03%,0.00%,,,,,,,,,,,0.00%,"Sep 26, 2017",,1:1000,"Sep 26, 2017","Dec 30, 2020","Jun 29, 2021",0.00%,-858.38%,-163.06%,,76.27k,0.00,,,-623.78k,-1.48M,-0.0070,,39.99k,0,994.21k,,0.02,-0.03,-333.23k,69.49k,Value,98072,Industrials,1,"Deep Green Waste & Recycling, Inc. provides waste and recycling services. The company is based in Woodinville, Washington.",Woodinville,833 304 7336,WA,1609372800,United States,http://deepgreenwaste.com,86400,13110 NE 177th Place,Waste Management,Suite 293
t-3,DGWR,-4316128.0,134968992,,,-200832,,-200832,124599,0,-127255,-127255,,-115303,,,,0,0,127255,0,-73577,,-200832,-200832,,3172013.0,4305154.0,-4316128.0,108994.0,20026.0,11807.0,-7499948.0,5000.0,2899.0,4305154.0,882535.0,12127.0,2899.0,,2948298.0,1001,-50000,-5520,-5520,35250,-97162,-91642,2656,-5826,-22958,-50000,-4302255.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.01385,1630503408,-4.9999915e-05,0.013,0.0139,0.013,160135,0,DEEP GREEN WASTE & RECYCLING IN,REGULAR,us_market,-0.35971162,0.013 - 0.0139,0.0139,0.0,0.0,0,0,finmb_671646069,Other OTC,"Deep Green Waste & Recycling, Inc.",USD,4280077,1715498,0.00635,0.8466667,0.0075 - 0.08,-0.066149995,-0.826875,1506470400,0.0075,0.08,0.078007445,0.02628838,-0.012438381,-0.4731513,-0.007,-0.034,0.012847777,0.0010022223,1869320,-0.40735292,15,America/New_York,EDT,-14400000,False,False,-2.55,,,0.08,0.0075,0.0128,0.0263,4.28M,1.72M,134.97M,,104.5M,47.03%,0.00%,,,,,,,,,,,0.00%,"Sep 26, 2017",,1:1000,"Sep 26, 2017","Dec 30, 2020","Jun 29, 2021",0.00%,-858.38%,-163.06%,,76.27k,0.00,,,-623.78k,-1.48M,-0.0070,,39.99k,0,994.21k,,0.02,-0.03,-333.23k,69.49k,Value,98072,Industrials,1,"Deep Green Waste & Recycling, Inc. provides waste and recycling services. The company is based in Woodinville, Washington.",Woodinville,833 304 7336,WA,1609372800,United States,http://deepgreenwaste.com,86400,13110 NE 177th Place,Waste Management,Suite 293
