Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,otherAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,changeToNetincome,changeToOperatingActivities,netBorrowings,totalCashFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingPE,epsTrailingTwelveMonths,currency,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,exchange,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,market,marketState,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,maxAge,address1,fax,industry,address2
t0,JADA,20506215.0,79980000,,,557780,,235576,130832,1444680,546157,546157,,,,,,322204,2330773,1784616,886093,11623,,235576,235576,65115169.0,3320913.0,1936941.0,85621384.0,1352262.0,87558325.0,79980.0,254766.0,76557657.0,5662834.0,16270724.0,1936941.0,5662834.0,3849.0,22439307.0,5913817.0,584679.0,,37887.0,8787089.0,10553869.0,532205.0,1234575.0,719405.0,8787089.0,669492.0,-192266.0,,,,20502366.0,en-US,US,EQUITY,False,Delayed Quote,-12.499998,0.0625 - 0.0751,0.08,0.0812,0.098,50,50,finmb_30428581,Other OTC,Jade Art Group Inc.,USD,273650,149585,0.049000002,2.3333335,0.021 - 0.29,-0.22,-0.7586207,0.021,0.29,0.6481481,0.108,USD,4,1.071,0.06358583,0.0064141676,0.10087416,0.060728252,0.009271748,0.15267603,5598600,0.06535948,15,America/New_York,EDT,-14400000,PNK,0,False,False,0.07,1630521741,-0.009999998,0.0751,0.0751,0.0625,135990,JADE ART GROUP INC,us_market,PRE,2.98,,,0.29,0.021,0.0636,0.0607,273.65k,149.59k,79.98M,,,0.00%,0.09%,,,,,,,,,,,0.00%,,,1:3,"May 14, 2008","Dec 30, 2009","Sep 29, 2010",45.96%,66.44%,9.48%,10.90%,18.74M,0.23,-78.20%,20.6M,15.33M,8.61M,0.1080,-96.30%,16.27M,0.2,,,11.59,1.07,11.38M,10.74M,Value,335200,Financial Services,35,"Jade Art Group Inc., through its subsidiary, JiangXi SheTai Jade Industrial Company Limited, engages in the sale and distribution of raw jade in China. It also involves in jade processing, carving, and polishing activities. The company's products are used as decorative construction material in commercial and residential markets, and high-end jewelry. Jade Art Group Inc. is based in Yingtan, China.",Yingtan,86 70 1588 1082,1262217600,China,86400,35 Baita Zhong Road,86 70 1588 1086,Shell Companies,Yujiang County
t-1,JADA,19258441.0,79980000,,,1684687,,1075268,184684,1864342,1679658,1679658,,,,,,609419,2783244,1103586,918902,5029,,1075268,1075268,64944484.0,3320913.0,1942630.0,84202925.0,1383857.0,86145555.0,79980.0,62823.0,76322081.0,4479951.0,5716855.0,1942630.0,4479951.0,4109.0,12361614.0,6581936.0,558773.0,8835348.0,402026.0,8787089.0,3333.0,50687.0,-47354.0,720229.0,8787089.0,-596301.0,-192266.0,-17673.0,,,10418984.0,en-US,US,EQUITY,False,Delayed Quote,-12.499998,0.0625 - 0.0751,0.08,0.0812,0.098,50,50,finmb_30428581,Other OTC,Jade Art Group Inc.,USD,273650,149585,0.049000002,2.3333335,0.021 - 0.29,-0.22,-0.7586207,0.021,0.29,0.6481481,0.108,USD,4,1.071,0.06358583,0.0064141676,0.10087416,0.060728252,0.009271748,0.15267603,5598600,0.06535948,15,America/New_York,EDT,-14400000,PNK,0,False,False,0.07,1630521741,-0.009999998,0.0751,0.0751,0.0625,135990,JADE ART GROUP INC,us_market,PRE,2.98,,,0.29,0.021,0.0636,0.0607,273.65k,149.59k,79.98M,,,0.00%,0.09%,,,,,,,,,,,0.00%,,,1:3,"May 14, 2008","Dec 30, 2009","Sep 29, 2010",45.96%,66.44%,9.48%,10.90%,18.74M,0.23,-78.20%,20.6M,15.33M,8.61M,0.1080,-96.30%,16.27M,0.2,,,11.59,1.07,11.38M,10.74M,Value,335200,Financial Services,35,"Jade Art Group Inc., through its subsidiary, JiangXi SheTai Jade Industrial Company Limited, engages in the sale and distribution of raw jade in China. It also involves in jade processing, carving, and polishing activities. The company's products are used as decorative construction material in commercial and residential markets, and high-end jewelry. Jade Art Group Inc. is based in Yingtan, China.",Yingtan,86 70 1588 1082,1262217600,China,86400,35 Baita Zhong Road,86 70 1588 1086,Shell Companies,Yujiang County
t-2,JADA,17365329.0,79980000,,,4483819,,3239111,289014,4768235,4479221,4479221,,,,,,1244708,5910871,1431650,1142636,4598,,3239111,3239111,62391084.0,3320913.0,3189180.0,79756413.0,2981678.0,82945593.0,79980.0,62500.0,75246813.0,1108707.0,5713522.0,3189180.0,1108707.0,4390.0,11763030.0,5987008.0,207502.0,8787089.0,-63458.0,8787089.0,5566130.0,2126.0,5564004.0,718069.0,8787089.0,1514996.0,-52917.0,17673.0,,,8573850.0,en-US,US,EQUITY,False,Delayed Quote,-12.499998,0.0625 - 0.0751,0.08,0.0812,0.098,50,50,finmb_30428581,Other OTC,Jade Art Group Inc.,USD,273650,149585,0.049000002,2.3333335,0.021 - 0.29,-0.22,-0.7586207,0.021,0.29,0.6481481,0.108,USD,4,1.071,0.06358583,0.0064141676,0.10087416,0.060728252,0.009271748,0.15267603,5598600,0.06535948,15,America/New_York,EDT,-14400000,PNK,0,False,False,0.07,1630521741,-0.009999998,0.0751,0.0751,0.0625,135990,JADE ART GROUP INC,us_market,PRE,2.98,,,0.29,0.021,0.0636,0.0607,273.65k,149.59k,79.98M,,,0.00%,0.09%,,,,,,,,,,,0.00%,,,1:3,"May 14, 2008","Dec 30, 2009","Sep 29, 2010",45.96%,66.44%,9.48%,10.90%,18.74M,0.23,-78.20%,20.6M,15.33M,8.61M,0.1080,-96.30%,16.27M,0.2,,,11.59,1.07,11.38M,10.74M,Value,335200,Financial Services,35,"Jade Art Group Inc., through its subsidiary, JiangXi SheTai Jade Industrial Company Limited, engages in the sale and distribution of raw jade in China. It also involves in jade processing, carving, and polishing activities. The company's products are used as decorative construction material in commercial and residential markets, and high-end jewelry. Jade Art Group Inc. is based in Yingtan, China.",Yingtan,86 70 1588 1082,1262217600,China,86400,35 Baita Zhong Road,86 70 1588 1086,Shell Companies,Yujiang County
t-3,JADA,13396751.0,79980000,,,5751407,,4064533,695587,6443006,5747419,5747419,,,,,,1686874,7717064,1969645,1274058,3988,,4064533,4064533,63108842.0,3311330.0,3044435.0,76505593.0,2050385.0,79550028.0,79980.0,,72007702.0,1106581.0,147392.0,3044435.0,1106581.0,4701.0,7649396.0,7502004.0,994050.0,8787089.0,-31864.0,-8787089.0,-4192624.0,-32211.0,6891527.0,718288.0,8787089.0,635593.0,259583.0,2280828.0,-2264851.0,-2264851.0,4604961.0,en-US,US,EQUITY,False,Delayed Quote,-12.499998,0.0625 - 0.0751,0.08,0.0812,0.098,50,50,finmb_30428581,Other OTC,Jade Art Group Inc.,USD,273650,149585,0.049000002,2.3333335,0.021 - 0.29,-0.22,-0.7586207,0.021,0.29,0.6481481,0.108,USD,4,1.071,0.06358583,0.0064141676,0.10087416,0.060728252,0.009271748,0.15267603,5598600,0.06535948,15,America/New_York,EDT,-14400000,PNK,0,False,False,0.07,1630521741,-0.009999998,0.0751,0.0751,0.0625,135990,JADE ART GROUP INC,us_market,PRE,2.98,,,0.29,0.021,0.0636,0.0607,273.65k,149.59k,79.98M,,,0.00%,0.09%,,,,,,,,,,,0.00%,,,1:3,"May 14, 2008","Dec 30, 2009","Sep 29, 2010",45.96%,66.44%,9.48%,10.90%,18.74M,0.23,-78.20%,20.6M,15.33M,8.61M,0.1080,-96.30%,16.27M,0.2,,,11.59,1.07,11.38M,10.74M,Value,335200,Financial Services,35,"Jade Art Group Inc., through its subsidiary, JiangXi SheTai Jade Industrial Company Limited, engages in the sale and distribution of raw jade in China. It also involves in jade processing, carving, and polishing activities. The company's products are used as decorative construction material in commercial and residential markets, and high-end jewelry. Jade Art Group Inc. is based in Yingtan, China.",Yingtan,86 70 1588 1082,1262217600,China,86400,35 Baita Zhong Road,86 70 1588 1086,Shell Companies,Yujiang County
