Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,accountsPayable,capitalSurplus,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,country,maxAge,address1,industry,address2
t0,GOFF,-19911.0,227250000,,,-11010,,-11010,11010,0,-11010,-11010,,,,,,0,0,11010,0,0,,-11010,-11010,25564.0,-19911.0,5653.0,286000.0,-48261.0,-257650.0,5653.0,25564.0,-257650.0,5653.0,750.0,,-773,14805,14805,-700,5506,-9299,3184,-19911.0,en-US,US,EQUITY,False,Delayed Quote,USD,GOFF CORP,1.2549363,2815421,15,America/New_York,EDT,-14400000,False,False,PREPRE,0,4,0.238,1630526363,0.028000012,0.21715,0.238,0.21,1115675,PNK,us_market,13.33334,0.21 - 0.238,0.21,finmb_158369093,Other OTC,"Goff, Corp.",USD,2918892,1657396,0.2352,84.00001,0.0028 - 0.2641,-0.02609998,-0.09882613,0.0028,0.2641,-0.0,-0.0,0.204175,0.03382501,0.16566676,0.10554622,0.13245378,0.4,,,0.2641,0.0028,0.2042,0.1055,2.92M,1.66M,227.25M,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,25:1,"Jan 23, 2013","Jun 29, 2012","Dec 30, 2012",0.00%,0.00%,,,,,,,,-24.88k,-0.0000,,5.65k,0,24.81k,,0.22,-0.00,-20.87k,,Value,054840,Basic Materials,"Goff, Corp. is an exploration stage mining company, which through its subsidiary engages in exploration and mining of mineral properties primarily gold. The company, through its subsidiary, explores La Frontera Gold Project located in Caldas, Colombia with a focus on gold and silver production. Goff, Corp. was incorporated in 2010 and is based in Medellin, Colombia.",Medellin,57 4 605 2537,Colombia,86400,Carrera 43 A # 1-50,Other Precious Metals & Mining,Torre Proteccion Piso 6 San Fernando Plaza
t-1,GOFF,-8901.0,227250000,,,-4158,,-4158,4158,0,-4158,-4158,,,,,,0,0,4158,0,0,,-4158,-4158,9048.0,-8901.0,147.0,11440.0,-37251.0,,147.0,9048.0,,147.0,1523.0,16910.0,-960,3000,3000,700,-1418,-4418,3184,-8901.0,en-US,US,EQUITY,False,Delayed Quote,USD,GOFF CORP,1.2549363,2815421,15,America/New_York,EDT,-14400000,False,False,PREPRE,0,4,0.238,1630526363,0.028000012,0.21715,0.238,0.21,1115675,PNK,us_market,13.33334,0.21 - 0.238,0.21,finmb_158369093,Other OTC,"Goff, Corp.",USD,2918892,1657396,0.2352,84.00001,0.0028 - 0.2641,-0.02609998,-0.09882613,0.0028,0.2641,-0.0,-0.0,0.204175,0.03382501,0.16566676,0.10554622,0.13245378,0.4,,,0.2641,0.0028,0.2042,0.1055,2.92M,1.66M,227.25M,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,25:1,"Jan 23, 2013","Jun 29, 2012","Dec 30, 2012",0.00%,0.00%,,,,,,,,-24.88k,-0.0000,,5.65k,0,24.81k,,0.22,-0.00,-20.87k,,Value,054840,Basic Materials,"Goff, Corp. is an exploration stage mining company, which through its subsidiary engages in exploration and mining of mineral properties primarily gold. The company, through its subsidiary, explores La Frontera Gold Project located in Caldas, Colombia with a focus on gold and silver production. Goff, Corp. was incorporated in 2010 and is based in Medellin, Colombia.",Medellin,57 4 605 2537,Colombia,86400,Carrera 43 A # 1-50,Other Precious Metals & Mining,Torre Proteccion Piso 6 San Fernando Plaza
t-2,GOFF,-4743.0,227250000,,,-3968,,-3968,3968,0,-3968,-3968,,,,,,0,0,3968,0,0,,-3968,-3968,6308.0,-4743.0,1565.0,11440.0,-33093.0,,1565.0,6308.0,,1565.0,2483.0,16910.0,2323,3000,3000,70,1425,-1575,3184,-4743.0,en-US,US,EQUITY,False,Delayed Quote,USD,GOFF CORP,1.2549363,2815421,15,America/New_York,EDT,-14400000,False,False,PREPRE,0,4,0.238,1630526363,0.028000012,0.21715,0.238,0.21,1115675,PNK,us_market,13.33334,0.21 - 0.238,0.21,finmb_158369093,Other OTC,"Goff, Corp.",USD,2918892,1657396,0.2352,84.00001,0.0028 - 0.2641,-0.02609998,-0.09882613,0.0028,0.2641,-0.0,-0.0,0.204175,0.03382501,0.16566676,0.10554622,0.13245378,0.4,,,0.2641,0.0028,0.2042,0.1055,2.92M,1.66M,227.25M,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,25:1,"Jan 23, 2013","Jun 29, 2012","Dec 30, 2012",0.00%,0.00%,,,,,,,,-24.88k,-0.0000,,5.65k,0,24.81k,,0.22,-0.00,-20.87k,,Value,054840,Basic Materials,"Goff, Corp. is an exploration stage mining company, which through its subsidiary engages in exploration and mining of mineral properties primarily gold. The company, through its subsidiary, explores La Frontera Gold Project located in Caldas, Colombia with a focus on gold and silver production. Goff, Corp. was incorporated in 2010 and is based in Medellin, Colombia.",Medellin,57 4 605 2537,Colombia,86400,Carrera 43 A # 1-50,Other Precious Metals & Mining,Torre Proteccion Piso 6 San Fernando Plaza
t-3,GOFF,-775.0,227250000,,,-5742,,-5742,5742,0,-5742,-5742,,,,,,0,0,5742,0,0,,-5742,-5742,985.0,-775.0,210.0,11440.0,-29125.0,,140.0,985.0,,210.0,160.0,16910.0,160,3000,3000,70,-5582,-5582,3184,-775.0,en-US,US,EQUITY,False,Delayed Quote,USD,GOFF CORP,1.2549363,2815421,15,America/New_York,EDT,-14400000,False,False,PREPRE,0,4,0.238,1630526363,0.028000012,0.21715,0.238,0.21,1115675,PNK,us_market,13.33334,0.21 - 0.238,0.21,finmb_158369093,Other OTC,"Goff, Corp.",USD,2918892,1657396,0.2352,84.00001,0.0028 - 0.2641,-0.02609998,-0.09882613,0.0028,0.2641,-0.0,-0.0,0.204175,0.03382501,0.16566676,0.10554622,0.13245378,0.4,,,0.2641,0.0028,0.2042,0.1055,2.92M,1.66M,227.25M,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,25:1,"Jan 23, 2013","Jun 29, 2012","Dec 30, 2012",0.00%,0.00%,,,,,,,,-24.88k,-0.0000,,5.65k,0,24.81k,,0.22,-0.00,-20.87k,,Value,054840,Basic Materials,"Goff, Corp. is an exploration stage mining company, which through its subsidiary engages in exploration and mining of mineral properties primarily gold. The company, through its subsidiary, explores La Frontera Gold Project located in Caldas, Colombia with a focus on gold and silver production. Goff, Corp. was incorporated in 2010 and is based in Medellin, Colombia.",Medellin,57 4 605 2537,Colombia,86400,Carrera 43 A # 1-50,Other Precious Metals & Mining,Torre Proteccion Piso 6 San Fernando Plaza
