Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,capitalSurplus,deferredLongTermLiab,retainedEarnings,deferredLongTermAssetCharges,shortLongTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,repurchaseOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,fax,industry
t0,FRPC,57247691.0,0,,,-306290,,-146794,1762467,3587143,442610,442610,482398,-477065,,,,-91000,11849229,11406619,8262086,-748900,,-215290,-146794,36700439.0,57247691.0,19312401.0,93948130.0,1175261.0,5802055.0,2651371.0,56072430.0,20698118.0,1668940.0,19312401.0,56072430.0,39132549.0,15696858.0,18420605.0,4552637.0,14736667.0,3673226.0,,,,,,,0.0,-1405666.0,-1269123.0,-1269131.0,1103908.0,463279.0,3138076.0,899668.0,-892048.0,890008.0,287947.0,-8.0,103339.0,-513618.0,,,-3615543.0,en-US,US,EQUITY,False,Delayed Quote,USD,FIRST REPUBLIC CORP OF AMERICA,0.4080588,70272400,0.03202217,15,America/New_York,EDT,-14400000,False,False,POST,0,4,2.75,1630438997,0.0,2.79,2.75,2.75,1100,PNK,us_market,0.0,2.75 - 2.75,2.75,finmb_3110193,Other OTC,First Republic Corp. of America,USD,40,16,1.58,1.3504274,1.17 - 8.5,-5.75,-0.6764706,1.17,8.5,-9.685,85.878,3.4466667,-0.6966667,-0.20212767,1.9530435,0.79695654,0.42,,,8.5,1.17,3.4467,1.953,40.0,16.0,,,,,,,,,,,,,,,,0.00%,,,,,"Jun 29, 2003","Mar 30, 2004",-14.03%,2.03%,0.60%,-10.47%,46.02M,69.02,3.40%,9.58M,5.07M,-6.46M,-9.6850,,1.67M,2.5,14.74M,25.74,0.81,85.88,4.9M,17.09M,Value,10001,Industrials,"The First Republic Corporation Of America engages in the real estate, hotel, seafood, and textile businesses. The company owns various loft buildings, office buildings, industrial buildings, shopping centers, and residential and other properties, situated along the east coast of the United States. It owns and operates a hotel and convention center located in Liverpool, New York, which it operates under a Holiday Inn franchise agreement. The company also owns a seafood operation in Cape Canaveral, Florida that harvests scallops and sells other imported and domestic seafood products. The Hanora Spinning division of the company operates a yarn spinning plant in Woonsocket, Rhode Island.",New York,212-279-6100,NY,1072828800,United States,86400,302 Fifth Avenue,212-629-6848,Specialty Business Services
t-1,FRPC,57449819.0,0,,,-5573064,,-5263040,1831495,3318499,101076,101076,470842,-494008,,,,-1376000,12070780,11969704,8752281,-5674140,,-4197064,-5263040,37666616.0,57449819.0,13509865.0,95116435.0,1175261.0,6264159.0,2652961.0,56274558.0,20737658.0,1205661.0,13509865.0,56274558.0,39193643.0,16873638.0,18311496.0,4840584.0,21503790.0,4563234.0,,,,,,,0.0,-471581.0,-161840.0,-161840.0,-36363.0,-458419.0,175002.0,915086.0,-33363.0,-475050.0,124261.0,-8.0,4910108.0,-438218.0,,,3363773.0,en-US,US,EQUITY,False,Delayed Quote,USD,FIRST REPUBLIC CORP OF AMERICA,0.4080588,70272400,0.03202217,15,America/New_York,EDT,-14400000,False,False,POST,0,4,2.75,1630438997,0.0,2.79,2.75,2.75,1100,PNK,us_market,0.0,2.75 - 2.75,2.75,finmb_3110193,Other OTC,First Republic Corp. of America,USD,40,16,1.58,1.3504274,1.17 - 8.5,-5.75,-0.6764706,1.17,8.5,-9.685,85.878,3.4466667,-0.6966667,-0.20212767,1.9530435,0.79695654,0.42,,,8.5,1.17,3.4467,1.953,40.0,16.0,,,,,,,,,,,,,,,,0.00%,,,,,"Jun 29, 2003","Mar 30, 2004",-14.03%,2.03%,0.60%,-10.47%,46.02M,69.02,3.40%,9.58M,5.07M,-6.46M,-9.6850,,1.67M,2.5,14.74M,25.74,0.81,85.88,4.9M,17.09M,Value,10001,Industrials,"The First Republic Corporation Of America engages in the real estate, hotel, seafood, and textile businesses. The company owns various loft buildings, office buildings, industrial buildings, shopping centers, and residential and other properties, situated along the east coast of the United States. It owns and operates a hotel and convention center located in Liverpool, New York, which it operates under a Holiday Inn franchise agreement. The company also owns a seafood operation in Cape Canaveral, Florida that harvests scallops and sells other imported and domestic seafood products. The Hanora Spinning division of the company operates a yarn spinning plant in Woonsocket, Rhode Island.",New York,212-279-6100,NY,1072828800,United States,86400,302 Fifth Avenue,212-629-6848,Specialty Business Services
t-2,FRPC,62662949.0,0,,,-663021,,-503835,1739078,3463920,351862,351862,465230,-499993,,,,240000,10488968,10137106,7025048,-1014883,,-903021,-503835,37821635.0,62662949.0,12890076.0,100484584.0,1175261.0,8284184.0,2825251.0,61487688.0,20682492.0,1664080.0,12890076.0,61487688.0,39670512.0,21893439.0,18238141.0,5150172.0,22106308.0,6795003.0,,,,,,,0.0,-774045.0,737830.0,725630.0,-1179043.0,-514478.0,-466063.0,907750.0,5381.0,694230.0,-325869.0,-12200.0,-59296.0,-954426.0,,,9003363.0,en-US,US,EQUITY,False,Delayed Quote,USD,FIRST REPUBLIC CORP OF AMERICA,0.4080588,70272400,0.03202217,15,America/New_York,EDT,-14400000,False,False,POST,0,4,2.75,1630438997,0.0,2.79,2.75,2.75,1100,PNK,us_market,0.0,2.75 - 2.75,2.75,finmb_3110193,Other OTC,First Republic Corp. of America,USD,40,16,1.58,1.3504274,1.17 - 8.5,-5.75,-0.6764706,1.17,8.5,-9.685,85.878,3.4466667,-0.6966667,-0.20212767,1.9530435,0.79695654,0.42,,,8.5,1.17,3.4467,1.953,40.0,16.0,,,,,,,,,,,,,,,,0.00%,,,,,"Jun 29, 2003","Mar 30, 2004",-14.03%,2.03%,0.60%,-10.47%,46.02M,69.02,3.40%,9.58M,5.07M,-6.46M,-9.6850,,1.67M,2.5,14.74M,25.74,0.81,85.88,4.9M,17.09M,Value,10001,Industrials,"The First Republic Corporation Of America engages in the real estate, hotel, seafood, and textile businesses. The company owns various loft buildings, office buildings, industrial buildings, shopping centers, and residential and other properties, situated along the east coast of the United States. It owns and operates a hotel and convention center located in Liverpool, New York, which it operates under a Holiday Inn franchise agreement. The company also owns a seafood operation in Cape Canaveral, Florida that harvests scallops and sells other imported and domestic seafood products. The Hanora Spinning division of the company operates a yarn spinning plant in Woonsocket, Rhode Island.",New York,212-279-6100,NY,1072828800,United States,86400,302 Fifth Avenue,212-629-6848,Specialty Business Services
t-3,FRPC,63112371.0,0,,,-1009553,412068.0,-543635,544831,696021,36351,36351,-1303952,-539655,,,,31000,11608149,11571798,10912128,-1045904,,-1040553,-543635,36849237.0,63112371.0,93257.0,100373676.0,1175261.0,,2541006.0,-5990807.0,20579552.0,2178558.0,11880431.0,-1354000.0,39623836.0,21708122.0,18462166.0,9811078.0,22427800.0,7489233.0,15000753.0,985989.0,52927164.0,3002505.0,1746585.0,1922072.0,575880.0,-2149272.0,-1595685.0,-1439500.0,908474.0,-781122.0,2807650.0,1418791.0,551657.0,1319762.0,-1430747.0,195102.0,559125.0,2080695.0,-2845479.0,-38917.0,9827691.0,en-US,US,EQUITY,False,Delayed Quote,USD,FIRST REPUBLIC CORP OF AMERICA,0.4080588,70272400,0.03202217,15,America/New_York,EDT,-14400000,False,False,POST,0,4,2.75,1630438997,0.0,2.79,2.75,2.75,1100,PNK,us_market,0.0,2.75 - 2.75,2.75,finmb_3110193,Other OTC,First Republic Corp. of America,USD,40,16,1.58,1.3504274,1.17 - 8.5,-5.75,-0.6764706,1.17,8.5,-9.685,85.878,3.4466667,-0.6966667,-0.20212767,1.9530435,0.79695654,0.42,,,8.5,1.17,3.4467,1.953,40.0,16.0,,,,,,,,,,,,,,,,0.00%,,,,,"Jun 29, 2003","Mar 30, 2004",-14.03%,2.03%,0.60%,-10.47%,46.02M,69.02,3.40%,9.58M,5.07M,-6.46M,-9.6850,,1.67M,2.5,14.74M,25.74,0.81,85.88,4.9M,17.09M,Value,10001,Industrials,"The First Republic Corporation Of America engages in the real estate, hotel, seafood, and textile businesses. The company owns various loft buildings, office buildings, industrial buildings, shopping centers, and residential and other properties, situated along the east coast of the United States. It owns and operates a hotel and convention center located in Liverpool, New York, which it operates under a Holiday Inn franchise agreement. The company also owns a seafood operation in Cape Canaveral, Florida that harvests scallops and sells other imported and domestic seafood products. The Hanora Spinning division of the company operates a yarn spinning plant in Woonsocket, Rhode Island.",New York,212-279-6100,NY,1072828800,United States,86400,302 Fifth Avenue,212-629-6848,Specialty Business Services
