Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,accountsPayable,longTermDebt,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToNetincome,totalCashflowsFromInvestingActivities,capitalExpenditures,investments,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GTII,-1975562.0,233648000,,,-675742,,-675742,724029,0,-724297,-724297,,-19445,,,,0,0,724297,0,48555,,-675742,-675742,168862371.0,2356182.0,-1975562.0,380621.0,240998.0,-171078931.0,56776.0,2356182.0,2678.0,377943.0,99000.0,819095.0,,199427.0,126815.0,126815.0,-2831.0,54297.0,-72518.0,268.0,406360.0,,,,-1978239.0,en-US,US,EQUITY,False,Delayed Quote,1.4,1630526399,0.11500001,1.33,1.63,1.29,202086,-0.27780437,-0.16557615,327107200,-155.55556,15,America/New_York,EDT,-14400000,False,False,USD,4,GLOBAL TECH INDUSTRIES GROUP IN,PNK,-0.009,1.8038571,-0.4038571,-0.22388531,1.6778044,0,finmb_38556812,Other OTC,"Global Tech Industries Group, Inc.",USD,226903,284942,1.379,65.666664,0.021 - 4.55,-3.15,-0.6923077,0.021,4.55,-0.015,PREPRE,8.949418,1.29 - 1.63,1.285,0.0,0.0,0,0,us_market,3.32,,,4.55,0.021,1.8039,1.6778,226.9k,284.94k,233.65M,,175.6M,24.02%,0.00%,,,,,,,,,,,0.00%,,,10:1,"May 09, 2016","Dec 30, 2020","Mar 30, 2021",0.00%,"-36,332.84%",-967.30%,,8.5k,0.00,,8.5k,,-3.17M,-0.0150,,155.78k,0,1.18M,,0.16,-0.01,-216.98k,-144.44k,Value,10011,Industrials,1,"Global Tech Industries Group, Inc. does not have significant operations. Previously, it was engaged in various clean-tech and environmentally friendly technologies, and intellectual properties in the areas of hazardous waste destruction, energetic materials, chemical recycling processes, and coal gasification. The company was formerly known as Tree Top Industries, Inc. and changed its name to Global Tech Industries Group, Inc. in July 2016. Global Tech Industries Group, Inc. is based in New York, New York.",New York,212 204 7926,NY,1609372800,United States,http://gtii-us.com,86400,511 Sixth Avenue,Conglomerates,Suite 800
t-1,GTII,-1774180.0,233648000,,,-1823698,,-1823698,1786138,0,-1786405,-1786405,,-25293,,,,0,0,1786405,0,-37293,,-1823698,-1823698,168398511.0,2032771.0,-1774180.0,258592.0,230498.0,-170403189.0,2479.0,2032771.0,2946.0,255646.0,31000.0,619668.0,,32180.0,72532.0,72532.0,-167968.0,1009.0,-68310.0,267.0,1890909.0,-3213.0,-3213.0,,-1777125.0,en-US,US,EQUITY,False,Delayed Quote,1.4,1630526399,0.11500001,1.33,1.63,1.29,202086,-0.27780437,-0.16557615,327107200,-155.55556,15,America/New_York,EDT,-14400000,False,False,USD,4,GLOBAL TECH INDUSTRIES GROUP IN,PNK,-0.009,1.8038571,-0.4038571,-0.22388531,1.6778044,0,finmb_38556812,Other OTC,"Global Tech Industries Group, Inc.",USD,226903,284942,1.379,65.666664,0.021 - 4.55,-3.15,-0.6923077,0.021,4.55,-0.015,PREPRE,8.949418,1.29 - 1.63,1.285,0.0,0.0,0,0,us_market,3.32,,,4.55,0.021,1.8039,1.6778,226.9k,284.94k,233.65M,,175.6M,24.02%,0.00%,,,,,,,,,,,0.00%,,,10:1,"May 09, 2016","Dec 30, 2020","Mar 30, 2021",0.00%,"-36,332.84%",-967.30%,,8.5k,0.00,,8.5k,,-3.17M,-0.0150,,155.78k,0,1.18M,,0.16,-0.01,-216.98k,-144.44k,Value,10011,Industrials,1,"Global Tech Industries Group, Inc. does not have significant operations. Previously, it was engaged in various clean-tech and environmentally friendly technologies, and intellectual properties in the areas of hazardous waste destruction, energetic materials, chemical recycling processes, and coal gasification. The company was formerly known as Tree Top Industries, Inc. and changed its name to Global Tech Industries Group, Inc. in July 2016. Global Tech Industries Group, Inc. is based in New York, New York.",New York,212 204 7926,NY,1609372800,United States,http://gtii-us.com,86400,511 Sixth Avenue,Conglomerates,Suite 800
t-2,GTII,-6493096.0,233648000,,,-317304,,-317304,280046,8500,-271546,-271546,,-60724,,,,0,8500,280046,0,-45758,,-317304,-317304,161879245.0,6537565.0,-6493096.0,44470.0,207150.0,-168579491.0,1470.0,2997160.0,,44470.0,43000.0,739926.0,3540405.0,541061.0,15038.0,15038.0,-292974.0,107.0,-15074.0,267.0,54143.0,143.0,-3213.0,143.0,-2952690.0,en-US,US,EQUITY,False,Delayed Quote,1.4,1630526399,0.11500001,1.33,1.63,1.29,202086,-0.27780437,-0.16557615,327107200,-155.55556,15,America/New_York,EDT,-14400000,False,False,USD,4,GLOBAL TECH INDUSTRIES GROUP IN,PNK,-0.009,1.8038571,-0.4038571,-0.22388531,1.6778044,0,finmb_38556812,Other OTC,"Global Tech Industries Group, Inc.",USD,226903,284942,1.379,65.666664,0.021 - 4.55,-3.15,-0.6923077,0.021,4.55,-0.015,PREPRE,8.949418,1.29 - 1.63,1.285,0.0,0.0,0,0,us_market,3.32,,,4.55,0.021,1.8039,1.6778,226.9k,284.94k,233.65M,,175.6M,24.02%,0.00%,,,,,,,,,,,0.00%,,,10:1,"May 09, 2016","Dec 30, 2020","Mar 30, 2021",0.00%,"-36,332.84%",-967.30%,,8.5k,0.00,,8.5k,,-3.17M,-0.0150,,155.78k,0,1.18M,,0.16,-0.01,-216.98k,-144.44k,Value,10011,Industrials,1,"Global Tech Industries Group, Inc. does not have significant operations. Previously, it was engaged in various clean-tech and environmentally friendly technologies, and intellectual properties in the areas of hazardous waste destruction, energetic materials, chemical recycling processes, and coal gasification. The company was formerly known as Tree Top Industries, Inc. and changed its name to Global Tech Industries Group, Inc. in July 2016. Global Tech Industries Group, Inc. is based in New York, New York.",New York,212 204 7926,NY,1609372800,United States,http://gtii-us.com,86400,511 Sixth Avenue,Conglomerates,Suite 800
t-3,GTII,-6244902.0,233648000,,,-352638,,-352638,306043,0,-306043,-306043,,-57704,,,,0,0,306043,0,-46595,,-352638,-352638,161812135.0,6274441.0,-6244902.0,29540.0,205150.0,-168262187.0,1363.0,2734036.0,,29540.0,28177.0,717706.0,3540405.0,-177257.0,61042.0,61042.0,384265.0,-36.0,-61078.0,267.0,84552.0,143.0,-3213.0,143.0,-2704496.0,en-US,US,EQUITY,False,Delayed Quote,1.4,1630526399,0.11500001,1.33,1.63,1.29,202086,-0.27780437,-0.16557615,327107200,-155.55556,15,America/New_York,EDT,-14400000,False,False,USD,4,GLOBAL TECH INDUSTRIES GROUP IN,PNK,-0.009,1.8038571,-0.4038571,-0.22388531,1.6778044,0,finmb_38556812,Other OTC,"Global Tech Industries Group, Inc.",USD,226903,284942,1.379,65.666664,0.021 - 4.55,-3.15,-0.6923077,0.021,4.55,-0.015,PREPRE,8.949418,1.29 - 1.63,1.285,0.0,0.0,0,0,us_market,3.32,,,4.55,0.021,1.8039,1.6778,226.9k,284.94k,233.65M,,175.6M,24.02%,0.00%,,,,,,,,,,,0.00%,,,10:1,"May 09, 2016","Dec 30, 2020","Mar 30, 2021",0.00%,"-36,332.84%",-967.30%,,8.5k,0.00,,8.5k,,-3.17M,-0.0150,,155.78k,0,1.18M,,0.16,-0.01,-216.98k,-144.44k,Value,10011,Industrials,1,"Global Tech Industries Group, Inc. does not have significant operations. Previously, it was engaged in various clean-tech and environmentally friendly technologies, and intellectual properties in the areas of hazardous waste destruction, energetic materials, chemical recycling processes, and coal gasification. The company was formerly known as Tree Top Industries, Inc. and changed its name to Global Tech Industries Group, Inc. in July 2016. Global Tech Industries Group, Inc. is based in New York, New York.",New York,212 204 7926,NY,1609372800,United States,http://gtii-us.com,86400,511 Sixth Avenue,Conglomerates,Suite 800
