Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,priceHint,shortName,longName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,market,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,exchangeDataDelayedBy,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,HTPRF,30235639.0,32413700,,,-1077767,-12752,-1074552,777153,5235,-1267962,-1267962,,-49558,,,,0,6558,1274520,1323,190195,,-1077767,-1074552,3776790.0,4711735.0,15030709.0,34012429.0,252229.0,400835.0,49030386.0,58317886.0,1315903.0,-28825845.0,7779077.0,-191347.0,641972.0,200805.0,1667812.0,-191347.0,8212281.0,36236190.0,163153.0,40726.0,2036931.0,5244752.0,32289094.0,814890.0,,-729.0,-1193171.0,27730756.0,-10848286.0,-9328554.0,5043947.0,-452957.0,-18855460.0,496044.0,349418.0,-31832323.0,2290316.0,1519732.0,7414279.0,-3955686.0,,34568378.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.0431 - 0.0431,0.0431,finmb_881341,Other OTC,CAD,3246,857,0.0031000003,0.07750001,0.04 - 0.1,-0.056900002,-0.569,0.04,0.1,-0.0,-14400000,0.164,0.04885714,-0.005757142,-0.11783624,0.0592029,-0.016102899,4,HTC PURENERGY INC,HTC Purenergy Inc.,0.0431,1630072919,0.0,0.0431,0.0431,0.0431,32,PRE,PNK,us_market,-0.2719951,3513973,0.26280487,15,America/New_York,EDT,False,False,0,2.88,,,0.1,0.04,0.0489,0.0592,3.25k,857,32.41M,,188.37M,33.33%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2019","Sep 29, 2020",-3.99%,-234.17%,-7.67%,-2.90%,2.23M,0.01,-84.30%,2.29M,-4.19M,-739.89k,-0.0000,,335.59k,0,5.62M,16.51,21.73,0.16,-13.7M,-48.32M,Value,S4P 0S7,,"HTC Purenergy Inc., doing business as HTC Extraction Systems, develops, aggregates, and commercializes proprietary technologies relating to gas, liquid and biomass extraction, distillation, purification, and reclamation in Canada. It operates through two segments, HTC's Delta CleanTech Division and HTC's Hemp Division. The HTC's Delta CleanTech Division provides products and services related to clean energy industries. The HTC's Hemp Division engages in hemp-based activities, such as hemp extraction, refining, formulation, and distribution in the State of California. The company's products include Delta purification systems/ CO2 capture systems, Delta reclaimer systems, and hydrogen thermochem systems. The company was formerly known as HTC Hydrogen Technologies Corp. and changed its name to HTC Purenergy Inc. in February 2008. HTC Purenergy Inc. is headquartered in Regina, Canada.",Regina,306 352 6132,SK,1609372800,Canada,http://www.htcextraction.com,86400,#002- 2305 Victoria Avenue,306 545 3262,
t-1,HTPRF,31208480.0,32413700,,,3447495,-9537,3312528,736341,125839,-727552,-727552,,-4198,,,,0,125839,853391,0,4175047,-96837.0,3447495,3312528,3833722.0,4711735.0,13949526.0,35042202.0,272659.0,,48982191.0,58317886.0,934962.0,-27751294.0,7779077.0,-236125.0,1290189.0,475867.0,1549677.0,-236125.0,7841657.0,35898227.0,118396.0,8044.0,2866914.0,4095466.0,31458839.0,708933.0,,-40918.0,0.0,-1133252.0,-1844306.0,-1852047.0,210469.0,-902349.0,2094588.0,-371501.0,847254.0,-31832323.0,2290316.0,-7741.0,-1056908.0,-1935947.0,,34348550.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.0431 - 0.0431,0.0431,finmb_881341,Other OTC,CAD,3246,857,0.0031000003,0.07750001,0.04 - 0.1,-0.056900002,-0.569,0.04,0.1,-0.0,-14400000,0.164,0.04885714,-0.005757142,-0.11783624,0.0592029,-0.016102899,4,HTC PURENERGY INC,HTC Purenergy Inc.,0.0431,1630072919,0.0,0.0431,0.0431,0.0431,32,PRE,PNK,us_market,-0.2719951,3513973,0.26280487,15,America/New_York,EDT,False,False,0,2.88,,,0.1,0.04,0.0489,0.0592,3.25k,857,32.41M,,188.37M,33.33%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2019","Sep 29, 2020",-3.99%,-234.17%,-7.67%,-2.90%,2.23M,0.01,-84.30%,2.29M,-4.19M,-739.89k,-0.0000,,335.59k,0,5.62M,16.51,21.73,0.16,-13.7M,-48.32M,Value,S4P 0S7,,"HTC Purenergy Inc., doing business as HTC Extraction Systems, develops, aggregates, and commercializes proprietary technologies relating to gas, liquid and biomass extraction, distillation, purification, and reclamation in Canada. It operates through two segments, HTC's Delta CleanTech Division and HTC's Hemp Division. The HTC's Delta CleanTech Division provides products and services related to clean energy industries. The HTC's Hemp Division engages in hemp-based activities, such as hemp extraction, refining, formulation, and distribution in the State of California. The company's products include Delta purification systems/ CO2 capture systems, Delta reclaimer systems, and hydrogen thermochem systems. The company was formerly known as HTC Hydrogen Technologies Corp. and changed its name to HTC Purenergy Inc. in February 2008. HTC Purenergy Inc. is headquartered in Regina, Canada.",Regina,306 352 6132,SK,1609372800,Canada,http://www.htcextraction.com,86400,#002- 2305 Victoria Avenue,306 545 3262,
t-2,HTPRF,23168204.0,32413700,,,-1265498,3726133,-1221298,1096409,659975,-1142839,-1142839,,-75730,,,,0,707615,1850454,47640,-122659,-96837.0,-1265498,-1221298,3808140.0,4711735.0,19356553.0,26976344.0,268631.0,730066.0,50059030.0,50527886.0,1454354.0,-27983352.0,,-279925.0,3137049.0,1556111.0,6203530.0,-279925.0,31641589.0,11438647.0,33605.0,,8139671.0,12598486.0,206585.0,1176339.0,395103.0,3670.0,58853.0,-5410900.0,1785302.0,1785302.0,1357212.0,-3652322.0,-26724.0,580452.0,-776372.0,-47640.0,-755266.0,-7741.0,-19469.0,-3451245.0,,5235117.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.0431 - 0.0431,0.0431,finmb_881341,Other OTC,CAD,3246,857,0.0031000003,0.07750001,0.04 - 0.1,-0.056900002,-0.569,0.04,0.1,-0.0,-14400000,0.164,0.04885714,-0.005757142,-0.11783624,0.0592029,-0.016102899,4,HTC PURENERGY INC,HTC Purenergy Inc.,0.0431,1630072919,0.0,0.0431,0.0431,0.0431,32,PRE,PNK,us_market,-0.2719951,3513973,0.26280487,15,America/New_York,EDT,False,False,0,2.88,,,0.1,0.04,0.0489,0.0592,3.25k,857,32.41M,,188.37M,33.33%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2019","Sep 29, 2020",-3.99%,-234.17%,-7.67%,-2.90%,2.23M,0.01,-84.30%,2.29M,-4.19M,-739.89k,-0.0000,,335.59k,0,5.62M,16.51,21.73,0.16,-13.7M,-48.32M,Value,S4P 0S7,,"HTC Purenergy Inc., doing business as HTC Extraction Systems, develops, aggregates, and commercializes proprietary technologies relating to gas, liquid and biomass extraction, distillation, purification, and reclamation in Canada. It operates through two segments, HTC's Delta CleanTech Division and HTC's Hemp Division. The HTC's Delta CleanTech Division provides products and services related to clean energy industries. The HTC's Hemp Division engages in hemp-based activities, such as hemp extraction, refining, formulation, and distribution in the State of California. The company's products include Delta purification systems/ CO2 capture systems, Delta reclaimer systems, and hydrogen thermochem systems. The company was formerly known as HTC Hydrogen Technologies Corp. and changed its name to HTC Purenergy Inc. in February 2008. HTC Purenergy Inc. is headquartered in Regina, Canada.",Regina,306 352 6132,SK,1609372800,Canada,http://www.htcextraction.com,86400,#002- 2305 Victoria Avenue,306 545 3262,
t-3,HTPRF,25350225.0,32413700,,,-1155663,3770333,-1095788,1059125,540122,-1166733,-1166733,,-42261,,,,0,-868534,298199,-1408656,11070,-96837.0,-1155663,-1095788,263070.0,4606214.0,17355495.0,25613295.0,289062.0,157019.0,46739123.0,47979086.0,1940301.0,-26762054.0,,-209951.0,4821863.0,5208433.0,5042569.0,-209951.0,28183086.0,13367525.0,103579.0,,5870830.0,11893486.0,254225.0,1795076.0,495102.0,-18366.0,595819.0,-10312325.0,857121.0,10185515.0,5106928.0,2964722.0,3091532.0,538932.0,-3531549.0,59640.0,-1333387.0,502573.0,-789424.0,-7836709.0,8825821.0,8324956.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.0431 - 0.0431,0.0431,finmb_881341,Other OTC,CAD,3246,857,0.0031000003,0.07750001,0.04 - 0.1,-0.056900002,-0.569,0.04,0.1,-0.0,-14400000,0.164,0.04885714,-0.005757142,-0.11783624,0.0592029,-0.016102899,4,HTC PURENERGY INC,HTC Purenergy Inc.,0.0431,1630072919,0.0,0.0431,0.0431,0.0431,32,PRE,PNK,us_market,-0.2719951,3513973,0.26280487,15,America/New_York,EDT,False,False,0,2.88,,,0.1,0.04,0.0489,0.0592,3.25k,857,32.41M,,188.37M,33.33%,0.00%,,,,,,,,,,,,,,,,"Dec 30, 2019","Sep 29, 2020",-3.99%,-234.17%,-7.67%,-2.90%,2.23M,0.01,-84.30%,2.29M,-4.19M,-739.89k,-0.0000,,335.59k,0,5.62M,16.51,21.73,0.16,-13.7M,-48.32M,Value,S4P 0S7,,"HTC Purenergy Inc., doing business as HTC Extraction Systems, develops, aggregates, and commercializes proprietary technologies relating to gas, liquid and biomass extraction, distillation, purification, and reclamation in Canada. It operates through two segments, HTC's Delta CleanTech Division and HTC's Hemp Division. The HTC's Delta CleanTech Division provides products and services related to clean energy industries. The HTC's Hemp Division engages in hemp-based activities, such as hemp extraction, refining, formulation, and distribution in the State of California. The company's products include Delta purification systems/ CO2 capture systems, Delta reclaimer systems, and hydrogen thermochem systems. The company was formerly known as HTC Hydrogen Technologies Corp. and changed its name to HTC Purenergy Inc. in February 2008. HTC Purenergy Inc. is headquartered in Regina, Canada.",Regina,306 352 6132,SK,1609372800,Canada,http://www.htcextraction.com,86400,#002- 2305 Victoria Avenue,306 545 3262,
