Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,changeToNetincome,issuanceOfStock,changeToInventory,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry
t0,GEGI,-1076913.0,201146000,,,-69964,,-104112,34290,0,-58852,-58852,,-21112,,,,0,0,58852,0,-11112,-34148,-69964,-104112,8188.0,8148624.0,1413501.0,-1068725.0,30000.0,344776.0,190376.0,300000.0,-9406225.0,-1500.0,18405.0,1413501.0,-1500.0,336588.0,10000.0,1405.0,212623.0,31277.0,-20000.0,102771.0,-102344.0,156559.0,4418.0,-205115.0,126762.0,24562.0,7352.0,,,-1076913.0,en-US,US,EQUITY,False,Delayed Quote,POST,USD,PNK,GENESIS ELECTRONICS GROUP INC,us_market,4,Other OTC,"Genesis Electronics Group, Inc.",USD,18578804,5044266,0.0022000002,11.000001,2.0E-4 - 0.0072,-0.0047999998,-0.6666666,0.0002,0.0072,-0.005,0,-0.005,0.0027791667,-0.00037916657,-0.13643175,0.0025678873,-0.00016788719,-0.0653795,482750,-0.48000002,15,America/New_York,EDT,-14400000,False,False,-7.6923037,0.0023 - 0.0026,0.0026,finmb_10850959,0.0024,1630526239,-0.0001999999,0.0026,0.0026,0.0023,2054129,2.57,,,0.0072,0.0002,0.0028,0.0026,18.58M,5.04M,201.15M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2010","Sep 29, 2011",0.00%,"-2,652.82%",-136.77%,,32.78k,0.00,,12.2k,-689.77k,-948.21k,-0.0050,,18.41k,0,1.14M,,0.24,-0.00,-292.53k,-217.3k,Value,07701,Industrials,"Genesis Electronics Group, Inc., through its subsidiaries, engages in the development of solar and alternative energy applications for consumer devices, such as mobile phones device. The company focuses on developing the SunBlazer, a solar-powered charger designed specifically for the Apple iPhones. It also owns mining rights to 13 gold mining claims the Osceola Mining District located in Nevada. The company was formerly known as Pricester.com, Inc. and changed its name to Genesis Electronics Group, Inc. in February 2009. Genesis Electronics Group, Inc. was founded in 2001 and is headquartered in Red Bank, New Jersey.",Red Bank,732-936-8690,NJ,1293753600,United States,86400,26 Broad Street,Specialty Business Services
t-1,GEGI,-1025704.0,201146000,,,-173065,,-173065,100696,-4383,-133663,-133663,,-39402,,,,0,5288,138951,9671,-39402,-34148,-173065,-173065,32750.0,8124658.0,1348343.0,-992954.0,30000.0,355389.0,176001.0,300000.0,-9292113.0,-1500.0,13987.0,1348343.0,-1500.0,322639.0,,1405.0,153174.0,11876.0,-20000.0,33300.0,242974.0,-107174.0,-1413.0,-205115.0,-244387.0,28584.0,-38325.0,209674.0,-148.0,-1025704.0,en-US,US,EQUITY,False,Delayed Quote,POST,USD,PNK,GENESIS ELECTRONICS GROUP INC,us_market,4,Other OTC,"Genesis Electronics Group, Inc.",USD,18578804,5044266,0.0022000002,11.000001,2.0E-4 - 0.0072,-0.0047999998,-0.6666666,0.0002,0.0072,-0.005,0,-0.005,0.0027791667,-0.00037916657,-0.13643175,0.0025678873,-0.00016788719,-0.0653795,482750,-0.48000002,15,America/New_York,EDT,-14400000,False,False,-7.6923037,0.0023 - 0.0026,0.0026,finmb_10850959,0.0024,1630526239,-0.0001999999,0.0026,0.0026,0.0023,2054129,2.57,,,0.0072,0.0002,0.0028,0.0026,18.58M,5.04M,201.15M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2010","Sep 29, 2011",0.00%,"-2,652.82%",-136.77%,,32.78k,0.00,,12.2k,-689.77k,-948.21k,-0.0050,,18.41k,0,1.14M,,0.24,-0.00,-292.53k,-217.3k,Value,07701,Industrials,"Genesis Electronics Group, Inc., through its subsidiaries, engages in the development of solar and alternative energy applications for consumer devices, such as mobile phones device. The company focuses on developing the SunBlazer, a solar-powered charger designed specifically for the Apple iPhones. It also owns mining rights to 13 gold mining claims the Osceola Mining District located in Nevada. The company was formerly known as Pricester.com, Inc. and changed its name to Genesis Electronics Group, Inc. in February 2009. Genesis Electronics Group, Inc. was founded in 2001 and is headquartered in Red Bank, New Jersey.",Red Bank,732-936-8690,NJ,1293753600,United States,86400,26 Broad Street,Specialty Business Services
t-2,GEGI,-945947.0,201146000,,,-165183,,-165183,137176,959,-136217,-136217,,-28966,,,,0,6051,142268,5092,-28966,-34148,-165183,-165183,61334.0,8066028.0,1310114.0,-884613.0,45000.0,425501.0,171907.0,300000.0,-9119048.0,-3500.0,15400.0,1310114.0,-3500.0,364167.0,,1519.0,202208.0,-4664.0,-20000.0,81500.0,96500.0,-5000.0,9915.0,-205115.0,-86585.0,23000.0,39738.0,15000.0,-148.0,-945947.0,en-US,US,EQUITY,False,Delayed Quote,POST,USD,PNK,GENESIS ELECTRONICS GROUP INC,us_market,4,Other OTC,"Genesis Electronics Group, Inc.",USD,18578804,5044266,0.0022000002,11.000001,2.0E-4 - 0.0072,-0.0047999998,-0.6666666,0.0002,0.0072,-0.005,0,-0.005,0.0027791667,-0.00037916657,-0.13643175,0.0025678873,-0.00016788719,-0.0653795,482750,-0.48000002,15,America/New_York,EDT,-14400000,False,False,-7.6923037,0.0023 - 0.0026,0.0026,finmb_10850959,0.0024,1630526239,-0.0001999999,0.0026,0.0026,0.0023,2054129,2.57,,,0.0072,0.0002,0.0028,0.0026,18.58M,5.04M,201.15M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2010","Sep 29, 2011",0.00%,"-2,652.82%",-136.77%,,32.78k,0.00,,12.2k,-689.77k,-948.21k,-0.0050,,18.41k,0,1.14M,,0.24,-0.00,-292.53k,-217.3k,Value,07701,Industrials,"Genesis Electronics Group, Inc., through its subsidiaries, engages in the development of solar and alternative energy applications for consumer devices, such as mobile phones device. The company focuses on developing the SunBlazer, a solar-powered charger designed specifically for the Apple iPhones. It also owns mining rights to 13 gold mining claims the Osceola Mining District located in Nevada. The company was formerly known as Pricester.com, Inc. and changed its name to Genesis Electronics Group, Inc. in February 2009. Genesis Electronics Group, Inc. was founded in 2001 and is headquartered in Red Bank, New Jersey.",Red Bank,732-936-8690,NJ,1293753600,United States,86400,26 Broad Street,Specialty Business Services
t-3,GEGI,-967214.0,201146000,,,-443371,,-443371,116150,-10110,-425760,-425760,,-17611,,,,0,6040,431800,16150,-17611,-34148,-443371,-443371,84334.0,7907153.0,1277116.0,-882880.0,50000.0,394236.0,168832.0,300000.0,-8953865.0,-5000.0,5485.0,1277116.0,-5000.0,309902.0,,1257.0,206872.0,32318.0,-20000.0,16625.0,76500.0,30000.0,-11817.0,-205115.0,-88317.0,25274.0,251493.0,59875.0,-148.0,-967214.0,en-US,US,EQUITY,False,Delayed Quote,POST,USD,PNK,GENESIS ELECTRONICS GROUP INC,us_market,4,Other OTC,"Genesis Electronics Group, Inc.",USD,18578804,5044266,0.0022000002,11.000001,2.0E-4 - 0.0072,-0.0047999998,-0.6666666,0.0002,0.0072,-0.005,0,-0.005,0.0027791667,-0.00037916657,-0.13643175,0.0025678873,-0.00016788719,-0.0653795,482750,-0.48000002,15,America/New_York,EDT,-14400000,False,False,-7.6923037,0.0023 - 0.0026,0.0026,finmb_10850959,0.0024,1630526239,-0.0001999999,0.0026,0.0026,0.0023,2054129,2.57,,,0.0072,0.0002,0.0028,0.0026,18.58M,5.04M,201.15M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2010","Sep 29, 2011",0.00%,"-2,652.82%",-136.77%,,32.78k,0.00,,12.2k,-689.77k,-948.21k,-0.0050,,18.41k,0,1.14M,,0.24,-0.00,-292.53k,-217.3k,Value,07701,Industrials,"Genesis Electronics Group, Inc., through its subsidiaries, engages in the development of solar and alternative energy applications for consumer devices, such as mobile phones device. The company focuses on developing the SunBlazer, a solar-powered charger designed specifically for the Apple iPhones. It also owns mining rights to 13 gold mining claims the Osceola Mining District located in Nevada. The company was formerly known as Pricester.com, Inc. and changed its name to Genesis Electronics Group, Inc. in February 2009. Genesis Electronics Group, Inc. was founded in 2001 and is headquartered in Red Bank, New Jersey.",Red Bank,732-936-8690,NJ,1293753600,United States,86400,26 Broad Street,Specialty Business Services
