Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,longTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 14, 2013) 4","Short Ratio (May 14, 2013) 4","Short % of Float (May 14, 2013) 4","Short % of Shares Outstanding (May 14, 2013) 4","Shares Short (prior month Apr 14, 2013) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,JAGGF,190568000.0,72414896,,,5532000,,2980000,1595000,18682000,9636000,9636000,376000,-285000,,,,2552000,36330000,26694000,17648000,-4104000,,2980000,2980000,23528000.0,58554000.0,190568000.0,6223000.0,249122000.0,566959000.0,1088000.0,-402659000.0,27840000.0,2740000.0,11484000.0,34393000.0,28741000.0,3037000.0,2740000.0,179038000.0,58600000.0,4896000.0,15696000.0,11587000.0,,157000.0,-9675000.0,-1114000.0,-5901000.0,308000.0,1000.0,-3209000.0,-267000.0,12634000.0,5654000.0,-4742000.0,-1210000.0,20000.0,-46000.0,5409000.0,-9679000.0,,29859000.0,en-US,US,EQUITY,False,Delayed Quote,-3.0303066,3.51 - 3.7,3.63,finmb_4279240,Other OTC,Jaguar Mining Inc.,USD,53556,24514,0.3399999,0.10691821,3.18 - 9.3,-5.78,-0.6215054,3.18,9.3,USD,False,False,us_market,3.52,1630525980,-0.11000013,3.7,3.7,3.51,8287,PRE,JAGUAR MINING INC,PNK,1630281600,1636378200,1636378200,1636378200,0.189,3.9550562,0.052066114,0.89,0,2.654,3.9455142,-0.42551422,-0.10784759,5.037652,-1.517652,-0.30126178,254900432,1.3262999,15,America/New_York,EDT,-14400000,4,1.42,,,9.3,3.18,3.9455,5.0377,53.56k,24.51k,72.41M,,36.72M,98.13%,20.72%,8.3k,9.31,,8.43%,8.62k,0.13,3.62%,0.19,5.21%,,37.94%,"Aug 29, 2021","Aug 19, 2021",,,"Dec 30, 2020","Jun 29, 2021",32.22%,43.08%,18.06%,28.51%,154.92M,2.15,-14.60%,100.01M,74.24M,49.91M,0.8900,-84.50%,34.39M,0.47,6.01M,3.16,2.04,2.65,61.63M,13.74M,Value,M5X 1C9,Basic Materials,1160,"Jaguar Mining Inc., a junior gold mining company, engages in the acquisition, exploration, development, and operation of gold producing properties in Brazil. Its principal assets include the Turmalina Gold Mine Complex, Caet̩ Gold Mine Complex, and the Paci̻ncia Gold Mine Complex located in the Iron Quadrangle in the state of Minas Gerais. Its mineral claims cover an area of approximately 64,000 hectares. The company also holds an option agreement to acquire a package of 28 exploration tenements covering an area of approximately 27,141.75 hectares located in Minas Gerais, Brazil. Jaguar Mining Inc. is headquartered in Toronto, Canada.",Toronto,416-847-1854,ON,1609372800,Canada,http://www.jaguarmining.com,86400,First Canadian Place,Gold,56th Floor 100 King Street West
t-1,JAGGF,192215000.0,72414896,,,8003000,,6109000,1786000,16594000,7741000,7741000,588000,-295000,,,,1894000,31686000,23945000,15092000,262000,,6109000,6109000,23528000.0,54660000.0,192215000.0,4870000.0,246875000.0,566958000.0,936000.0,-400896000.0,25889000.0,2625000.0,10240000.0,37602000.0,26770000.0,3017000.0,2625000.0,175744000.0,60891000.0,4466000.0,14607000.0,11948000.0,,-1086000.0,-2897000.0,-727000.0,-4845000.0,-905000.0,555000.0,-1306000.0,-30000.0,6466000.0,4775000.0,-4616000.0,-1339000.0,-72000.0,-57000.0,-577000.0,-9847000.0,,34121000.0,en-US,US,EQUITY,False,Delayed Quote,-3.0303066,3.51 - 3.7,3.63,finmb_4279240,Other OTC,Jaguar Mining Inc.,USD,53556,24514,0.3399999,0.10691821,3.18 - 9.3,-5.78,-0.6215054,3.18,9.3,USD,False,False,us_market,3.52,1630525980,-0.11000013,3.7,3.7,3.51,8287,PRE,JAGUAR MINING INC,PNK,1630281600,1636378200,1636378200,1636378200,0.189,3.9550562,0.052066114,0.89,0,2.654,3.9455142,-0.42551422,-0.10784759,5.037652,-1.517652,-0.30126178,254900432,1.3262999,15,America/New_York,EDT,-14400000,4,1.42,,,9.3,3.18,3.9455,5.0377,53.56k,24.51k,72.41M,,36.72M,98.13%,20.72%,8.3k,9.31,,8.43%,8.62k,0.13,3.62%,0.19,5.21%,,37.94%,"Aug 29, 2021","Aug 19, 2021",,,"Dec 30, 2020","Jun 29, 2021",32.22%,43.08%,18.06%,28.51%,154.92M,2.15,-14.60%,100.01M,74.24M,49.91M,0.8900,-84.50%,34.39M,0.47,6.01M,3.16,2.04,2.65,61.63M,13.74M,Value,M5X 1C9,Basic Materials,1160,"Jaguar Mining Inc., a junior gold mining company, engages in the acquisition, exploration, development, and operation of gold producing properties in Brazil. Its principal assets include the Turmalina Gold Mine Complex, Caet̩ Gold Mine Complex, and the Paci̻ncia Gold Mine Complex located in the Iron Quadrangle in the state of Minas Gerais. Its mineral claims cover an area of approximately 64,000 hectares. The company also holds an option agreement to acquire a package of 28 exploration tenements covering an area of approximately 27,141.75 hectares located in Minas Gerais, Brazil. Jaguar Mining Inc. is headquartered in Toronto, Canada.",Toronto,416-847-1854,ON,1609372800,Canada,http://www.jaguarmining.com,86400,First Canadian Place,Gold,56th Floor 100 King Street West
t-2,JAGGF,189700000.0,72414896,,,27510000,,24295000,1327000,26653000,27439000,27439000,1731000,-295000,,,,3215000,43416000,15977000,16763000,71000,,24295000,24295000,23528000.0,60066000.0,189700000.0,6737000.0,249766000.0,565734000.0,1091000.0,-402389000.0,27618000.0,2827000.0,10367000.0,38908000.0,31255000.0,3058000.0,2827000.0,170478000.0,60445000.0,5005000.0,12529000.0,11639000.0,8476000.0,3841000.0,-13093000.0,-758000.0,-7474000.0,-1859000.0,64000.0,-50000.0,-90000.0,20607000.0,-4923000.0,-4488000.0,1075000.0,458000.0,-25000.0,-6645000.0,-13092000.0,-2267000.0,29190000.0,en-US,US,EQUITY,False,Delayed Quote,-3.0303066,3.51 - 3.7,3.63,finmb_4279240,Other OTC,Jaguar Mining Inc.,USD,53556,24514,0.3399999,0.10691821,3.18 - 9.3,-5.78,-0.6215054,3.18,9.3,USD,False,False,us_market,3.52,1630525980,-0.11000013,3.7,3.7,3.51,8287,PRE,JAGUAR MINING INC,PNK,1630281600,1636378200,1636378200,1636378200,0.189,3.9550562,0.052066114,0.89,0,2.654,3.9455142,-0.42551422,-0.10784759,5.037652,-1.517652,-0.30126178,254900432,1.3262999,15,America/New_York,EDT,-14400000,4,1.42,,,9.3,3.18,3.9455,5.0377,53.56k,24.51k,72.41M,,36.72M,98.13%,20.72%,8.3k,9.31,,8.43%,8.62k,0.13,3.62%,0.19,5.21%,,37.94%,"Aug 29, 2021","Aug 19, 2021",,,"Dec 30, 2020","Jun 29, 2021",32.22%,43.08%,18.06%,28.51%,154.92M,2.15,-14.60%,100.01M,74.24M,49.91M,0.8900,-84.50%,34.39M,0.47,6.01M,3.16,2.04,2.65,61.63M,13.74M,Value,M5X 1C9,Basic Materials,1160,"Jaguar Mining Inc., a junior gold mining company, engages in the acquisition, exploration, development, and operation of gold producing properties in Brazil. Its principal assets include the Turmalina Gold Mine Complex, Caet̩ Gold Mine Complex, and the Paci̻ncia Gold Mine Complex located in the Iron Quadrangle in the state of Minas Gerais. Its mineral claims cover an area of approximately 64,000 hectares. The company also holds an option agreement to acquire a package of 28 exploration tenements covering an area of approximately 27,141.75 hectares located in Minas Gerais, Brazil. Jaguar Mining Inc. is headquartered in Toronto, Canada.",Toronto,416-847-1854,ON,1609372800,Canada,http://www.jaguarmining.com,86400,First Canadian Place,Gold,56th Floor 100 King Street West
t-3,JAGGF,170119000.0,72414896,,,21877000,,16534000,1716000,29249000,21919000,21919000,1081000,-277000,,,,5343000,43494000,21575000,14245000,-42000,,16534000,16534000,23173000.0,58331000.0,170119000.0,8386000.0,228450000.0,566491000.0,1120000.0,-422196000.0,26748000.0,2651000.0,9773000.0,38958000.0,30196000.0,3219000.0,2651000.0,149272000.0,60929000.0,5780000.0,13548000.0,9804000.0,8476000.0,2246000.0,-7128000.0,-1424000.0,-6454000.0,-813000.0,2000.0,8739000.0,402000.0,21919000.0,3666000.0,-4392000.0,-1142000.0,-264000.0,-167000.0,5519000.0,-7128000.0,-473000.0,30733000.0,en-US,US,EQUITY,False,Delayed Quote,-3.0303066,3.51 - 3.7,3.63,finmb_4279240,Other OTC,Jaguar Mining Inc.,USD,53556,24514,0.3399999,0.10691821,3.18 - 9.3,-5.78,-0.6215054,3.18,9.3,USD,False,False,us_market,3.52,1630525980,-0.11000013,3.7,3.7,3.51,8287,PRE,JAGUAR MINING INC,PNK,1630281600,1636378200,1636378200,1636378200,0.189,3.9550562,0.052066114,0.89,0,2.654,3.9455142,-0.42551422,-0.10784759,5.037652,-1.517652,-0.30126178,254900432,1.3262999,15,America/New_York,EDT,-14400000,4,1.42,,,9.3,3.18,3.9455,5.0377,53.56k,24.51k,72.41M,,36.72M,98.13%,20.72%,8.3k,9.31,,8.43%,8.62k,0.13,3.62%,0.19,5.21%,,37.94%,"Aug 29, 2021","Aug 19, 2021",,,"Dec 30, 2020","Jun 29, 2021",32.22%,43.08%,18.06%,28.51%,154.92M,2.15,-14.60%,100.01M,74.24M,49.91M,0.8900,-84.50%,34.39M,0.47,6.01M,3.16,2.04,2.65,61.63M,13.74M,Value,M5X 1C9,Basic Materials,1160,"Jaguar Mining Inc., a junior gold mining company, engages in the acquisition, exploration, development, and operation of gold producing properties in Brazil. Its principal assets include the Turmalina Gold Mine Complex, Caet̩ Gold Mine Complex, and the Paci̻ncia Gold Mine Complex located in the Iron Quadrangle in the state of Minas Gerais. Its mineral claims cover an area of approximately 64,000 hectares. The company also holds an option agreement to acquire a package of 28 exploration tenements covering an area of approximately 27,141.75 hectares located in Minas Gerais, Brazil. Jaguar Mining Inc. is headquartered in Toronto, Canada.",Toronto,416-847-1854,ON,1609372800,Canada,http://www.jaguarmining.com,86400,First Canadian Place,Gold,56th Floor 100 King Street West
