Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,WC,language,region,quoteType,triggerable,quoteSourceName,dividendDate,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChangePercent,regularMarketDayRange,ask,bid,regularMarketPreviousClose,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,currency,marketState,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,exchangeDataDelayedBy,twoHundredDayAverageChangePercent,shortName,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,HAPP,92750729.0,25900000,456601,,-1128817,2891396,-1198974,4924187,4298849,-1081939,-1081939,,-26823,,,,118263,24803735,25885673,20504885,-46879,,-1247080,-1198974,1832099.0,26545384.0,15107629.0,94745660.0,4018933.0,112744685.0,15241.0,22189744.0,69098656.0,162832.0,-913621.0,5138105.0,36558752.0,15107629.0,-913621.0,10514031.0,95097618.0,34563743.0,1785379.0,8841163.0,3407573.0,-5995487.0,317540.0,4733725.0,121761.0,4415511.0,-3622289.0,506473.0,-2867001.0,243585.0,203328.0,-5640311.0,188174.0,341106.0,-776318.0,,79989989.0,en-US,US,EQUITY,True,Delayed Quote,1597622400,-0.85344607,1630533054,1.1501,-0.009899974,5.4545403,1.1125 - 1.1891,0.0,0.0,1.1,11,9,finmb_581315426,NasdaqCM,Happiness Biotech Group Limited,USD,609818,230414,0.13,0.1262136,1.03 - 2.58,-1.42,-0.5503876,1.03,2.58,1579285800,1579285800,1579285800,1.4554579,USD,PREPRE,1.16,1630526403,0.059999943,1.12,1.1891,1.1125,361580,us_market,4,0,-0.31062105,Happiness Biotech Group Limited,NCM,0.797,2.88,1.255,-0.09500003,-0.075697236,1.6826739,-0.52267396,30044000,0.40277776,15,America/New_York,EDT,-14400000,False,False,,,,2.58,1.03,1.255,1.6827,609.82k,230.41k,25.9M,,18.2M,43.05%,1.36%,484.47k,1.28,3.06%,1.52%,621.33k,,,,,,0.00%,"Aug 16, 2020","Aug 06, 2020",,,"Mar 30, 2021","Mar 30, 2021",1.10%,2.13%,0.96%,0.78%,71.48M,2.73,47.20%,18.18M,2.41M,786.36k,0.7970,,36.56M,1.14,2.24M,2.29,6.30,2.88,2.9M,-14.1M,Value,353200,Healthcare,215,"Happiness Biotech Group Limited engages in the research, development, manufacture, and sale of nutraceutical and dietary supplement products in the People's Republic of China and internationally. The company's product category includes lucidum spore powders, cordyceps mycelia, Ejiao products, American ginseng products, other traditional Chinese herbal and animal extracts, vitamins, minerals, and amino acids. It sells its products through distributors, large-scale chain drugstores, malls, and supermarkets under the Happiness brand. Happiness Biotech Group Limited was founded in 2004 and is headquartered in Nanping, the People's Republic of China.",Nanping,86 59 9782 8808,1640908800,China,http://www.happ.org.cn,86400,"No. 11, Dongjiao East Road",Drug Manufacturers—Specialty & Generic,Shuangxi Shunchang
t-1,HAPP,92750729.0,25900000,456601,,-1128817,2891396,-1198974,4924187,4298849,-1081939,-1081939,,-26823,,,,118263,24803735,25885673,20504885,-46879,,-1247080,-1198974,1832099.0,26545384.0,15107629.0,94745660.0,4018933.0,112744685.0,15241.0,22189744.0,69098656.0,162832.0,-913621.0,5138105.0,36558752.0,15107629.0,-913621.0,10514031.0,95097618.0,34563743.0,1785379.0,8841163.0,3407573.0,-5995487.0,317540.0,4733725.0,121761.0,4415511.0,-3622289.0,506473.0,-2867001.0,243585.0,203328.0,-5640311.0,188174.0,341106.0,-776318.0,,79989989.0,en-US,US,EQUITY,True,Delayed Quote,1597622400,-0.85344607,1630533054,1.1501,-0.009899974,5.4545403,1.1125 - 1.1891,0.0,0.0,1.1,11,9,finmb_581315426,NasdaqCM,Happiness Biotech Group Limited,USD,609818,230414,0.13,0.1262136,1.03 - 2.58,-1.42,-0.5503876,1.03,2.58,1579285800,1579285800,1579285800,1.4554579,USD,PREPRE,1.16,1630526403,0.059999943,1.12,1.1891,1.1125,361580,us_market,4,0,-0.31062105,Happiness Biotech Group Limited,NCM,0.797,2.88,1.255,-0.09500003,-0.075697236,1.6826739,-0.52267396,30044000,0.40277776,15,America/New_York,EDT,-14400000,False,False,,,,2.58,1.03,1.255,1.6827,609.82k,230.41k,25.9M,,18.2M,43.05%,1.36%,484.47k,1.28,3.06%,1.52%,621.33k,,,,,,0.00%,"Aug 16, 2020","Aug 06, 2020",,,"Mar 30, 2021","Mar 30, 2021",1.10%,2.13%,0.96%,0.78%,71.48M,2.73,47.20%,18.18M,2.41M,786.36k,0.7970,,36.56M,1.14,2.24M,2.29,6.30,2.88,2.9M,-14.1M,Value,353200,Healthcare,215,"Happiness Biotech Group Limited engages in the research, development, manufacture, and sale of nutraceutical and dietary supplement products in the People's Republic of China and internationally. The company's product category includes lucidum spore powders, cordyceps mycelia, Ejiao products, American ginseng products, other traditional Chinese herbal and animal extracts, vitamins, minerals, and amino acids. It sells its products through distributors, large-scale chain drugstores, malls, and supermarkets under the Happiness brand. Happiness Biotech Group Limited was founded in 2004 and is headquartered in Nanping, the People's Republic of China.",Nanping,86 59 9782 8808,1640908800,China,http://www.happ.org.cn,86400,"No. 11, Dongjiao East Road",Drug Manufacturers—Specialty & Generic,Shuangxi Shunchang
t-2,HAPP,86896448.0,25900000,373449,,1954487,43152,1592152,2570706,4788952,1844797,1844797,,-29077,,,,361429,10938617,9093821,6149666,109691,,1593058,1592152,740712.0,17271429.0,5883957.0,87637160.0,2006333.0,93564269.0,12950.0,7433779.0,71496603.0,,-1143822.0,8333614.0,43803330.0,5883957.0,-1143822.0,9074646.0,75415297.0,22051202.0,2126986.0,1515826.0,-45997.0,-615937.0,-295468.0,602385.0,-2146638.0,1067266.0,5074283.0,768602.0,4319234.0,196855.0,-8634.0,4586935.0,18087.0,906.0,-615402.0,-187500.0,69531340.0,en-US,US,EQUITY,True,Delayed Quote,1597622400,-0.85344607,1630533054,1.1501,-0.009899974,5.4545403,1.1125 - 1.1891,0.0,0.0,1.1,11,9,finmb_581315426,NasdaqCM,Happiness Biotech Group Limited,USD,609818,230414,0.13,0.1262136,1.03 - 2.58,-1.42,-0.5503876,1.03,2.58,1579285800,1579285800,1579285800,1.4554579,USD,PREPRE,1.16,1630526403,0.059999943,1.12,1.1891,1.1125,361580,us_market,4,0,-0.31062105,Happiness Biotech Group Limited,NCM,0.797,2.88,1.255,-0.09500003,-0.075697236,1.6826739,-0.52267396,30044000,0.40277776,15,America/New_York,EDT,-14400000,False,False,,,,2.58,1.03,1.255,1.6827,609.82k,230.41k,25.9M,,18.2M,43.05%,1.36%,484.47k,1.28,3.06%,1.52%,621.33k,,,,,,0.00%,"Aug 16, 2020","Aug 06, 2020",,,"Mar 30, 2021","Mar 30, 2021",1.10%,2.13%,0.96%,0.78%,71.48M,2.73,47.20%,18.18M,2.41M,786.36k,0.7970,,36.56M,1.14,2.24M,2.29,6.30,2.88,2.9M,-14.1M,Value,353200,Healthcare,215,"Happiness Biotech Group Limited engages in the research, development, manufacture, and sale of nutraceutical and dietary supplement products in the People's Republic of China and internationally. The company's product category includes lucidum spore powders, cordyceps mycelia, Ejiao products, American ginseng products, other traditional Chinese herbal and animal extracts, vitamins, minerals, and amino acids. It sells its products through distributors, large-scale chain drugstores, malls, and supermarkets under the Happiness brand. Happiness Biotech Group Limited was founded in 2004 and is headquartered in Nanping, the People's Republic of China.",Nanping,86 59 9782 8808,1640908800,China,http://www.happ.org.cn,86400,"No. 11, Dongjiao East Road",Drug Manufacturers—Specialty & Generic,Shuangxi Shunchang
t-3,HAPP,86896448.0,25900000,373449,,1954487,43152,1592152,2570706,4788952,1844797,1844797,,-29077,,,,361429,10938617,9093821,6149666,109691,,1593058,1592152,740712.0,17271429.0,5883957.0,87637160.0,2006333.0,93564269.0,12950.0,7433779.0,71496603.0,,-1143822.0,8333614.0,43803330.0,5883957.0,-1143822.0,9074646.0,75415297.0,22051202.0,2126986.0,1515826.0,-45997.0,-615937.0,-295468.0,602385.0,-2146638.0,1067266.0,5074283.0,768602.0,4319234.0,196855.0,-8634.0,4586935.0,18087.0,906.0,-615402.0,-187500.0,69531340.0,en-US,US,EQUITY,True,Delayed Quote,1597622400,-0.85344607,1630533054,1.1501,-0.009899974,5.4545403,1.1125 - 1.1891,0.0,0.0,1.1,11,9,finmb_581315426,NasdaqCM,Happiness Biotech Group Limited,USD,609818,230414,0.13,0.1262136,1.03 - 2.58,-1.42,-0.5503876,1.03,2.58,1579285800,1579285800,1579285800,1.4554579,USD,PREPRE,1.16,1630526403,0.059999943,1.12,1.1891,1.1125,361580,us_market,4,0,-0.31062105,Happiness Biotech Group Limited,NCM,0.797,2.88,1.255,-0.09500003,-0.075697236,1.6826739,-0.52267396,30044000,0.40277776,15,America/New_York,EDT,-14400000,False,False,,,,2.58,1.03,1.255,1.6827,609.82k,230.41k,25.9M,,18.2M,43.05%,1.36%,484.47k,1.28,3.06%,1.52%,621.33k,,,,,,0.00%,"Aug 16, 2020","Aug 06, 2020",,,"Mar 30, 2021","Mar 30, 2021",1.10%,2.13%,0.96%,0.78%,71.48M,2.73,47.20%,18.18M,2.41M,786.36k,0.7970,,36.56M,1.14,2.24M,2.29,6.30,2.88,2.9M,-14.1M,Value,353200,Healthcare,215,"Happiness Biotech Group Limited engages in the research, development, manufacture, and sale of nutraceutical and dietary supplement products in the People's Republic of China and internationally. The company's product category includes lucidum spore powders, cordyceps mycelia, Ejiao products, American ginseng products, other traditional Chinese herbal and animal extracts, vitamins, minerals, and amino acids. It sells its products through distributors, large-scale chain drugstores, malls, and supermarkets under the Happiness brand. Happiness Biotech Group Limited was founded in 2004 and is headquartered in Nanping, the People's Republic of China.",Nanping,86 59 9782 8808,1640908800,China,http://www.happ.org.cn,86400,"No. 11, Dongjiao East Road",Drug Manufacturers—Specialty & Generic,Shuangxi Shunchang
