Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,totalCurrentAssets,netReceivables,accountsPayable,otherAssets,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,ask,bid,regularMarketPreviousClose,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,marketState,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,exchangeDataDelayedBy,twoHundredDayAverageChangePercent,shortName,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,FSVEF,-663496.0,53720800,,,,,0,,0,0,,,,,,,0,0,0,0,0,,,,4484086.0,689248.0,-663496.0,25752.0,19556732.0,-24704314.0,10281.0,689248.0,25752.0,5248.0,80264.0,,0.0,,,,,,,,-663496.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.145554 - 0.145554,0.0,0.0,0.145554,0,0,finmb_3110110,Other OTC,Firestone Ventures Inc.,CAD,257,428,0.128854,7.715809,0.0167 - 0.21595,-0.07039599,-0.32598284,0.0167,0.21595,USD,POST,0.145554,1630335594,0.0,0.145554,0.145554,0.145554,750,us_market,4,0,0.3011534,FIRESTONE VENTURES INC,PNK,-0.003,-0.012,0.10550091,0.0400531,0.37964696,0.11186537,0.033688635,7709180,-12.1295,15,America/New_York,EDT,-14400000,False,False,0.98,,,0.2159,0.0167,0.1055,0.1119,257,428,53.72M,,37.16M,30.52%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2021","Mar 30, 2021",0.00%,0.00%,-320.59%,,,,,,,-121.47k,-0.0030,,10.28k,0,572.91k,,0.04,-0.01,-164.4k,-64.56k,Value,M5C 2C5,,"Firestone Ventures Inc., a junior exploration mineral company, engages in the identification, evaluation, acquisition, and exploration of mineral properties. The company was formerly known as Gold Torch Resources Ltd. and changed its name to Firestone Ventures Inc. in December 1999. Firestone Ventures Inc. was incorporated in 1987 and is based in Toronto, Canada.",Toronto,416 583 1430,ON,1577750400,Canada,http://www.firestoneventures.com,86400,36 Toronto Street,416 981 7811,,Suite 1050
t-1,FSVEF,-619599.0,53720800,,,-32804.0,,-32804,25018.0,0,-32449,-32449.0,,,,,,0,0,32449,0,-355,,-32804.0,-32804.0,4484086.0,644988.0,-619599.0,25389.0,19556732.0,-24660417.0,8664.0,644988.0,25388.0,6089.0,64168.0,1.0,-19078.0,51300.0,51300.0,1029.0,4754.0,-46546.0,4308.0,,-619600.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.145554 - 0.145554,0.0,0.0,0.145554,0,0,finmb_3110110,Other OTC,Firestone Ventures Inc.,CAD,257,428,0.128854,7.715809,0.0167 - 0.21595,-0.07039599,-0.32598284,0.0167,0.21595,USD,POST,0.145554,1630335594,0.0,0.145554,0.145554,0.145554,750,us_market,4,0,0.3011534,FIRESTONE VENTURES INC,PNK,-0.003,-0.012,0.10550091,0.0400531,0.37964696,0.11186537,0.033688635,7709180,-12.1295,15,America/New_York,EDT,-14400000,False,False,0.98,,,0.2159,0.0167,0.1055,0.1119,257,428,53.72M,,37.16M,30.52%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2021","Mar 30, 2021",0.00%,0.00%,-320.59%,,,,,,,-121.47k,-0.0030,,10.28k,0,572.91k,,0.04,-0.01,-164.4k,-64.56k,Value,M5C 2C5,,"Firestone Ventures Inc., a junior exploration mineral company, engages in the identification, evaluation, acquisition, and exploration of mineral properties. The company was formerly known as Gold Torch Resources Ltd. and changed its name to Firestone Ventures Inc. in December 1999. Firestone Ventures Inc. was incorporated in 1987 and is based in Toronto, Canada.",Toronto,416 583 1430,ON,1577750400,Canada,http://www.firestoneventures.com,86400,36 Toronto Street,416 981 7811,,Suite 1050
t-2,FSVEF,-586794.0,53720800,,,-47299.0,,-47299,37328.0,0,-45608,-45608.0,,,,,,0,0,45608,0,-1691,,-47299.0,-47299.0,4484086.0,612765.0,-586794.0,25971.0,19556732.0,-24627612.0,3911.0,612765.0,25971.0,7117.0,47757.0,,-7953.0,36000.0,36000.0,4702.0,-10394.0,-46394.0,2484.0,1672.0,-586794.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.145554 - 0.145554,0.0,0.0,0.145554,0,0,finmb_3110110,Other OTC,Firestone Ventures Inc.,CAD,257,428,0.128854,7.715809,0.0167 - 0.21595,-0.07039599,-0.32598284,0.0167,0.21595,USD,POST,0.145554,1630335594,0.0,0.145554,0.145554,0.145554,750,us_market,4,0,0.3011534,FIRESTONE VENTURES INC,PNK,-0.003,-0.012,0.10550091,0.0400531,0.37964696,0.11186537,0.033688635,7709180,-12.1295,15,America/New_York,EDT,-14400000,False,False,0.98,,,0.2159,0.0167,0.1055,0.1119,257,428,53.72M,,37.16M,30.52%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2021","Mar 30, 2021",0.00%,0.00%,-320.59%,,,,,,,-121.47k,-0.0030,,10.28k,0,572.91k,,0.04,-0.01,-164.4k,-64.56k,Value,M5C 2C5,,"Firestone Ventures Inc., a junior exploration mineral company, engages in the identification, evaluation, acquisition, and exploration of mineral properties. The company was formerly known as Gold Torch Resources Ltd. and changed its name to Firestone Ventures Inc. in December 1999. Firestone Ventures Inc. was incorporated in 1987 and is based in Toronto, Canada.",Toronto,416 583 1430,ON,1577750400,Canada,http://www.firestoneventures.com,86400,36 Toronto Street,416 981 7811,,Suite 1050
t-3,FSVEF,-541167.0,53720800,,,-51674.0,,-51674,44190.0,0,-52539,-52539.0,,,,,,0,0,52539,0,865,,-51674.0,-51674.0,4482414.0,584720.0,-541167.0,43553.0,19556732.0,-24580313.0,14305.0,584720.0,43552.0,11820.0,44260.0,1.0,-12438.0,83610.0,83610.0,-4212.0,10533.0,-73077.0,-7253.0,2500.0,-541168.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.145554 - 0.145554,0.0,0.0,0.145554,0,0,finmb_3110110,Other OTC,Firestone Ventures Inc.,CAD,257,428,0.128854,7.715809,0.0167 - 0.21595,-0.07039599,-0.32598284,0.0167,0.21595,USD,POST,0.145554,1630335594,0.0,0.145554,0.145554,0.145554,750,us_market,4,0,0.3011534,FIRESTONE VENTURES INC,PNK,-0.003,-0.012,0.10550091,0.0400531,0.37964696,0.11186537,0.033688635,7709180,-12.1295,15,America/New_York,EDT,-14400000,False,False,0.98,,,0.2159,0.0167,0.1055,0.1119,257,428,53.72M,,37.16M,30.52%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2021","Mar 30, 2021",0.00%,0.00%,-320.59%,,,,,,,-121.47k,-0.0030,,10.28k,0,572.91k,,0.04,-0.01,-164.4k,-64.56k,Value,M5C 2C5,,"Firestone Ventures Inc., a junior exploration mineral company, engages in the identification, evaluation, acquisition, and exploration of mineral properties. The company was formerly known as Gold Torch Resources Ltd. and changed its name to Firestone Ventures Inc. in December 1999. Firestone Ventures Inc. was incorporated in 1987 and is based in Toronto, Canada.",Toronto,416 583 1430,ON,1577750400,Canada,http://www.firestoneventures.com,86400,36 Toronto Street,416 981 7811,,Suite 1050
