Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,totalCashFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingPE,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,marketState,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,exchange,priceHint,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,HQGE,59133621.0,7719920128,,,5553871,,5553871,961560,6544787,5583227,5583227,,,,,,0,17911864,12328637,11367077,-29356,,5553871,5553871,7156395.0,1226674.0,13442038.0,66290016.0,6374135.0,79732054.0,3300.0,5301266.0,59950238.0,96185.0,5109804.0,10522042.0,9527461.0,284255.0,5109804.0,43898365.0,28677294.0,12243188.0,3818392.0,610798.0,1573362.0,4561909.0,-4079391.0,224929.0,5446017.0,-4953.0,9530361.0,726579.0,79953.0,-1686059.0,69179.0,-3843986.0,,,19149833.0,en-US,US,EQUITY,False,Delayed Quote,-9.677425,0.0014 - 0.0016,0.00155,0.0,0.0,0,0,finmb_98136975,Other OTC,HQ Global Education Inc.,USD,29621813,37822604,0.0011999999,6.0,2.0E-4 - 0.061,-0.0596,-0.9770492,0.0002,0.061,0.002745098,-14400000,False,False,USD,PRE,0.51,2.009,0.0022133333,-0.0008133333,-0.36746988,0.0056981817,-0.0042981817,-0.75430757,10807888,0.00069686404,15,America/New_York,EDT,HQ GLOBAL EDUCATION INC,0.0014,1630526329,-0.0001500001,0.0016,0.0016,0.0014,15899321,0,PNK,4,us_market,1.07,,,0.061,0.0002,0.0022,0.0057,29.62M,37.82M,7.72B,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,5:1,"Dec 08, 2009","Aug 30, 2011","Nov 29, 2011",29.61%,29.96%,15.49%,29.71%,56.84M,1.72,7.60%,21.28M,19.83M,16.83M,0.5100,1.30%,10.52M,0.32,4.82M,7.26,3.01,2.01,20.09M,-12.19M,Value,92868,Communication Services,1192,"HQ Global Education, Inc., a scientific research development company, focuses on the industrial hemp and CBD manufacturing industry in the United States. It provides data gathering, intelligence, and education for the industrial CBD industry. The company also processes and distributes CBD oils, as well as offers real estate management services. HQ Global Education, Inc. is based in Orange, California.",Orange,800 674 3676,CA,1325289600,United States,http://www.hqgeinc.com,86400,333 City Boulevard West,Entertainment,Suite 1700
t-1,HQGE,53554103.0,7719920128,,,1648691,,1648691,1416793,3177357,1760564,1760564,,-22359.0,,,,0,9570433,7809869,6393076,-111873,,1648691,1648691,7196469.0,1226674.0,8595824.0,60750572.0,1030939.0,69346396.0,3300.0,6937221.0,54396368.0,89681.0,5124230.0,5076025.0,5118434.0,559071.0,5124230.0,39136363.0,23013564.0,10565059.0,3387709.0,435259.0,2388551.0,-1174091.0,-6756209.0,-1143793.0,-5531489.0,-17295.0,1227462.0,739460.0,5016.0,989723.0,162456.0,-6743509.0,14553.0,14553.0,17895130.0,en-US,US,EQUITY,False,Delayed Quote,-9.677425,0.0014 - 0.0016,0.00155,0.0,0.0,0,0,finmb_98136975,Other OTC,HQ Global Education Inc.,USD,29621813,37822604,0.0011999999,6.0,2.0E-4 - 0.061,-0.0596,-0.9770492,0.0002,0.061,0.002745098,-14400000,False,False,USD,PRE,0.51,2.009,0.0022133333,-0.0008133333,-0.36746988,0.0056981817,-0.0042981817,-0.75430757,10807888,0.00069686404,15,America/New_York,EDT,HQ GLOBAL EDUCATION INC,0.0014,1630526329,-0.0001500001,0.0016,0.0016,0.0014,15899321,0,PNK,4,us_market,1.07,,,0.061,0.0002,0.0022,0.0057,29.62M,37.82M,7.72B,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,5:1,"Dec 08, 2009","Aug 30, 2011","Nov 29, 2011",29.61%,29.96%,15.49%,29.71%,56.84M,1.72,7.60%,21.28M,19.83M,16.83M,0.5100,1.30%,10.52M,0.32,4.82M,7.26,3.01,2.01,20.09M,-12.19M,Value,92868,Communication Services,1192,"HQ Global Education, Inc., a scientific research development company, focuses on the industrial hemp and CBD manufacturing industry in the United States. It provides data gathering, intelligence, and education for the industrial CBD industry. The company also processes and distributes CBD oils, as well as offers real estate management services. HQ Global Education, Inc. is based in Orange, California.",Orange,800 674 3676,CA,1325289600,United States,http://www.hqgeinc.com,86400,333 City Boulevard West,Entertainment,Suite 1700
t-2,HQGE,51062580.0,7719920128,,,4991066,,4991066,1000701,6016910,5016209,5016209,,-21631.0,,,,0,16865920,11849711,10849010,-25143,,4991066,4991066,7120450.0,1226674.0,10855183.0,58183030.0,4012785.0,69038213.0,3300.0,5574896.0,52747677.0,100171.0,4205379.0,10607514.0,7668068.0,981411.0,4205379.0,33804257.0,28113506.0,11499417.0,3086944.0,431679.0,1034147.0,-2814369.0,-6237230.0,697696.0,-81798.0,125718.0,3609624.0,695715.0,273314.0,-233798.0,162456.0,-4557823.0,2420090.0,2420090.0,20445438.0,en-US,US,EQUITY,False,Delayed Quote,-9.677425,0.0014 - 0.0016,0.00155,0.0,0.0,0,0,finmb_98136975,Other OTC,HQ Global Education Inc.,USD,29621813,37822604,0.0011999999,6.0,2.0E-4 - 0.061,-0.0596,-0.9770492,0.0002,0.061,0.002745098,-14400000,False,False,USD,PRE,0.51,2.009,0.0022133333,-0.0008133333,-0.36746988,0.0056981817,-0.0042981817,-0.75430757,10807888,0.00069686404,15,America/New_York,EDT,HQ GLOBAL EDUCATION INC,0.0014,1630526329,-0.0001500001,0.0016,0.0016,0.0014,15899321,0,PNK,4,us_market,1.07,,,0.061,0.0002,0.0022,0.0057,29.62M,37.82M,7.72B,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,5:1,"Dec 08, 2009","Aug 30, 2011","Nov 29, 2011",29.61%,29.96%,15.49%,29.71%,56.84M,1.72,7.60%,21.28M,19.83M,16.83M,0.5100,1.30%,10.52M,0.32,4.82M,7.26,3.01,2.01,20.09M,-12.19M,Value,92868,Communication Services,1192,"HQ Global Education, Inc., a scientific research development company, focuses on the industrial hemp and CBD manufacturing industry in the United States. It provides data gathering, intelligence, and education for the industrial CBD industry. The company also processes and distributes CBD oils, as well as offers real estate management services. HQ Global Education, Inc. is based in Orange, California.",Orange,800 674 3676,CA,1325289600,United States,http://www.hqgeinc.com,86400,333 City Boulevard West,Entertainment,Suite 1700
t-3,HQGE,50301950.0,7719920128,,,4638857,,4638857,924525,5594784,4670259,4670259,,-31071.0,,,,0,12494520,7824261,6899736,-31402,,4638857,4638857,2076645.0,1226674.0,10526261.0,52378595.0,6586513.0,62904856.0,3300.0,6264832.0,47756611.0,99247.0,3392010.0,10689312.0,10427014.0,971936.0,3392010.0,31974709.0,28853502.0,11198888.0,,700470.0,1172687.0,62775.0,-4860517.0,873527.0,890457.0,133415.0,5724824.0,642726.0,-228764.0,-253355.0,162456.0,-1587065.0,-107265.0,-107265.0,18426488.0,en-US,US,EQUITY,False,Delayed Quote,-9.677425,0.0014 - 0.0016,0.00155,0.0,0.0,0,0,finmb_98136975,Other OTC,HQ Global Education Inc.,USD,29621813,37822604,0.0011999999,6.0,2.0E-4 - 0.061,-0.0596,-0.9770492,0.0002,0.061,0.002745098,-14400000,False,False,USD,PRE,0.51,2.009,0.0022133333,-0.0008133333,-0.36746988,0.0056981817,-0.0042981817,-0.75430757,10807888,0.00069686404,15,America/New_York,EDT,HQ GLOBAL EDUCATION INC,0.0014,1630526329,-0.0001500001,0.0016,0.0016,0.0014,15899321,0,PNK,4,us_market,1.07,,,0.061,0.0002,0.0022,0.0057,29.62M,37.82M,7.72B,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,5:1,"Dec 08, 2009","Aug 30, 2011","Nov 29, 2011",29.61%,29.96%,15.49%,29.71%,56.84M,1.72,7.60%,21.28M,19.83M,16.83M,0.5100,1.30%,10.52M,0.32,4.82M,7.26,3.01,2.01,20.09M,-12.19M,Value,92868,Communication Services,1192,"HQ Global Education, Inc., a scientific research development company, focuses on the industrial hemp and CBD manufacturing industry in the United States. It provides data gathering, intelligence, and education for the industrial CBD industry. The company also processes and distributes CBD oils, as well as offers real estate management services. HQ Global Education, Inc. is based in Orange, California.",Orange,800 674 3676,CA,1325289600,United States,http://www.hqgeinc.com,86400,333 City Boulevard West,Entertainment,Suite 1700
