Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,totalCurrentAssets,longTermDebt,accountsPayable,otherCurrentAssets,shortLongTermDebt,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,exchange,exchangeDataDelayedBy,marketState,twoHundredDayAverageChangePercent,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,regularMarketChangePercent,regularMarketDayRange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Apr 29, 2008) 4","Short Ratio (Apr 29, 2008) 4","Short % of Float (Apr 29, 2008) 4","Short % of Shares Outstanding (Apr 29, 2008) 4","Shares Short (prior month Mar 30, 2008) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,maxAge,address1,industry,address2
t0,IFNY,-2468764.0,18793300,,,-203624,,-203624,200970,0,-200970,-200970,,-34225,,,,0,0,200970,0,-2654,,-203624,-207368,114819589.0,3882448.0,-2468764.0,1719747.0,1413686.0,1855.0,-117290208.0,122.0,1413686.0,3853661.0,1413686.0,28665.0,850691.0,,,-31592,-453539,1475550,11808,1402644,-72906,124679,-2439975.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.28,finmb_212964,Other OTC,"Infinity Energy Resources, Inc.",USD,7190,20414,0.26999998,3.3749998,0.08 - 0.41,-0.060000002,-0.14634147,0.08,0.41,1604574900,1604574900,1604574900,1.0869565,0.322,-0.133,0.25542858,0.09457141,0.370246,0.25268117,0.09731883,6577655,-2.631579,15,America/New_York,EDT,-14400000,False,False,PNK,0,PRE,0.38514477,INFINITY ENERGY RESOURCES INC,0.35,1630525829,0.06999999,0.315,0.35,0.28,29199,us_market,4,24.999996,0.28 - 0.35,1.9,,,0.41,0.08,0.2554,0.2527,7.19k,20.41k,18.79M,,7.43M,37.49%,0.48%,86.67k,23.57,,4.85%,90.68k,,,,,,0.00%,,,1:10,"Nov 22, 2015","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-40.09%,,,,,,,5.5M,0.3220,,1.41M,0.08,113.67k,,0.37,-0.13,-269.03k,-8.38M,Value,66210,Energy,3,"Infinity Energy Resources, Inc. focuses on the acquisition, exploration, and development of oil and gas resources. It has an option to acquire oil and gas properties in central Kansas covering an area of approximately 11,000 acres. Infinity Energy Resources, Inc. was incorporated in 1987 and is based in Overland Park, Kansas.",Overland Park,913 948 9512,KS,United States,86400,11900 College Boulevard,Oil & Gas E&P,Suite 310
t-1,IFNY,-6824488.0,18793300,,,-188952,,-188952,90064,0,-90064,-90064,,-99435,,,,0,0,90064,0,-98888,,-188952,-188952,110352302.0,6910530.0,-6824488.0,1716003.0,86042.0,1855.0,-117178645.0,321.0,11042.0,6910209.0,86042.0,,1190309.0,75000.0,,-44026,-453539,1475550,79,-62193,-62193,81237,-6824167.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.28,finmb_212964,Other OTC,"Infinity Energy Resources, Inc.",USD,7190,20414,0.26999998,3.3749998,0.08 - 0.41,-0.060000002,-0.14634147,0.08,0.41,1604574900,1604574900,1604574900,1.0869565,0.322,-0.133,0.25542858,0.09457141,0.370246,0.25268117,0.09731883,6577655,-2.631579,15,America/New_York,EDT,-14400000,False,False,PNK,0,PRE,0.38514477,INFINITY ENERGY RESOURCES INC,0.35,1630525829,0.06999999,0.315,0.35,0.28,29199,us_market,4,24.999996,0.28 - 0.35,1.9,,,0.41,0.08,0.2554,0.2527,7.19k,20.41k,18.79M,,7.43M,37.49%,0.48%,86.67k,23.57,,4.85%,90.68k,,,,,,0.00%,,,1:10,"Nov 22, 2015","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-40.09%,,,,,,,5.5M,0.3220,,1.41M,0.08,113.67k,,0.37,-0.13,-269.03k,-8.38M,Value,66210,Energy,3,"Infinity Energy Resources, Inc. focuses on the acquisition, exploration, and development of oil and gas resources. It has an option to acquire oil and gas properties in central Kansas covering an area of approximately 11,000 acres. Infinity Energy Resources, Inc. was incorporated in 1987 and is based in Overland Park, Kansas.",Overland Park,913 948 9512,KS,United States,86400,11900 College Boulevard,Oil & Gas E&P,Suite 310
t-2,IFNY,-6717320.0,18793300,,,5963428,,5963428,120168,0,-120168,-120168,,-67370,,,,0,0,120168,0,6083596,,5963428,5963428,110270518.0,6865555.0,-6717320.0,1716003.0,148235.0,1855.0,-116989693.0,868.0,73235.0,6864687.0,148235.0,,1234335.0,75000.0,44094.0,-33136,164875,164875,-22148,71972,-92903,-6045141,-6716452.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.28,finmb_212964,Other OTC,"Infinity Energy Resources, Inc.",USD,7190,20414,0.26999998,3.3749998,0.08 - 0.41,-0.060000002,-0.14634147,0.08,0.41,1604574900,1604574900,1604574900,1.0869565,0.322,-0.133,0.25542858,0.09457141,0.370246,0.25268117,0.09731883,6577655,-2.631579,15,America/New_York,EDT,-14400000,False,False,PNK,0,PRE,0.38514477,INFINITY ENERGY RESOURCES INC,0.35,1630525829,0.06999999,0.315,0.35,0.28,29199,us_market,4,24.999996,0.28 - 0.35,1.9,,,0.41,0.08,0.2554,0.2527,7.19k,20.41k,18.79M,,7.43M,37.49%,0.48%,86.67k,23.57,,4.85%,90.68k,,,,,,0.00%,,,1:10,"Nov 22, 2015","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-40.09%,,,,,,,5.5M,0.3220,,1.41M,0.08,113.67k,,0.37,-0.13,-269.03k,-8.38M,Value,66210,Energy,3,"Infinity Energy Resources, Inc. focuses on the acquisition, exploration, and development of oil and gas resources. It has an option to acquire oil and gas properties in central Kansas covering an area of approximately 11,000 acres. Infinity Energy Resources, Inc. was incorporated in 1987 and is based in Overland Park, Kansas.",Overland Park,913 948 9512,KS,United States,86400,11900 College Boulevard,Oil & Gas E&P,Suite 310
t-3,IFNY,-13319329.0,18793300,,,-66004,,-66004,42614,0,-42614,-42614,,-22104,,,,0,0,42614,0,-23390,,-66004,-66004,109632561.0,13320592.0,-13319329.0,1716003.0,1263.0,1231.0,-122953121.0,1692.0,1263.0,13318900.0,1263.0,,6107607.0,,1000000.0,-22836,41000,41000,22216,-30,-41030,25594,-13317637.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.28,finmb_212964,Other OTC,"Infinity Energy Resources, Inc.",USD,7190,20414,0.26999998,3.3749998,0.08 - 0.41,-0.060000002,-0.14634147,0.08,0.41,1604574900,1604574900,1604574900,1.0869565,0.322,-0.133,0.25542858,0.09457141,0.370246,0.25268117,0.09731883,6577655,-2.631579,15,America/New_York,EDT,-14400000,False,False,PNK,0,PRE,0.38514477,INFINITY ENERGY RESOURCES INC,0.35,1630525829,0.06999999,0.315,0.35,0.28,29199,us_market,4,24.999996,0.28 - 0.35,1.9,,,0.41,0.08,0.2554,0.2527,7.19k,20.41k,18.79M,,7.43M,37.49%,0.48%,86.67k,23.57,,4.85%,90.68k,,,,,,0.00%,,,1:10,"Nov 22, 2015","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-40.09%,,,,,,,5.5M,0.3220,,1.41M,0.08,113.67k,,0.37,-0.13,-269.03k,-8.38M,Value,66210,Energy,3,"Infinity Energy Resources, Inc. focuses on the acquisition, exploration, and development of oil and gas resources. It has an option to acquire oil and gas properties in central Kansas covering an area of approximately 11,000 acres. Infinity Energy Resources, Inc. was incorporated in 1987 and is based in Overland Park, Kansas.",Overland Park,913 948 9512,KS,United States,86400,11900 College Boulevard,Oil & Gas E&P,Suite 310
