Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,goodWill,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,IMKI,-3785248,15865600,183588,,-280739,,-284339,414496,396197,-282367,-282367,,,,,,3600,732774,1015141,336577,1628,,-284339,-284339,564715,5387272,1291310,-2454001,792384,2337309,15865,-7857138,766532,26442,109334,1227980,651235,328385,133947,286225,-130965,-6089,-6205,-6205,-6031,-33801,-21507,129073,260253,10500,-6089,-899595,en-US,US,EQUITY,False,Delayed Quote,0.0,0.02 - 0.02,0.02,0.0,0.0,0,0,finmb_8102267,Other OTC,"Immediatek, Inc.",USD,407,0,0.01,1.0,0.01 - 0.85,-0.83000004,-0.9764706,0.01,0.85,USD,False,False,us_market,0.02,1629396120,0.0,0.02,0.02,0.02,1000,PRE,IMMEDIATEK INC,PNK,-0.063,0,-0.155,0.03142857,-0.011428572,-0.36363637,0.16789855,-0.14789855,-0.8808805,237984,-0.12903225,15,America/New_York,EDT,-14400000,4,3.98,,,0.85,0.01,0.0314,0.1679,407,,15.87M,,,,,,,,,,,,,,,0.00%,,,1:100,"Jun 06, 2006","Dec 30, 2013","Sep 29, 2014",-32.33%,-31.68%,-22.35%,-65.77%,3.11M,0.20,-13.70%,1.86M,-486k,-1M,-0.0630,,109.33k,0.01,98.1k,9.38,0.27,-0.16,-386.44k,-68.55k,Value,76021,Technology,20,"Immediatek, Inc. provides online back-up, file storage, and other Web-based services for individuals, businesses, and governmental organizations in the United States. It operates FilesAnywhere.com, a Website that allows its customers to establish a self-service account for storing files on servers, sharing and collaborating documents with other people online, and backing up their computers to FilesAnywhere cloud storage. The company also offers the FilesAnywhere Private Site, Dedicated Server, and Enterprise Server products, which provide cloud storage and scalability for users, groups, and Internet applications, as well as client-specific branding and Web interfaces, customer data interfaces, and tailored security for mixed corporate environments. In addition, it provides specialized information technology services related to the development of Web based databases and data storage on contract basis. The company was founded in 1995 and is headquartered in Bedford, Texas.",Bedford,888-661-6565,TX,1388448000,United States,http://www.immediatek.com,86400,3301 Airport Freeway,Software—Infrastructure,Suite 200
t-1,IMKI,-3575059,15865600,190317,,-180972,,-183664,454470,543355,-181809,-181809,,,,,,2692,824119,1005928,280764,837,,-183664,-183664,628364,5376772,1337646,-2180163,912200,2657483,15865,-7572800,766532,26442,143135,1337646,606267,629878,394200,297374,129959,-3331,-6205,-6205,-20811,-82282,-78951,123653,-138588,10500,-3331,-707768,en-US,US,EQUITY,False,Delayed Quote,0.0,0.02 - 0.02,0.02,0.0,0.0,0,0,finmb_8102267,Other OTC,"Immediatek, Inc.",USD,407,0,0.01,1.0,0.01 - 0.85,-0.83000004,-0.9764706,0.01,0.85,USD,False,False,us_market,0.02,1629396120,0.0,0.02,0.02,0.02,1000,PRE,IMMEDIATEK INC,PNK,-0.063,0,-0.155,0.03142857,-0.011428572,-0.36363637,0.16789855,-0.14789855,-0.8808805,237984,-0.12903225,15,America/New_York,EDT,-14400000,4,3.98,,,0.85,0.01,0.0314,0.1679,407,,15.87M,,,,,,,,,,,,,,,0.00%,,,1:100,"Jun 06, 2006","Dec 30, 2013","Sep 29, 2014",-32.33%,-31.68%,-22.35%,-65.77%,3.11M,0.20,-13.70%,1.86M,-486k,-1M,-0.0630,,109.33k,0.01,98.1k,9.38,0.27,-0.16,-386.44k,-68.55k,Value,76021,Technology,20,"Immediatek, Inc. provides online back-up, file storage, and other Web-based services for individuals, businesses, and governmental organizations in the United States. It operates FilesAnywhere.com, a Website that allows its customers to establish a self-service account for storing files on servers, sharing and collaborating documents with other people online, and backing up their computers to FilesAnywhere cloud storage. The company also offers the FilesAnywhere Private Site, Dedicated Server, and Enterprise Server products, which provide cloud storage and scalability for users, groups, and Internet applications, as well as client-specific branding and Web interfaces, customer data interfaces, and tailored security for mixed corporate environments. In addition, it provides specialized information technology services related to the development of Web based databases and data storage on contract basis. The company was founded in 1995 and is headquartered in Bedford, Texas.",Bedford,888-661-6565,TX,1388448000,United States,http://www.immediatek.com,86400,3301 Airport Freeway,Software—Infrastructure,Suite 200
t-2,IMKI,-3465544,15865600,182393,,-294664,,-298264,479086,447512,-294754,-294754,,,,,,3600,747877,1042631,300365,90,,-298264,-298264,692013,5366272,1191268,-2006999,890407,2684269,15865,-7389136,766532,20648,225417,1191268,662940,542136,255612,189208,200752,-27143,-6205,-6205,-1719,-98754,-71611,123753,-106633,10500,-27143,-649132,en-US,US,EQUITY,False,Delayed Quote,0.0,0.02 - 0.02,0.02,0.0,0.0,0,0,finmb_8102267,Other OTC,"Immediatek, Inc.",USD,407,0,0.01,1.0,0.01 - 0.85,-0.83000004,-0.9764706,0.01,0.85,USD,False,False,us_market,0.02,1629396120,0.0,0.02,0.02,0.02,1000,PRE,IMMEDIATEK INC,PNK,-0.063,0,-0.155,0.03142857,-0.011428572,-0.36363637,0.16789855,-0.14789855,-0.8808805,237984,-0.12903225,15,America/New_York,EDT,-14400000,4,3.98,,,0.85,0.01,0.0314,0.1679,407,,15.87M,,,,,,,,,,,,,,,0.00%,,,1:100,"Jun 06, 2006","Dec 30, 2013","Sep 29, 2014",-32.33%,-31.68%,-22.35%,-65.77%,3.11M,0.20,-13.70%,1.86M,-486k,-1M,-0.0630,,109.33k,0.01,98.1k,9.38,0.27,-0.16,-386.44k,-68.55k,Value,76021,Technology,20,"Immediatek, Inc. provides online back-up, file storage, and other Web-based services for individuals, businesses, and governmental organizations in the United States. It operates FilesAnywhere.com, a Website that allows its customers to establish a self-service account for storing files on servers, sharing and collaborating documents with other people online, and backing up their computers to FilesAnywhere cloud storage. The company also offers the FilesAnywhere Private Site, Dedicated Server, and Enterprise Server products, which provide cloud storage and scalability for users, groups, and Internet applications, as well as client-specific branding and Web interfaces, customer data interfaces, and tailored security for mixed corporate environments. In addition, it provides specialized information technology services related to the development of Web based databases and data storage on contract basis. The company was founded in 1995 and is headquartered in Bedford, Texas.",Bedford,888-661-6565,TX,1388448000,United States,http://www.immediatek.com,86400,3301 Airport Freeway,Software—Infrastructure,Suite 200
t-3,IMKI,-3241429,15865600,213396,,-225018,,-238256,434137,502935,-225396,-225396,,,,,,13238,802034,1027430,299099,378,,-238256,-238256,755662,5355772,1014654,-1719235,662804,2795419,15865,-7090872,766532,20871,324171,1014654,695901,556453,148979,216059,-150032,-26194,-6205,-6205,11683,-240569,-214375,121851,29879,10500,-26194,-458201,en-US,US,EQUITY,False,Delayed Quote,0.0,0.02 - 0.02,0.02,0.0,0.0,0,0,finmb_8102267,Other OTC,"Immediatek, Inc.",USD,407,0,0.01,1.0,0.01 - 0.85,-0.83000004,-0.9764706,0.01,0.85,USD,False,False,us_market,0.02,1629396120,0.0,0.02,0.02,0.02,1000,PRE,IMMEDIATEK INC,PNK,-0.063,0,-0.155,0.03142857,-0.011428572,-0.36363637,0.16789855,-0.14789855,-0.8808805,237984,-0.12903225,15,America/New_York,EDT,-14400000,4,3.98,,,0.85,0.01,0.0314,0.1679,407,,15.87M,,,,,,,,,,,,,,,0.00%,,,1:100,"Jun 06, 2006","Dec 30, 2013","Sep 29, 2014",-32.33%,-31.68%,-22.35%,-65.77%,3.11M,0.20,-13.70%,1.86M,-486k,-1M,-0.0630,,109.33k,0.01,98.1k,9.38,0.27,-0.16,-386.44k,-68.55k,Value,76021,Technology,20,"Immediatek, Inc. provides online back-up, file storage, and other Web-based services for individuals, businesses, and governmental organizations in the United States. It operates FilesAnywhere.com, a Website that allows its customers to establish a self-service account for storing files on servers, sharing and collaborating documents with other people online, and backing up their computers to FilesAnywhere cloud storage. The company also offers the FilesAnywhere Private Site, Dedicated Server, and Enterprise Server products, which provide cloud storage and scalability for users, groups, and Internet applications, as well as client-specific branding and Web interfaces, customer data interfaces, and tailored security for mixed corporate environments. In addition, it provides specialized information technology services related to the development of Web based databases and data storage on contract basis. The company was founded in 1995 and is headquartered in Bedford, Texas.",Bedford,888-661-6565,TX,1388448000,United States,http://www.immediatek.com,86400,3301 Airport Freeway,Software—Infrastructure,Suite 200
