Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,otherCurrentAssets,inventory,shortLongTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,priceHint,shortName,longName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,market,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,exchangeDataDelayedBy,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,EVVTY,326087000.0,212327008,,,140695000,,132038000,48800000,235841000,141648000,141648000,26916000,-953000,,,,8657000,235841000,94193000,0,-953000,,132038000,132038000,699515000.0,2243408000.0,440186000.0,2826401000.0,298969000.0,3266587000.0,638000.0,594598000.0,35566000.0,1800799000.0,-12243000.0,13930000.0,326041000.0,360884000.0,2307000.0,-12243000.0,104858000.0,647485000.0,289026000.0,6344000.0,,,,-8995000.0,-15446000.0,-2422000.0,15169000.0,-1020000.0,104366000.0,2854000.0,101789000.0,18477000.0,115000.0,-27702000.0,17591000.0,-11009000.0,-6974000.0,,286601000.0,en-US,US,EQUITY,False,Delayed Quote,USD,5.220172,168.43 - 169.57,161.01,0.0,0.0,0,0,finmb_285223104,Other OTC,EUR,27846,19500,107.55499,1.7386839,61.86 - 201.76,-32.345,-0.16031425,61.86,201.76,1620691200,0.68,77.642075,0.00422334,2.182,-14400000,13.312,165.8514,3.5635986,0.021486698,162.87819,6.536804,2,EVOLUTION AB UNSP ADR EACH REPR,Evolution AB (publ),169.415,1630509354,8.404999,168.61,169.57,168.43,5664,REGULAR,PNK,us_market,0.040133085,35971379200,12.726486,15,America/New_York,EDT,False,False,0,1.04,,,201.76,61.86,165.85,162.88,27.85k,19.5k,212.33M,,171.1M,0.00%,0.08%,,,,,,0.82,0.49%,0.68,0.42%,,23.15%,"May 10, 2021","Apr 18, 2021",2:1,"Jun 05, 2019","Dec 30, 2020","Mar 30, 2021",53.16%,56.35%,12.85%,22.97%,681.83M,3.56,104.80%,561.13M,412.13M,362.46M,2.18,143.60%,326.04M,1.54,55.3M,1.96,1.79,13.31,379.76M,312.33M,Value,111 47,Consumer Cyclical,7174,7,1,"Evolution AB (publ) develops, produces, markets, and licenses live casino solutions to gaming operators primarily in Europe and the United States. The company runs the game from a casino table, which is streamed in real time and end users make betting decisions on their devices, such as desktops, smartphones, tablets, etc. It also runs on-premise studios at land-based casinos in Belgium, Romania, the United Kingdom, and Spain. The company's portfolio of games primarily includes Live Roulette, Live Lighting Roulette, Live Dream Catcher, Monopoly Live, Live Blackjack, Live Infinite Balckjack, Live Baccarat, Live Dragon Tiger, Live Super Sic Bo, Live Football Studio, Live Casino Hold'em, Live Three Card Poker, Live Caribbean Stud Poker, Live Ultimate Texas Hold'em, and Live Texas Hold'em Bonus Poker. It operates approximately 550 tables. The company was founded in 2006 and is headquartered in Stockholm, Sweden.",Stockholm,1,1609372800,1622505600,8,Sweden,http://www.evolutiongaming.com,86400,6,Hamngatan 11,Gambling
t-1,EVVTY,168651000.0,212327008,,,84019000,,80600000,38616000,177658000,84837000,84837000,42823000,-865000,,,,3419000,177658000,92821000,0,-818000,,80600000,80600000,723187000.0,2225817000.0,442941000.0,2726171000.0,303593000.0,3169112000.0,638000.0,462168000.0,36666000.0,1834333000.0,37548000.0,5998000.0,221675000.0,368197000.0,2696000.0,37548000.0,106365000.0,499229000.0,264566000.0,15335000.0,7532000.0,1475000.0,,1197000.0,35074000.0,-191299000.0,-194384000.0,-3093000.0,-61528000.0,-1842000.0,99624000.0,298000.0,-1470000.0,-17370000.0,-3085000.0,26908000.0,-6155000.0,,131032000.0,en-US,US,EQUITY,False,Delayed Quote,USD,5.220172,168.43 - 169.57,161.01,0.0,0.0,0,0,finmb_285223104,Other OTC,EUR,27846,19500,107.55499,1.7386839,61.86 - 201.76,-32.345,-0.16031425,61.86,201.76,1620691200,0.68,77.642075,0.00422334,2.182,-14400000,13.312,165.8514,3.5635986,0.021486698,162.87819,6.536804,2,EVOLUTION AB UNSP ADR EACH REPR,Evolution AB (publ),169.415,1630509354,8.404999,168.61,169.57,168.43,5664,REGULAR,PNK,us_market,0.040133085,35971379200,12.726486,15,America/New_York,EDT,False,False,0,1.04,,,201.76,61.86,165.85,162.88,27.85k,19.5k,212.33M,,171.1M,0.00%,0.08%,,,,,,0.82,0.49%,0.68,0.42%,,23.15%,"May 10, 2021","Apr 18, 2021",2:1,"Jun 05, 2019","Dec 30, 2020","Mar 30, 2021",53.16%,56.35%,12.85%,22.97%,681.83M,3.56,104.80%,561.13M,412.13M,362.46M,2.18,143.60%,326.04M,1.54,55.3M,1.96,1.79,13.31,379.76M,312.33M,Value,111 47,Consumer Cyclical,7174,7,1,"Evolution AB (publ) develops, produces, markets, and licenses live casino solutions to gaming operators primarily in Europe and the United States. The company runs the game from a casino table, which is streamed in real time and end users make betting decisions on their devices, such as desktops, smartphones, tablets, etc. It also runs on-premise studios at land-based casinos in Belgium, Romania, the United Kingdom, and Spain. The company's portfolio of games primarily includes Live Roulette, Live Lighting Roulette, Live Dream Catcher, Monopoly Live, Live Blackjack, Live Infinite Balckjack, Live Baccarat, Live Dragon Tiger, Live Super Sic Bo, Live Football Studio, Live Casino Hold'em, Live Three Card Poker, Live Caribbean Stud Poker, Live Ultimate Texas Hold'em, and Live Texas Hold'em Bonus Poker. It operates approximately 550 tables. The company was founded in 2006 and is headquartered in Stockholm, Sweden.",Stockholm,1,1609372800,1622505600,8,Sweden,http://www.evolutiongaming.com,86400,6,Hamngatan 11,Gambling
t-2,EVVTY,364312000.0,212327008,,,83531000,,79381000,31510000,140020000,83572000,83572000,17782000,-41000,,,,4150000,140020000,56448000,0,-41000,,79381000,79381000,23294000.0,22009000.0,202102000.0,399562000.0,144628000.0,601664000.0,545000.0,381358000.0,73000.0,11956000.0,-4350000.0,1942000.0,283203000.0,182770000.0,340000.0,-4350000.0,78495000.0,485977000.0,197502000.0,3756000.0,,,4907000.0,-582000.0,-10639000.0,-1348000.0,-1348000.0,2291000.0,71154000.0,-1583000.0,84724000.0,7156000.0,-367000.0,-9250000.0,-3085000.0,5728000.0,-7511000.0,,303207000.0,en-US,US,EQUITY,False,Delayed Quote,USD,5.220172,168.43 - 169.57,161.01,0.0,0.0,0,0,finmb_285223104,Other OTC,EUR,27846,19500,107.55499,1.7386839,61.86 - 201.76,-32.345,-0.16031425,61.86,201.76,1620691200,0.68,77.642075,0.00422334,2.182,-14400000,13.312,165.8514,3.5635986,0.021486698,162.87819,6.536804,2,EVOLUTION AB UNSP ADR EACH REPR,Evolution AB (publ),169.415,1630509354,8.404999,168.61,169.57,168.43,5664,REGULAR,PNK,us_market,0.040133085,35971379200,12.726486,15,America/New_York,EDT,False,False,0,1.04,,,201.76,61.86,165.85,162.88,27.85k,19.5k,212.33M,,171.1M,0.00%,0.08%,,,,,,0.82,0.49%,0.68,0.42%,,23.15%,"May 10, 2021","Apr 18, 2021",2:1,"Jun 05, 2019","Dec 30, 2020","Mar 30, 2021",53.16%,56.35%,12.85%,22.97%,681.83M,3.56,104.80%,561.13M,412.13M,362.46M,2.18,143.60%,326.04M,1.54,55.3M,1.96,1.79,13.31,379.76M,312.33M,Value,111 47,Consumer Cyclical,7174,7,1,"Evolution AB (publ) develops, produces, markets, and licenses live casino solutions to gaming operators primarily in Europe and the United States. The company runs the game from a casino table, which is streamed in real time and end users make betting decisions on their devices, such as desktops, smartphones, tablets, etc. It also runs on-premise studios at land-based casinos in Belgium, Romania, the United Kingdom, and Spain. The company's portfolio of games primarily includes Live Roulette, Live Lighting Roulette, Live Dream Catcher, Monopoly Live, Live Blackjack, Live Infinite Balckjack, Live Baccarat, Live Dragon Tiger, Live Super Sic Bo, Live Football Studio, Live Casino Hold'em, Live Three Card Poker, Live Caribbean Stud Poker, Live Ultimate Texas Hold'em, and Live Texas Hold'em Bonus Poker. It operates approximately 550 tables. The company was founded in 2006 and is headquartered in Stockholm, Sweden.",Stockholm,1,1609372800,1622505600,8,Sweden,http://www.evolutiongaming.com,86400,6,Hamngatan 11,Gambling
t-3,EVVTY,286536000.0,212327008,,,74087000,,70445000,30316000,128307000,74166000,74166000,16848000,-79000,,,,3642000,128307000,54141000,0,-79000,,70445000,70445000,23779000.0,22009000.0,169162000.0,322792000.0,113622000.0,491954000.0,545000.0,301774000.0,74000.0,12477000.0,-1536000.0,1823000.0,212049000.0,151258000.0,344000.0,-1536000.0,73188000.0,380687000.0,164622000.0,4389000.0,,,5145000.0,1996000.0,-8742000.0,-1270000.0,-77410000.0,2972000.0,7100000.0,-371000.0,93623000.0,6977000.0,-458000.0,9003000.0,-3085000.0,2230000.0,-4876000.0,-76140000.0,229429000.0,en-US,US,EQUITY,False,Delayed Quote,USD,5.220172,168.43 - 169.57,161.01,0.0,0.0,0,0,finmb_285223104,Other OTC,EUR,27846,19500,107.55499,1.7386839,61.86 - 201.76,-32.345,-0.16031425,61.86,201.76,1620691200,0.68,77.642075,0.00422334,2.182,-14400000,13.312,165.8514,3.5635986,0.021486698,162.87819,6.536804,2,EVOLUTION AB UNSP ADR EACH REPR,Evolution AB (publ),169.415,1630509354,8.404999,168.61,169.57,168.43,5664,REGULAR,PNK,us_market,0.040133085,35971379200,12.726486,15,America/New_York,EDT,False,False,0,1.04,,,201.76,61.86,165.85,162.88,27.85k,19.5k,212.33M,,171.1M,0.00%,0.08%,,,,,,0.82,0.49%,0.68,0.42%,,23.15%,"May 10, 2021","Apr 18, 2021",2:1,"Jun 05, 2019","Dec 30, 2020","Mar 30, 2021",53.16%,56.35%,12.85%,22.97%,681.83M,3.56,104.80%,561.13M,412.13M,362.46M,2.18,143.60%,326.04M,1.54,55.3M,1.96,1.79,13.31,379.76M,312.33M,Value,111 47,Consumer Cyclical,7174,7,1,"Evolution AB (publ) develops, produces, markets, and licenses live casino solutions to gaming operators primarily in Europe and the United States. The company runs the game from a casino table, which is streamed in real time and end users make betting decisions on their devices, such as desktops, smartphones, tablets, etc. It also runs on-premise studios at land-based casinos in Belgium, Romania, the United Kingdom, and Spain. The company's portfolio of games primarily includes Live Roulette, Live Lighting Roulette, Live Dream Catcher, Monopoly Live, Live Blackjack, Live Infinite Balckjack, Live Baccarat, Live Dragon Tiger, Live Super Sic Bo, Live Football Studio, Live Casino Hold'em, Live Three Card Poker, Live Caribbean Stud Poker, Live Ultimate Texas Hold'em, and Live Texas Hold'em Bonus Poker. It operates approximately 550 tables. The company was founded in 2006 and is headquartered in Stockholm, Sweden.",Stockholm,1,1609372800,1622505600,8,Sweden,http://www.evolutiongaming.com,86400,6,Hamngatan 11,Gambling
