Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,totalCurrentAssets,longTermInvestments,netReceivables,accountsPayable,treasuryStock,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,changeToNetincome,investments,totalCashFromFinancingActivities,issuanceOfStock,netBorrowings,repurchaseOfStock,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,HKBT,42856464.0,67096100,,,-1082472,,-1082472,1114429,0,-1114429,-1114429,,,,,,0,0,1114429,0,31957,,-1082472,-1082472,55220635.0,5888244.0,42856464.0,117794.0,48744708.0,109532.0,1684582.0,-12473703.0,-1.0,26708585.0,5888245.0,48743219.0,1489.0,10225052.0,20451.0,,,0.0,-10000000.0,-1645184.0,-12447927.0,-2447926.0,279729.0,1.0,,,,,,,42854974.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.2601,1630504381,0.0,0.2601,0.2601,0.2601,100,0,HK BATTERY TECHNOLOGY INC,PRE,us_market,0.0,0.2601 - 0.2601,0.2601,0.0,0.0,0,0,finmb_54873158,Other OTC,"HK Battery Technology, Inc.",USD,197,402,0.010100007,0.04040003,0.25 - 2.5,-2.2399,-0.89596003,0.25,2.5,-0.6553528,1.3628228,-1.1027228,-0.8091461,-0.084,0.639,0.75468475,-0.49458474,1998285,0.40704226,15,America/New_York,EDT,-14400000,False,False,0.97,,,2.5,0.25,0.7547,1.3628,197,402,67.1M,,429.42k,99.36%,0.00%,,,,,,,,,,,0.00%,,,1:100,"Sep 07, 2014","Dec 30, 2015","Mar 30, 2016",0.00%,"-1,247.84%",-8.00%,-17.47%,279.73k,0.01,,31.08k,,-3.42M,-0.0840,,26.71M,0.4,5.75M,13.42,8.28,0.64,-15.34M,-29.87M,Value,91101,Financial Services,13,"HK Battery Technology, Inc. does not have significant operations. The company intends to seek a merger, combination, or other business transaction with a company that develops and/or manufactures battery packs with advanced technologies. Previously, it was involved in the acquisition, exploration, and development of gold mining claims in Nevada. The company was founded in 2008 and is based in Pasadena, California. HK Battery Technology, Inc. is a subsidiary of Far East Golden Resources Investment Limited.",Pasadena,626-683-7330,CA,1451520000,United States,86400,800 East Colorado Boulevard,Shell Companies,Suite 888
t-1,HKBT,43938936.0,67096100,,,-1464567,,-1464567,1540949,31081,-1509868,-1509868,,,,,,0,279729,1789597,248648,45301,,-1464567,-1464567,55220635.0,5848846.0,43938936.0,77801.0,49787782.0,109532.0,,-11391231.0,-1.0,39156512.0,5848847.0,49786293.0,1489.0,504781.0,20451.0,,,0.0,-1489.0,-10085429.0,-11831213.0,-11829724.0,-279729.0,1.0,-1489.0,,,,,,43937446.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.2601,1630504381,0.0,0.2601,0.2601,0.2601,100,0,HK BATTERY TECHNOLOGY INC,PRE,us_market,0.0,0.2601 - 0.2601,0.2601,0.0,0.0,0,0,finmb_54873158,Other OTC,"HK Battery Technology, Inc.",USD,197,402,0.010100007,0.04040003,0.25 - 2.5,-2.2399,-0.89596003,0.25,2.5,-0.6553528,1.3628228,-1.1027228,-0.8091461,-0.084,0.639,0.75468475,-0.49458474,1998285,0.40704226,15,America/New_York,EDT,-14400000,False,False,0.97,,,2.5,0.25,0.7547,1.3628,197,402,67.1M,,429.42k,99.36%,0.00%,,,,,,,,,,,0.00%,,,1:100,"Sep 07, 2014","Dec 30, 2015","Mar 30, 2016",0.00%,"-1,247.84%",-8.00%,-17.47%,279.73k,0.01,,31.08k,,-3.42M,-0.0840,,26.71M,0.4,5.75M,13.42,8.28,0.64,-15.34M,-29.87M,Value,91101,Financial Services,13,"HK Battery Technology, Inc. does not have significant operations. The company intends to seek a merger, combination, or other business transaction with a company that develops and/or manufactures battery packs with advanced technologies. Previously, it was involved in the acquisition, exploration, and development of gold mining claims in Nevada. The company was founded in 2008 and is based in Pasadena, California. HK Battery Technology, Inc. is a subsidiary of Far East Golden Resources Investment Limited.",Pasadena,626-683-7330,CA,1451520000,United States,86400,800 East Colorado Boulevard,Shell Companies,Suite 888
t-2,HKBT,45403502.0,67096100,,,-514163,,-514163,534025,0,-534025,-534025,,,,,,0,0,534025,0,19862,,-514163,-514163,55220635.0,5807775.0,45403502.0,5785758.0,51211277.0,109532.0,,-9926665.0,,50987725.0,5807775.0,51211277.0,,223552.0,20451.0,,,0.0,-1489.0,-1509.0,49484646.0,-515354.0,-279729.0,-1.0,-1489.0,50000000.0,50000000.0,,,,45403502.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.2601,1630504381,0.0,0.2601,0.2601,0.2601,100,0,HK BATTERY TECHNOLOGY INC,PRE,us_market,0.0,0.2601 - 0.2601,0.2601,0.0,0.0,0,0,finmb_54873158,Other OTC,"HK Battery Technology, Inc.",USD,197,402,0.010100007,0.04040003,0.25 - 2.5,-2.2399,-0.89596003,0.25,2.5,-0.6553528,1.3628228,-1.1027228,-0.8091461,-0.084,0.639,0.75468475,-0.49458474,1998285,0.40704226,15,America/New_York,EDT,-14400000,False,False,0.97,,,2.5,0.25,0.7547,1.3628,197,402,67.1M,,429.42k,99.36%,0.00%,,,,,,,,,,,0.00%,,,1:100,"Sep 07, 2014","Dec 30, 2015","Mar 30, 2016",0.00%,"-1,247.84%",-8.00%,-17.47%,279.73k,0.01,,31.08k,,-3.42M,-0.0840,,26.71M,0.4,5.75M,13.42,8.28,0.64,-15.34M,-29.87M,Value,91101,Financial Services,13,"HK Battery Technology, Inc. does not have significant operations. The company intends to seek a merger, combination, or other business transaction with a company that develops and/or manufactures battery packs with advanced technologies. Previously, it was involved in the acquisition, exploration, and development of gold mining claims in Nevada. The company was founded in 2008 and is based in Pasadena, California. HK Battery Technology, Inc. is a subsidiary of Far East Golden Resources Investment Limited.",Pasadena,626-683-7330,CA,1451520000,United States,86400,800 East Colorado Boulevard,Shell Companies,Suite 888
t-3,HKBT,-4082654.0,67096100,,,-357386,,-357386,332579,0,-332579,-332579,,-27703.0,,,,0,0,332579,0,-24807,,-357386,-357386,5287302.0,5807785.0,-4082654.0,5787015.0,1725131.0,42865.0,,-9412820.0,,1503079.0,5807785.0,1725131.0,,222052.0,20451.0,-1.0,-1.0,5740612.0,3750000.0,-183136.0,-294919.0,5200081.0,-279729.0,-1.0,-1489.0,-9245000.0,50000000.0,-3495000.0,-5750000.0,3750000.0,-4082654.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.2601,1630504381,0.0,0.2601,0.2601,0.2601,100,0,HK BATTERY TECHNOLOGY INC,PRE,us_market,0.0,0.2601 - 0.2601,0.2601,0.0,0.0,0,0,finmb_54873158,Other OTC,"HK Battery Technology, Inc.",USD,197,402,0.010100007,0.04040003,0.25 - 2.5,-2.2399,-0.89596003,0.25,2.5,-0.6553528,1.3628228,-1.1027228,-0.8091461,-0.084,0.639,0.75468475,-0.49458474,1998285,0.40704226,15,America/New_York,EDT,-14400000,False,False,0.97,,,2.5,0.25,0.7547,1.3628,197,402,67.1M,,429.42k,99.36%,0.00%,,,,,,,,,,,0.00%,,,1:100,"Sep 07, 2014","Dec 30, 2015","Mar 30, 2016",0.00%,"-1,247.84%",-8.00%,-17.47%,279.73k,0.01,,31.08k,,-3.42M,-0.0840,,26.71M,0.4,5.75M,13.42,8.28,0.64,-15.34M,-29.87M,Value,91101,Financial Services,13,"HK Battery Technology, Inc. does not have significant operations. The company intends to seek a merger, combination, or other business transaction with a company that develops and/or manufactures battery packs with advanced technologies. Previously, it was involved in the acquisition, exploration, and development of gold mining claims in Nevada. The company was founded in 2008 and is based in Pasadena, California. HK Battery Technology, Inc. is a subsidiary of Far East Golden Resources Investment Limited.",Pasadena,626-683-7330,CA,1451520000,United States,86400,800 East Colorado Boulevard,Shell Companies,Suite 888
