Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceHint,regularMarketChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,currency,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,shortName,exchangeDataDelayedBy,market,marketState,epsTrailingTwelveMonths,twoHundredDayAverageChangePercent,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,FLWPF,47521000,361767008,414000,,-8887000,23687000,-8277000,4600000,-2115000,-8414000,-8414000,,-799000,,,,-185000,3834000,12248000,5949000,-473000,,-8702000,-8277000,24739000,20059000,59950000,96812000,118000,180449000,275629000,1000000,-187351000,2907000,24552000,-11525000,316000,23920000,15948000,6241000,-11525000,93911000,36902000,29000,4306000,34684000,6107000,6192000,-3123000.0,-292000.0,-1415000.0,12705000.0,757000.0,15906000.0,3146000.0,-9267000.0,2119000.0,-1867000.0,-1790000.0,-1786000.0,2905000.0,-292000.0,,,20954000,en-US,US,EQUITY,False,Delayed Quote,338483,0.016449995,0.20822778,0.079 - 0.55,-0.45455003,-0.8264546,0.079,0.55,1537920000,1619640000,1619640000,1619640000,0.267,0.13227777,-0.036827773,-0.2784124,0.21139856,-0.11594856,34530660,4,-4.5500026,0.35749066,15,America/New_York,EDT,-14400000,0.095 - 0.1077,0.1,0.0,0.0,0,0,finmb_548719792,Other OTC,The Flowr Corporation,CAD,172196,USD,False,False,0.09545,1630524157,-0.0045500025,0.1,0.1077,0.095,498105,PNK,THE FLOWR CORPORATION,0,us_market,POST,-0.762,-0.5484832,0.24,,,0.55,0.079,0.1323,0.2114,172.2k,338.48k,361.77M,,250.93M,25.84%,0.22%,,,,,,,,,,,0.00%,"Sep 25, 2018",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,-329.56%,-10.98%,-93.85%,10.57M,0.06,394.10%,-13.81M,-28.74M,-123.33M,-0.7620,,23.92M,0.07,48.34M,40.11,2.31,0.27,-26.39M,-24.54M,Value,M5C 3E4,Healthcare,186,"The Flowr Corporation cultivates, produces, and sells cannabis in Canada. It also has operations in Canada, Europe, and Australia. The company is headquartered in Toronto, Canada.",Toronto,905 940 3993,ON,1609372800,Canada,http://www.flowr.ca,86400,60 Adelaide Street E,Drug Manufacturers—Specialty & Generic,Suite 1000
t-1,FLWPF,40491000,361767008,391000,,-103709000,24347000,-100454000,4613000,-2813000,-8742000,-8742000,,-1407000,,,,-3959000,1600000,10342000,4413000,-94967000,,-99750000,-100454000,26364000,19892000,65245000,91407000,97000,180999000,264584000,1846000,-178618000,3256000,24552000,5441000,308000,20774000,19823000,6813000,5441000,97129000,32617000,29000,2516000,35488000,5153000,11919000,2575000.0,20524000.0,-389000.0,1469000.0,-9118000.0,2500000.0,17317000.0,-4676000.0,-4559000.0,6739000.0,453000.0,-642000.0,99712000.0,-1191000.0,479000.0,1500000.0,12794000,en-US,US,EQUITY,False,Delayed Quote,338483,0.016449995,0.20822778,0.079 - 0.55,-0.45455003,-0.8264546,0.079,0.55,1537920000,1619640000,1619640000,1619640000,0.267,0.13227777,-0.036827773,-0.2784124,0.21139856,-0.11594856,34530660,4,-4.5500026,0.35749066,15,America/New_York,EDT,-14400000,0.095 - 0.1077,0.1,0.0,0.0,0,0,finmb_548719792,Other OTC,The Flowr Corporation,CAD,172196,USD,False,False,0.09545,1630524157,-0.0045500025,0.1,0.1077,0.095,498105,PNK,THE FLOWR CORPORATION,0,us_market,POST,-0.762,-0.5484832,0.24,,,0.55,0.079,0.1323,0.2114,172.2k,338.48k,361.77M,,250.93M,25.84%,0.22%,,,,,,,,,,,0.00%,"Sep 25, 2018",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,-329.56%,-10.98%,-93.85%,10.57M,0.06,394.10%,-13.81M,-28.74M,-123.33M,-0.7620,,23.92M,0.07,48.34M,40.11,2.31,0.27,-26.39M,-24.54M,Value,M5C 3E4,Healthcare,186,"The Flowr Corporation cultivates, produces, and sells cannabis in Canada. It also has operations in Canada, Europe, and Australia. The company is headquartered in Toronto, Canada.",Toronto,905 940 3993,ON,1609372800,Canada,http://www.flowr.ca,86400,60 Adelaide Street E,Drug Manufacturers—Specialty & Generic,Suite 1000
t-2,FLWPF,9021000,361767008,157000,,-10426000,29516000,-9717000,3563000,-5197000,-10315000,-10315000,,-1382000,,,,-252000,2823000,13138000,8020000,-111000,,-10174000,-9717000,44199000,19924000,77118000,107096000,89000,213730000,183029000,718000,-74527000,7224000,53876000,-21330000,49000,3458000,27602000,20645000,-21330000,102765000,12812000,29000,3666000,35291000,4223000,3763000,-662000.0,-4247000.0,402000.0,2794000.0,284000.0,1553000.0,-6938000.0,-5485000.0,1812000.0,-1946000.0,-1040000.0,839000.0,5784000.0,-4247000.0,479000.0,1500000.0,-14790000,en-US,US,EQUITY,False,Delayed Quote,338483,0.016449995,0.20822778,0.079 - 0.55,-0.45455003,-0.8264546,0.079,0.55,1537920000,1619640000,1619640000,1619640000,0.267,0.13227777,-0.036827773,-0.2784124,0.21139856,-0.11594856,34530660,4,-4.5500026,0.35749066,15,America/New_York,EDT,-14400000,0.095 - 0.1077,0.1,0.0,0.0,0,0,finmb_548719792,Other OTC,The Flowr Corporation,CAD,172196,USD,False,False,0.09545,1630524157,-0.0045500025,0.1,0.1077,0.095,498105,PNK,THE FLOWR CORPORATION,0,us_market,POST,-0.762,-0.5484832,0.24,,,0.55,0.079,0.1323,0.2114,172.2k,338.48k,361.77M,,250.93M,25.84%,0.22%,,,,,,,,,,,0.00%,"Sep 25, 2018",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,-329.56%,-10.98%,-93.85%,10.57M,0.06,394.10%,-13.81M,-28.74M,-123.33M,-0.7620,,23.92M,0.07,48.34M,40.11,2.31,0.27,-26.39M,-24.54M,Value,M5C 3E4,Healthcare,186,"The Flowr Corporation cultivates, produces, and sells cannabis in Canada. It also has operations in Canada, Europe, and Australia. The company is headquartered in Toronto, Canada.",Toronto,905 940 3993,ON,1609372800,Canada,http://www.flowr.ca,86400,60 Adelaide Street E,Drug Manufacturers—Specialty & Generic,Suite 1000
t-3,FLWPF,-6319000,361767008,162000,,-6908000,33330000,-4886000,4417000,-1707000,-7366000,-7366000,,-1006000,,,,-1470000,2314000,9680000,4021000,458000,,-5438000,-4886000,43913000,18907000,76636000,90346000,216000,218714000,163112000,1351000,-64096000,7323000,52752000,-27577000,49000,10395000,28852000,20769000,-27577000,100113000,21273000,614000,2655000,33310000,5803000,4512000,-2251000.0,-6013000.0,17313000.0,20881000.0,535000.0,812000.0,7907000.0,-6961000.0,1531000.0,-1539000.0,-1038000.0,2756000.0,687000.0,-6047000.0,479000.0,1500000.0,-7579000,en-US,US,EQUITY,False,Delayed Quote,338483,0.016449995,0.20822778,0.079 - 0.55,-0.45455003,-0.8264546,0.079,0.55,1537920000,1619640000,1619640000,1619640000,0.267,0.13227777,-0.036827773,-0.2784124,0.21139856,-0.11594856,34530660,4,-4.5500026,0.35749066,15,America/New_York,EDT,-14400000,0.095 - 0.1077,0.1,0.0,0.0,0,0,finmb_548719792,Other OTC,The Flowr Corporation,CAD,172196,USD,False,False,0.09545,1630524157,-0.0045500025,0.1,0.1077,0.095,498105,PNK,THE FLOWR CORPORATION,0,us_market,POST,-0.762,-0.5484832,0.24,,,0.55,0.079,0.1323,0.2114,172.2k,338.48k,361.77M,,250.93M,25.84%,0.22%,,,,,,,,,,,0.00%,"Sep 25, 2018",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,-329.56%,-10.98%,-93.85%,10.57M,0.06,394.10%,-13.81M,-28.74M,-123.33M,-0.7620,,23.92M,0.07,48.34M,40.11,2.31,0.27,-26.39M,-24.54M,Value,M5C 3E4,Healthcare,186,"The Flowr Corporation cultivates, produces, and sells cannabis in Canada. It also has operations in Canada, Europe, and Australia. The company is headquartered in Toronto, Canada.",Toronto,905 940 3993,ON,1609372800,Canada,http://www.flowr.ca,86400,60 Adelaide Street E,Drug Manufacturers—Specialty & Generic,Suite 1000
