Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,goodWill,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,otherAssets,shortTermInvestments,otherCurrentLiab,treasuryStock,otherStockholderEquity,longTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,capitalExpenditures,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry
t0,HHGI,-741497.0,607361984,,,11034,,11034,90468,101708,11240,11240,,,,,,0,117875,106635,16167,-206,,11034,11034,3985508.0,974626.0,1730931.0,2705557.0,675406.0,450.0,-2929983.0,2472428.0,11314.0,798768.0,192092.0,41037.0,29273.0,175858.0,86847.0,,,,,,,-21712.0,-48938.0,6824.0,55762.0,66440.0,-48938.0,,,,,,,,-757731.0,en-US,US,EQUITY,False,Delayed Quote,0.0028,1630091032,0.0,0.0028,0.0028,0.0028,483010,-0.024997678,-0.8992722,1700613,0.9333333,15,America/New_York,EDT,-14400000,False,False,USD,4,HAWAIIAN HOSPITALITY GROUP INC,PNK,0.003,0.009957222,-0.0071572224,-0.7187971,0.027797677,0,finmb_83724115,Other OTC,"Hawaiian Hospitality Group, Inc.",USD,63654,103621,0.0017999999,1.7999997,0.001 - 0.05,-0.0472,-0.944,0.001,0.05,-0.0,PRE,0.0,0.0028 - 0.0028,0.0028,us_market,-5.39,,,0.05,0.001,0.01,0.0278,63.65k,103.62k,607.36M,,,,,,,,,,,,,,,,,,1:1000,"Jun 19, 2011","Dec 30, 2011","Mar 30, 2012",-30.27%,-21.32%,-2.14%,-21.35%,635.71k,0.00,121.90%,390.45k,,-192.45k,-0.0000,,11.31k,0,701.06k,40.50,0.05,0.00,129.86k,5.14M,Value,96712,Industrials,1,"Hawaiian Hospitality Group, Inc. focuses on commercializing under-utilized waterfront properties in the Hawaiian Islands, Hawaii. The company specializes in identifying, designing, and operating public and private sites suitable for environmental and commercial revitalization. It also owns and operates the Loulu Palm Estate on a mile long private beach located on the North Shore of Oahu, Hawaii. The company is based in Haleiwa, Hawaii.",Haleiwa,888-344-4933,HI,United States,http://www.hawaiianhospitalitygroup.com,86400,58-057 Kamehameha Highway,Specialty Business Services
t-1,HHGI,1719917.0,607361984,,,-272179,,-272179,436745,165344,-216161,-216161,-6412.0,,,,,0,285586,501747,120242,-56018,,-272179,-272179,3982508.0,964549.0,1719917.0,2684466.0,675406.0,,-2937997.0,,4490.0,788691.0,140988.0,2543358.0,66440.0,175858.0,96770.0,120.0,2472428.0,,,,,-20785.0,12014.0,27151.0,-42706.0,60252.0,12014.0,-4522229.0,57843.0,-45578.0,2120173.0,48858.0,2459899.0,186635.0,1754667.0,en-US,US,EQUITY,False,Delayed Quote,0.0028,1630091032,0.0,0.0028,0.0028,0.0028,483010,-0.024997678,-0.8992722,1700613,0.9333333,15,America/New_York,EDT,-14400000,False,False,USD,4,HAWAIIAN HOSPITALITY GROUP INC,PNK,0.003,0.009957222,-0.0071572224,-0.7187971,0.027797677,0,finmb_83724115,Other OTC,"Hawaiian Hospitality Group, Inc.",USD,63654,103621,0.0017999999,1.7999997,0.001 - 0.05,-0.0472,-0.944,0.001,0.05,-0.0,PRE,0.0,0.0028 - 0.0028,0.0028,us_market,-5.39,,,0.05,0.001,0.01,0.0278,63.65k,103.62k,607.36M,,,,,,,,,,,,,,,,,,1:1000,"Jun 19, 2011","Dec 30, 2011","Mar 30, 2012",-30.27%,-21.32%,-2.14%,-21.35%,635.71k,0.00,121.90%,390.45k,,-192.45k,-0.0000,,11.31k,0,701.06k,40.50,0.05,0.00,129.86k,5.14M,Value,96712,Industrials,1,"Hawaiian Hospitality Group, Inc. focuses on commercializing under-utilized waterfront properties in the Hawaiian Islands, Hawaii. The company specializes in identifying, designing, and operating public and private sites suitable for environmental and commercial revitalization. It also owns and operates the Loulu Palm Estate on a mile long private beach located on the North Shore of Oahu, Hawaii. The company is based in Haleiwa, Hawaii.",Haleiwa,888-344-4933,HI,United States,http://www.hawaiianhospitalitygroup.com,86400,58-057 Kamehameha Highway,Specialty Business Services
t-2,HHGI,158561.0,607361984,,,-25248,,-25248,72118,64905,-25029,-25029,1540.0,,,,,0,94783,119812,29878,-219,,-25248,-25248,2341350.0,5062171.0,158561.0,5220732.0,280929.0,,-2463718.0,,4208.0,4995451.0,5156440.0,64292.0,60084.0,66720.0,86363.0,,,3116918.0,,,,7593.0,12014.0,-31152.0,-142240.0,3373.0,12014.0,-215401.0,111088.0,-45578.0,438171.0,-16276.0,-111682.0,-111682.0,-4931159.0,en-US,US,EQUITY,False,Delayed Quote,0.0028,1630091032,0.0,0.0028,0.0028,0.0028,483010,-0.024997678,-0.8992722,1700613,0.9333333,15,America/New_York,EDT,-14400000,False,False,USD,4,HAWAIIAN HOSPITALITY GROUP INC,PNK,0.003,0.009957222,-0.0071572224,-0.7187971,0.027797677,0,finmb_83724115,Other OTC,"Hawaiian Hospitality Group, Inc.",USD,63654,103621,0.0017999999,1.7999997,0.001 - 0.05,-0.0472,-0.944,0.001,0.05,-0.0,PRE,0.0,0.0028 - 0.0028,0.0028,us_market,-5.39,,,0.05,0.001,0.01,0.0278,63.65k,103.62k,607.36M,,,,,,,,,,,,,,,,,,1:1000,"Jun 19, 2011","Dec 30, 2011","Mar 30, 2012",-30.27%,-21.32%,-2.14%,-21.35%,635.71k,0.00,121.90%,390.45k,,-192.45k,-0.0000,,11.31k,0,701.06k,40.50,0.05,0.00,129.86k,5.14M,Value,96712,Industrials,1,"Hawaiian Hospitality Group, Inc. focuses on commercializing under-utilized waterfront properties in the Hawaiian Islands, Hawaii. The company specializes in identifying, designing, and operating public and private sites suitable for environmental and commercial revitalization. It also owns and operates the Loulu Palm Estate on a mile long private beach located on the North Shore of Oahu, Hawaii. The company is based in Haleiwa, Hawaii.",Haleiwa,888-344-4933,HI,United States,http://www.hawaiianhospitalitygroup.com,86400,58-057 Kamehameha Highway,Specialty Business Services
t-3,HHGI,-142680.0,607361984,,,93854,,93854,-13282,118763,94621,94621,4872.0,,,,,0,137468,42847,18705,-767,,93854,93854,2181381.0,5414213.0,-142680.0,5271533.0,2727.0,,-2135752.0,,35360.0,5179970.0,172716.0,98817.0,63457.0,234243.0,13192.0,,,100000.0,-191036.0,-191036.0,5000000.0,13192.0,-12014.0,-19203.0,259046.0,-63625.0,-12014.0,249421.0,-266235.0,183123.0,1361708.0,32522.0,-1877364.0,-20.0,-5081153.0,en-US,US,EQUITY,False,Delayed Quote,0.0028,1630091032,0.0,0.0028,0.0028,0.0028,483010,-0.024997678,-0.8992722,1700613,0.9333333,15,America/New_York,EDT,-14400000,False,False,USD,4,HAWAIIAN HOSPITALITY GROUP INC,PNK,0.003,0.009957222,-0.0071572224,-0.7187971,0.027797677,0,finmb_83724115,Other OTC,"Hawaiian Hospitality Group, Inc.",USD,63654,103621,0.0017999999,1.7999997,0.001 - 0.05,-0.0472,-0.944,0.001,0.05,-0.0,PRE,0.0,0.0028 - 0.0028,0.0028,us_market,-5.39,,,0.05,0.001,0.01,0.0278,63.65k,103.62k,607.36M,,,,,,,,,,,,,,,,,,1:1000,"Jun 19, 2011","Dec 30, 2011","Mar 30, 2012",-30.27%,-21.32%,-2.14%,-21.35%,635.71k,0.00,121.90%,390.45k,,-192.45k,-0.0000,,11.31k,0,701.06k,40.50,0.05,0.00,129.86k,5.14M,Value,96712,Industrials,1,"Hawaiian Hospitality Group, Inc. focuses on commercializing under-utilized waterfront properties in the Hawaiian Islands, Hawaii. The company specializes in identifying, designing, and operating public and private sites suitable for environmental and commercial revitalization. It also owns and operates the Loulu Palm Estate on a mile long private beach located on the North Shore of Oahu, Hawaii. The company is based in Haleiwa, Hawaii.",Haleiwa,888-344-4933,HI,United States,http://www.hawaiianhospitalitygroup.com,86400,58-057 Kamehameha Highway,Specialty Business Services
