Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,shortLongTermDebt,longTermInvestments,longTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jun 29, 2016) 4","Short Ratio (Jun 29, 2016) 4","Short % of Float (Jun 29, 2016) 4","Short % of Shares Outstanding (Jun 29, 2016) 4","Shares Short (prior month May 30, 2016) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GSIH,3967053.0,46014000,13904,,-170639,,-3501497,276767,117167,-173504,-173504,,,,,,0,181255,354759,64088,2865,-3330858,-170639,-3501497,1261915192.0,10156207.0,3967053.0,10083277.0,14126353.0,46509.0,9300658.0,-1260406906.0,2412258.0,10077.0,866990.0,10136247.0,3251944.0,79932.0,14036344.0,3808359.0,,,,0.0,,,,,,,,,,,,,3900097.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.025999999,2.6,0.01 - 0.14,-0.104,-0.74285716,0.01,0.14,-0.225,-20.879122,0.036 - 0.036,0.0455,0.0,0.0,0,0,finmb_5910976,Other OTC,"General Steel Holdings, Inc.",USD,5798,8528,0.086,0.04742857,-0.011428572,-0.24096388,0.05804348,-0.022043481,-0.37977532,1656503,0.4186046,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GENERAL STEEL HOLDINGS INC,0.036,1630519700,-0.009500001,0.036,0.036,0.036,2040,0.84,,,0.14,0.01,0.0474,0.058,5.8k,8.53k,46.01M,,21.76M,53.28%,0.00%,147.74k,2.38,1.21%,0.98%,165.28k,,,,,,0.00%,,,1:5,"Oct 28, 2015","Dec 30, 2018","Jun 29, 2019",0.00%,-345.41%,-2.49%,-29.01%,181.25k,0.00,,,,-1.59M,-0.2250,,866.99k,0.02,72.93k,1.84,1.38,0.09,-902.76k,-13.76M,Value,100102,Basic Materials,5,"General Steel Holdings, Inc. engages in the business of cell research, development, storage, and cell culture service in the People's Republic of China. General Steel Holdings, Inc. was incorporated in 2002 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 6470 9625,1167523200,China,http://www.gshi-steel.com,86400,"Tower 1, Room 803",Steel,Building B Wangjing SOHO Chaoyang District
t-1,GSIH,7400280.0,46014000,13904,,-765582,,-765582,280885,0,-280885,-280885,,,,,,0,0,280885,0,-484697,-3330858,-765582,-765582,1261915192.0,10355226.0,7400280.0,9813177.0,17758599.0,46509.0,,-1256905409.0,2343988.0,10308.0,4760549.0,10319707.0,3183674.0,96127.0,4814345.0,,53489.0,12837819.0,35519.0,-8563.0,-1758.0,170966.0,170966.0,-134718.0,-60283.0,108753.0,-338244.0,14597.0,56297.0,500007.0,-1758.0,,-5505362.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.025999999,2.6,0.01 - 0.14,-0.104,-0.74285716,0.01,0.14,-0.225,-20.879122,0.036 - 0.036,0.0455,0.0,0.0,0,0,finmb_5910976,Other OTC,"General Steel Holdings, Inc.",USD,5798,8528,0.086,0.04742857,-0.011428572,-0.24096388,0.05804348,-0.022043481,-0.37977532,1656503,0.4186046,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GENERAL STEEL HOLDINGS INC,0.036,1630519700,-0.009500001,0.036,0.036,0.036,2040,0.84,,,0.14,0.01,0.0474,0.058,5.8k,8.53k,46.01M,,21.76M,53.28%,0.00%,147.74k,2.38,1.21%,0.98%,165.28k,,,,,,0.00%,,,1:5,"Oct 28, 2015","Dec 30, 2018","Jun 29, 2019",0.00%,-345.41%,-2.49%,-29.01%,181.25k,0.00,,,,-1.59M,-0.2250,,866.99k,0.02,72.93k,1.84,1.38,0.09,-902.76k,-13.76M,Value,100102,Basic Materials,5,"General Steel Holdings, Inc. engages in the business of cell research, development, storage, and cell culture service in the People's Republic of China. General Steel Holdings, Inc. was incorporated in 2002 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 6470 9625,1167523200,China,http://www.gshi-steel.com,86400,"Tower 1, Room 803",Steel,Building B Wangjing SOHO Chaoyang District
t-2,GSIH,8144348.0,46014000,13904,,-3297308,,-3297308,145847,0,-145847,-145847,,-4.0,,,,0,0,145847,0,-3151461,-3330858,-3297308,-3297308,1261869238.0,9730851.0,8144348.0,9188159.0,17878292.0,46509.0,,-1256139827.0,2368428.0,10058.0,4820832.0,9730851.0,3208114.0,217.0,4895869.0,55246.0,,12972148.0,,54985.0,4364582.0,42168.0,542168.0,-134718.0,4815886.0,2.0,-90866.0,14597.0,56297.0,3151457.0,-1758.0,500000.0,-4834982.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.025999999,2.6,0.01 - 0.14,-0.104,-0.74285716,0.01,0.14,-0.225,-20.879122,0.036 - 0.036,0.0455,0.0,0.0,0,0,finmb_5910976,Other OTC,"General Steel Holdings, Inc.",USD,5798,8528,0.086,0.04742857,-0.011428572,-0.24096388,0.05804348,-0.022043481,-0.37977532,1656503,0.4186046,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GENERAL STEEL HOLDINGS INC,0.036,1630519700,-0.009500001,0.036,0.036,0.036,2040,0.84,,,0.14,0.01,0.0474,0.058,5.8k,8.53k,46.01M,,21.76M,53.28%,0.00%,147.74k,2.38,1.21%,0.98%,165.28k,,,,,,0.00%,,,1:5,"Oct 28, 2015","Dec 30, 2018","Jun 29, 2019",0.00%,-345.41%,-2.49%,-29.01%,181.25k,0.00,,,,-1.59M,-0.2250,,866.99k,0.02,72.93k,1.84,1.38,0.09,-902.76k,-13.76M,Value,100102,Basic Materials,5,"General Steel Holdings, Inc. engages in the business of cell research, development, storage, and cell culture service in the People's Republic of China. General Steel Holdings, Inc. was incorporated in 2002 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 6470 9625,1167523200,China,http://www.gshi-steel.com,86400,"Tower 1, Room 803",Steel,Building B Wangjing SOHO Chaoyang District
t-3,GSIH,6687430.0,46014000,13904,,-760393,,-760393,24926,0,-24926,-24926,,-4.0,,,,0,0,24926,0,-735467,-3330858,-760393,-760393,1257198042.0,9403689.0,6687430.0,8981230.0,16094212.0,28048.0,,-1252842519.0,2303859.0,,4946.0,9403689.0,3143545.0,217.0,7446.0,2500.0,,16086549.0,,-126310.0,4364582.0,-98844.0,151156.0,-134718.0,-2.0,54.0,-151212.0,14597.0,56297.0,735491.0,-1758.0,250000.0,-9396243.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.025999999,2.6,0.01 - 0.14,-0.104,-0.74285716,0.01,0.14,-0.225,-20.879122,0.036 - 0.036,0.0455,0.0,0.0,0,0,finmb_5910976,Other OTC,"General Steel Holdings, Inc.",USD,5798,8528,0.086,0.04742857,-0.011428572,-0.24096388,0.05804348,-0.022043481,-0.37977532,1656503,0.4186046,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GENERAL STEEL HOLDINGS INC,0.036,1630519700,-0.009500001,0.036,0.036,0.036,2040,0.84,,,0.14,0.01,0.0474,0.058,5.8k,8.53k,46.01M,,21.76M,53.28%,0.00%,147.74k,2.38,1.21%,0.98%,165.28k,,,,,,0.00%,,,1:5,"Oct 28, 2015","Dec 30, 2018","Jun 29, 2019",0.00%,-345.41%,-2.49%,-29.01%,181.25k,0.00,,,,-1.59M,-0.2250,,866.99k,0.02,72.93k,1.84,1.38,0.09,-902.76k,-13.76M,Value,100102,Basic Materials,5,"General Steel Holdings, Inc. engages in the business of cell research, development, storage, and cell culture service in the People's Republic of China. General Steel Holdings, Inc. was incorporated in 2002 and is headquartered in Beijing, the People's Republic of China.",Beijing,86 10 6470 9625,1167523200,China,http://www.gshi-steel.com,86400,"Tower 1, Room 803",Steel,Building B Wangjing SOHO Chaoyang District
