Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,intangibleAssets,otherLiab,deferredLongTermAssetCharges,longTermDebt,inventory,shortLongTermDebt,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,changeToNetincome,totalCashflowsFromInvestingActivities,changeToOperatingActivities,otherCashflowsFromInvestingActivities,capitalExpenditures,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,maxAge,address1,fax,industry,address2
t0,GRHI,-3583030.0,47227500,,,-16140148,,-14890065,818743,71530,-1649923,-1649923,,-52209,,,,-1250083,71530,1721453,0,-14490225,,-14890065,-14890065,24564005.0,2270013.0,-3583030.0,200069.0,43939.0,-24539918.0,-3651056.0,1000.0,4614.0,2270013.0,-3453125.0,122925.0,76144.0,71530.0,252981.0,,,,,,,0.0,11837.0,13637.0,118682.0,-259796.0,-116882.0,-273433.0,84593.0,14532039.0,,,,,,-2193869.0,en-US,US,EQUITY,False,Delayed Quote,PREPRE,USD,PNK,GOLD ROCK HOLDINGS INC,us_market,4,Other OTC,"Gold Rock Holdings, Inc.",USD,176111,21483,0.03999,3999.0002,1.0E-5 - 0.15,-0.11000001,-0.73333335,1e-05,0.15,-10.926,0,-1.648,0.039134722,0.0008652769,0.022110209,0.025269648,0.014730351,0.58292663,1889088,-0.024271844,15,America/New_York,EDT,-14400000,False,False,33.333336,0.04 - 0.04,0.03,0.0,0.0,0,0,finmb_688331,0.04,1630511620,0.01,0.04,0.04,0.04,51732,8075.31,,,0.15,0.0,0.0391,0.0253,176.11k,21.48k,47.23M,,,,,,,,,,,,,,,,,,,,"Jun 29, 2001","Mar 30, 2002",0.00%,"-9,364.03%",-46.82%,-365.76%,71.53k,0.04,,,-5.83M,-18.52M,-10.9260,,4.61k,0,2.02M,,0.03,-1.65,-2.23M,176.57k,Value,89118,Real Estate,"Gold Rock Holdings, Inc., through its subsidiaries, develops techniques, products, and services for consumption worldwide. It focuses on the certification of the patented Z MIX material and the subsequent use of Z MIX in construction of large scale housing developments. The company also engages in the business of international forest management, including harvesting damaged forest areas and replanting with a hybrid tree. It is also involved in building wind turbines, the management of power plants, wood processing, reforestation, and construction projects. In addition, the company engages in the production, generation, transmission, and sale of electricity through power plants on tribal/Indian lands. Further, it designs, produces, and sells wind turbine equipment worldwide. The company was formerly known as Composite Holdings, Inc. and changed its name to Gold Rock Holdings, Inc. in September 2004. Gold Rock Holdings, Inc. was founded in 1993 and is based in Las Vegas, Nevada.",Las Vegas,702-579-4888,NV,United States,86400,5333 South Arville Street,702-579-4833,Real Estate—Development,Suite 206
t-1,GRHI,-4313932.0,47227500,,,-2568119,,-1701569,2251439,0,-2516942,-2516942,,-52086,,,,-866550,0,2516942,0,-51177,,-1701569,-1701569,23936690.0,6910074.0,10104167.0,18527327.0,42129.0,-9649853.0,-4224799.0,3637300.0,264410.0,2119991.0,-4143750.0,207518.0,264410.0,,135796.0,14418099.0,4790083.0,3540000.0,,,,-21153.0,748850.0,690599.0,118682.0,74658.0,-58251.0,-570092.0,265503.0,938165.0,-45849.0,-51037.0,-51667.0,5818.0,,-1855581.0,en-US,US,EQUITY,False,Delayed Quote,PREPRE,USD,PNK,GOLD ROCK HOLDINGS INC,us_market,4,Other OTC,"Gold Rock Holdings, Inc.",USD,176111,21483,0.03999,3999.0002,1.0E-5 - 0.15,-0.11000001,-0.73333335,1e-05,0.15,-10.926,0,-1.648,0.039134722,0.0008652769,0.022110209,0.025269648,0.014730351,0.58292663,1889088,-0.024271844,15,America/New_York,EDT,-14400000,False,False,33.333336,0.04 - 0.04,0.03,0.0,0.0,0,0,finmb_688331,0.04,1630511620,0.01,0.04,0.04,0.04,51732,8075.31,,,0.15,0.0,0.0391,0.0253,176.11k,21.48k,47.23M,,,,,,,,,,,,,,,,,,,,"Jun 29, 2001","Mar 30, 2002",0.00%,"-9,364.03%",-46.82%,-365.76%,71.53k,0.04,,,-5.83M,-18.52M,-10.9260,,4.61k,0,2.02M,,0.03,-1.65,-2.23M,176.57k,Value,89118,Real Estate,"Gold Rock Holdings, Inc., through its subsidiaries, develops techniques, products, and services for consumption worldwide. It focuses on the certification of the patented Z MIX material and the subsequent use of Z MIX in construction of large scale housing developments. The company also engages in the business of international forest management, including harvesting damaged forest areas and replanting with a hybrid tree. It is also involved in building wind turbines, the management of power plants, wood processing, reforestation, and construction projects. In addition, the company engages in the production, generation, transmission, and sale of electricity through power plants on tribal/Indian lands. Further, it designs, produces, and sells wind turbine equipment worldwide. The company was formerly known as Composite Holdings, Inc. and changed its name to Gold Rock Holdings, Inc. in September 2004. Gold Rock Holdings, Inc. was founded in 1993 and is based in Las Vegas, Nevada.",Las Vegas,702-579-4888,NV,United States,86400,5333 South Arville Street,702-579-4833,Real Estate—Development,Suite 206
t-2,GRHI,-4461719.0,47227500,,,-1351246,,-894696,1045452,0,-1310153,-1310153,,-43741,,,,-456550,0,1310153,0,-41093,,-894696,-894696,22959598.0,6187456.0,10217005.0,17915547.0,40065.0,-7948283.0,-4834375.0,2760000.0,189752.0,1178529.0,-4834375.0,166547.0,310276.0,18089.0,24683.0,14678724.0,4876633.0,2760000.0,132294.0,69435.0,,21153.0,-201135.0,-181877.0,19258.0,-477390.0,-58251.0,-289695.0,264701.0,268110.0,-5818.0,51037.0,-51667.0,-5818.0,,-868253.0,en-US,US,EQUITY,False,Delayed Quote,PREPRE,USD,PNK,GOLD ROCK HOLDINGS INC,us_market,4,Other OTC,"Gold Rock Holdings, Inc.",USD,176111,21483,0.03999,3999.0002,1.0E-5 - 0.15,-0.11000001,-0.73333335,1e-05,0.15,-10.926,0,-1.648,0.039134722,0.0008652769,0.022110209,0.025269648,0.014730351,0.58292663,1889088,-0.024271844,15,America/New_York,EDT,-14400000,False,False,33.333336,0.04 - 0.04,0.03,0.0,0.0,0,0,finmb_688331,0.04,1630511620,0.01,0.04,0.04,0.04,51732,8075.31,,,0.15,0.0,0.0391,0.0253,176.11k,21.48k,47.23M,,,,,,,,,,,,,,,,,,,,"Jun 29, 2001","Mar 30, 2002",0.00%,"-9,364.03%",-46.82%,-365.76%,71.53k,0.04,,,-5.83M,-18.52M,-10.9260,,4.61k,0,2.02M,,0.03,-1.65,-2.23M,176.57k,Value,89118,Real Estate,"Gold Rock Holdings, Inc., through its subsidiaries, develops techniques, products, and services for consumption worldwide. It focuses on the certification of the patented Z MIX material and the subsequent use of Z MIX in construction of large scale housing developments. The company also engages in the business of international forest management, including harvesting damaged forest areas and replanting with a hybrid tree. It is also involved in building wind turbines, the management of power plants, wood processing, reforestation, and construction projects. In addition, the company engages in the production, generation, transmission, and sale of electricity through power plants on tribal/Indian lands. Further, it designs, produces, and sells wind turbine equipment worldwide. The company was formerly known as Composite Holdings, Inc. and changed its name to Gold Rock Holdings, Inc. in September 2004. Gold Rock Holdings, Inc. was founded in 1993 and is based in Las Vegas, Nevada.",Las Vegas,702-579-4888,NV,United States,86400,5333 South Arville Street,702-579-4833,Real Estate—Development,Suite 206
t-3,GRHI,-4622654.0,47227500,,,-1244718,,-1030823,-288043,0,-1221076,-1221076,,-28306,,,,-213895,0,1221076,0,-23642,,-1030823,-1030823,17347521.0,6399506.0,10316695.0,18227287.0,22761.0,-7053587.0,,2390000.0,667142.0,1432521.0,,164805.0,733133.0,,3530.0,14939349.0,4963183.0,2390000.0,3802.0,65991.0,4627.0,-34636.0,1416080.0,1909507.0,200000.0,663547.0,-58251.0,-1093939.0,248709.0,-196099.0,-152021.0,-102840.0,-51667.0,-62337.0,293427.0,-699388.0,en-US,US,EQUITY,False,Delayed Quote,PREPRE,USD,PNK,GOLD ROCK HOLDINGS INC,us_market,4,Other OTC,"Gold Rock Holdings, Inc.",USD,176111,21483,0.03999,3999.0002,1.0E-5 - 0.15,-0.11000001,-0.73333335,1e-05,0.15,-10.926,0,-1.648,0.039134722,0.0008652769,0.022110209,0.025269648,0.014730351,0.58292663,1889088,-0.024271844,15,America/New_York,EDT,-14400000,False,False,33.333336,0.04 - 0.04,0.03,0.0,0.0,0,0,finmb_688331,0.04,1630511620,0.01,0.04,0.04,0.04,51732,8075.31,,,0.15,0.0,0.0391,0.0253,176.11k,21.48k,47.23M,,,,,,,,,,,,,,,,,,,,"Jun 29, 2001","Mar 30, 2002",0.00%,"-9,364.03%",-46.82%,-365.76%,71.53k,0.04,,,-5.83M,-18.52M,-10.9260,,4.61k,0,2.02M,,0.03,-1.65,-2.23M,176.57k,Value,89118,Real Estate,"Gold Rock Holdings, Inc., through its subsidiaries, develops techniques, products, and services for consumption worldwide. It focuses on the certification of the patented Z MIX material and the subsequent use of Z MIX in construction of large scale housing developments. The company also engages in the business of international forest management, including harvesting damaged forest areas and replanting with a hybrid tree. It is also involved in building wind turbines, the management of power plants, wood processing, reforestation, and construction projects. In addition, the company engages in the production, generation, transmission, and sale of electricity through power plants on tribal/Indian lands. Further, it designs, produces, and sells wind turbine equipment worldwide. The company was formerly known as Composite Holdings, Inc. and changed its name to Gold Rock Holdings, Inc. in September 2004. Gold Rock Holdings, Inc. was founded in 1993 and is based in Las Vegas, Nevada.",Las Vegas,702-579-4888,NV,United States,86400,5333 South Arville Street,702-579-4833,Real Estate—Development,Suite 206
