Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,currency,epsCurrentYear,market,shortName,exchange,marketState,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,exchangeDataDelayedBy,earningsTimestampEnd,epsTrailingTwelveMonths,epsForward,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GMBL,16602877.0,21716400,,,-12443080,,-12443080,7463725,3077088,-4386637,-4386637,,,,,,0,5398708,9785345,2321620,-8056443,,-12443080,-12443080,27810029.0,104417852.0,11606172.0,61405105.0,3663889.0,73011277.0,20167.0,3911248.0,-42077212.0,1729138.0,16992199.0,-955702.0,1290353.0,16880683.0,9367931.0,158141.0,-955702.0,626916.0,26291780.0,4076268.0,186898.0,5305176.0,1679097.0,-30783717.0,-69257.0,48519283.0,-655182.0,48588540.0,12730866.0,-648205.0,-4356495.0,669656.0,-1203137.0,7343621.0,-15466.0,,16923849.0,en-US,US,EQUITY,True,Delayed Quote,8.8,1630526402,-0.13000011,8.9,8.99,8.6307,271689,-5.866667,3.045,8.9822855,-0.18228531,-0.020293867,12.08971,-3.28971,-0.27210826,191104320,-51.764706,2.8899837,15,America/New_York,EDT,False,False,USD,-1.5,us_market,Esports Entertainment Group Inc,NCM,PREPRE,2,0.0,1630540740,8.8,0.0,-1.4557683,8.6307 - 8.99,8.93,0.0,0.0,10,11,finmb_269966733,NasdaqCM,"Esports Entertainment Group, Inc.",USD,385298,268842,5.25,1.4788733,3.55 - 24.48,-15.679999,-0.64052284,3.55,24.48,1580169600,1621281600,1621281600,0,1621281600,-1.529,-0.17,-14400000,0.92,,,24.48,3.55,8.98,12.09,385.3k,268.84k,21.72M,,15.09M,27.31%,11.67%,1.62M,1.98,10.15%,7.94%,1.34M,,,,,,0.00%,"Jan 27, 2020",,1:15,"Jan 27, 2020","Jun 29, 2020","Mar 30, 2021",-246.47%,-201.34%,-27.46%,-82.96%,7.98M,0.62,,,-14.7M,-19.68M,-1.53,,16.88M,0.83,907.97k,1.48,2.81,3.05,-12.27M,-15.34M,Value,89109,Consumer Cyclical,"Esports Entertainment Group, Inc. operates as an online gambling company in Canada. The company offers esports entertainment, esports wagering, and iGaming and traditional sports betting services, as well as professional and amateur esports events. It also operates vie.gg, an online esports wagering website. The company was formerly known as VGambling, Inc. and changed its name to Esports Entertainment Group, Inc. in May 2017. Esports Entertainment Group, Inc. was incorporated in 2008 and is based in Birkirkara, Malta.",Birkirkara,268 562 9111,1609372800,Malta,http://esportsentertainmentgroup.com,86400,170 Pater House,Gambling,Psaila Street BKR 9077
t-1,GMBL,599553.0,21716400,,,-7290037,,-7290037,6797803,1028515,-5769288,-5769288,,,,,,0,2362193,8131481,1333678,-1520749,,-7290037,-7290037,6474036.0,43665482.0,11540481.0,13982181.0,7630148.0,25522662.0,13580.0,2734192.0,-29634132.0,,6908592.0,-62749.0,1169405.0,5571431.0,11151621.0,26880.0,-62749.0,370004.0,10600625.0,2071257.0,314410.0,3351150.0,1056764.0,-1058766.0,-69257.0,3233118.0,-482520.0,3233118.0,-1307301.0,919.0,-3482572.0,505235.0,-87113.0,2809010.0,-10140.0,,-550996.0,en-US,US,EQUITY,True,Delayed Quote,8.8,1630526402,-0.13000011,8.9,8.99,8.6307,271689,-5.866667,3.045,8.9822855,-0.18228531,-0.020293867,12.08971,-3.28971,-0.27210826,191104320,-51.764706,2.8899837,15,America/New_York,EDT,False,False,USD,-1.5,us_market,Esports Entertainment Group Inc,NCM,PREPRE,2,0.0,1630540740,8.8,0.0,-1.4557683,8.6307 - 8.99,8.93,0.0,0.0,10,11,finmb_269966733,NasdaqCM,"Esports Entertainment Group, Inc.",USD,385298,268842,5.25,1.4788733,3.55 - 24.48,-15.679999,-0.64052284,3.55,24.48,1580169600,1621281600,1621281600,0,1621281600,-1.529,-0.17,-14400000,0.92,,,24.48,3.55,8.98,12.09,385.3k,268.84k,21.72M,,15.09M,27.31%,11.67%,1.62M,1.98,10.15%,7.94%,1.34M,,,,,,0.00%,"Jan 27, 2020",,1:15,"Jan 27, 2020","Jun 29, 2020","Mar 30, 2021",-246.47%,-201.34%,-27.46%,-82.96%,7.98M,0.62,,,-14.7M,-19.68M,-1.53,,16.88M,0.83,907.97k,1.48,2.81,3.05,-12.27M,-15.34M,Value,89109,Consumer Cyclical,"Esports Entertainment Group, Inc. operates as an online gambling company in Canada. The company offers esports entertainment, esports wagering, and iGaming and traditional sports betting services, as well as professional and amateur esports events. It also operates vie.gg, an online esports wagering website. The company was formerly known as VGambling, Inc. and changed its name to Esports Entertainment Group, Inc. in May 2017. Esports Entertainment Group, Inc. was incorporated in 2008 and is based in Birkirkara, Malta.",Birkirkara,268 562 9111,1609372800,Malta,http://esportsentertainmentgroup.com,86400,170 Pater House,Gambling,Psaila Street BKR 9077
t-2,GMBL,3346436.0,21716400,,,-1808493,,-1808493,3659926,-197683,-3857609,-3857609,,-1.0,,,,0,222392,4080001,420075,2049116,,-1808493,-1808493,6569493.0,39125131.0,8572245.0,16824521.0,6012290.0,25396766.0,12544.0,241667.0,-22344095.0,,6908592.0,30941.0,1116408.0,8885484.0,8171671.0,26880.0,30941.0,404893.0,10397380.0,948008.0,295680.0,1998610.0,-357031.0,-1120647.0,-69257.0,1024924.0,-30949.0,1024924.0,-3467823.0,-108257.0,-3263843.0,298975.0,-195213.0,-1125808.0,-2520.0,,2225709.0,en-US,US,EQUITY,True,Delayed Quote,8.8,1630526402,-0.13000011,8.9,8.99,8.6307,271689,-5.866667,3.045,8.9822855,-0.18228531,-0.020293867,12.08971,-3.28971,-0.27210826,191104320,-51.764706,2.8899837,15,America/New_York,EDT,False,False,USD,-1.5,us_market,Esports Entertainment Group Inc,NCM,PREPRE,2,0.0,1630540740,8.8,0.0,-1.4557683,8.6307 - 8.99,8.93,0.0,0.0,10,11,finmb_269966733,NasdaqCM,"Esports Entertainment Group, Inc.",USD,385298,268842,5.25,1.4788733,3.55 - 24.48,-15.679999,-0.64052284,3.55,24.48,1580169600,1621281600,1621281600,0,1621281600,-1.529,-0.17,-14400000,0.92,,,24.48,3.55,8.98,12.09,385.3k,268.84k,21.72M,,15.09M,27.31%,11.67%,1.62M,1.98,10.15%,7.94%,1.34M,,,,,,0.00%,"Jan 27, 2020",,1:15,"Jan 27, 2020","Jun 29, 2020","Mar 30, 2021",-246.47%,-201.34%,-27.46%,-82.96%,7.98M,0.62,,,-14.7M,-19.68M,-1.53,,16.88M,0.83,907.97k,1.48,2.81,3.05,-12.27M,-15.34M,Value,89109,Consumer Cyclical,"Esports Entertainment Group, Inc. operates as an online gambling company in Canada. The company offers esports entertainment, esports wagering, and iGaming and traditional sports betting services, as well as professional and amateur esports events. It also operates vie.gg, an online esports wagering website. The company was formerly known as VGambling, Inc. and changed its name to Esports Entertainment Group, Inc. in May 2017. Esports Entertainment Group, Inc. was incorporated in 2008 and is based in Birkirkara, Malta.",Birkirkara,268 562 9111,1609372800,Malta,http://esportsentertainmentgroup.com,86400,170 Pater House,Gambling,Psaila Street BKR 9077
t-3,GMBL,11392122.0,21716400,,,1867244,,1864846,2136844,0,-2136844,-2136844,,-1.0,,,,2398,0,2136844,0,4004088,,1864846,1864846,2000.0,31803491.0,1739404.0,11394122.0,927855.0,13133526.0,11233.0,500000.0,-20535602.0,,,115000.0,6833.0,12353307.0,1739404.0,,115000.0,8041.0,13116652.0,,,789891.0,-274246.0,-500000.0,-125000.0,14009547.0,-143240.0,15893815.0,12343868.0,-108257.0,-1165679.0,2119.0,-195213.0,-2547339.0,-2520.0,-1759268.0,11377248.0,en-US,US,EQUITY,True,Delayed Quote,8.8,1630526402,-0.13000011,8.9,8.99,8.6307,271689,-5.866667,3.045,8.9822855,-0.18228531,-0.020293867,12.08971,-3.28971,-0.27210826,191104320,-51.764706,2.8899837,15,America/New_York,EDT,False,False,USD,-1.5,us_market,Esports Entertainment Group Inc,NCM,PREPRE,2,0.0,1630540740,8.8,0.0,-1.4557683,8.6307 - 8.99,8.93,0.0,0.0,10,11,finmb_269966733,NasdaqCM,"Esports Entertainment Group, Inc.",USD,385298,268842,5.25,1.4788733,3.55 - 24.48,-15.679999,-0.64052284,3.55,24.48,1580169600,1621281600,1621281600,0,1621281600,-1.529,-0.17,-14400000,0.92,,,24.48,3.55,8.98,12.09,385.3k,268.84k,21.72M,,15.09M,27.31%,11.67%,1.62M,1.98,10.15%,7.94%,1.34M,,,,,,0.00%,"Jan 27, 2020",,1:15,"Jan 27, 2020","Jun 29, 2020","Mar 30, 2021",-246.47%,-201.34%,-27.46%,-82.96%,7.98M,0.62,,,-14.7M,-19.68M,-1.53,,16.88M,0.83,907.97k,1.48,2.81,3.05,-12.27M,-15.34M,Value,89109,Consumer Cyclical,"Esports Entertainment Group, Inc. operates as an online gambling company in Canada. The company offers esports entertainment, esports wagering, and iGaming and traditional sports betting services, as well as professional and amateur esports events. It also operates vie.gg, an online esports wagering website. The company was formerly known as VGambling, Inc. and changed its name to Esports Entertainment Group, Inc. in May 2017. Esports Entertainment Group, Inc. was incorporated in 2008 and is based in Birkirkara, Malta.",Birkirkara,268 562 9111,1609372800,Malta,http://esportsentertainmentgroup.com,86400,170 Pater House,Gambling,Psaila Street BKR 9077
