Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,shortName,esgPopulated,tradeable,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchangeDataDelayedBy,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,longName,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,HUSA,10756495,9923340,,,-268476,,-268476,408760,162274,-278850,-278850,,-296,,,,0,328488,607338,166214,10374,,-268476,-305677,83036959,433254,10756495,11189749,9923,-72290387,68209,3167,5271226,288057,5211579,5600562,374441,173186,171243,-114036.0,56401.0,-177031.0,4570888.0,-151179.0,6575889.0,4028666.0,-365191.0,60377.0,-37201.0,-77423.0,15109.0,-62995.0,,,5312505,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,Houston American Energy Corpora,False,False,ASE,1.85,1630526400,0.029999971,1.84,1.89,1.8,381634,PRE,0,4,1.64835,1.8 - 1.89,1.82,0.0,1.92,22,14,finmb_3158417,Houston American Energy Corp.,NYSE American,USD,1538159,253171,0.99,1.1511627,0.86 - 6.36,-4.51,-0.7091195,0.86,6.36,1596412800,1617224400,1636649940,1637013540,-0.492,1.084,1.7245715,0.12542856,0.07273027,1.870942,-0.020941973,-0.011193277,18358180,1.7066422,15,America/New_York,EDT,-14400000,0.3,,,6.36,0.86,1.7246,1.8709,1.54M,253.17k,9.92M,,9.1M,8.28%,2.86%,289.65k,0.86,3.18%,2.92%,325.69k,,,,,,0.00%,"Aug 02, 2020","Dec 14, 2010",1:12,"Aug 02, 2020","Dec 30, 2020","Mar 30, 2021",0.00%,-210.39%,-9.15%,-34.24%,733.7k,0.10,123.30%,148.37k,-1.23M,-3.67M,-0.4920,,5.27M,0.53,192.46k,1.79,19.44,1.08,-851.58k,-1.41M,Value,77002,Energy,2,"Houston American Energy Corp., an independent energy company, acquires, explores for, develops, and produces natural gas, crude oil, and condensate. Its oil and gas properties are located primarily in the Texas Permian Basin, the onshore Texas and Louisiana Gulf Coast region, and in the South American country of Colombia. As of December 31, 2020, the company owned interests in four gross wells. Houston American Energy Corp. was incorporated in 2001 and is based in Houston, Texas.",Houston,713 222 6966,TX,1609372800,United States,http://www.houstonamerican.com,86400,801 Travis Street,713 222 6440,Oil & Gas E&P,Suite 1425
t-1,HUSA,6438972,9923340,,,-2589817,,-2589817,563303,30635,-660407,-660407,,-4942,,,,0,200856,861263,170221,-1929410,,-2589817,-2648917,78453906,403447,6438972,6842421,6977,-72021911,63929,3167,1242560,231656,5204681,1374168,260405,95763,120140,-8132.0,60207.0,-244388.0,-59100.0,10670.0,6575889.0,-332215.0,-28727.0,146189.0,-59100.0,-74627.0,2418651.0,-237743.0,-621052.0,621052.0,1142512,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,Houston American Energy Corpora,False,False,ASE,1.85,1630526400,0.029999971,1.84,1.89,1.8,381634,PRE,0,4,1.64835,1.8 - 1.89,1.82,0.0,1.92,22,14,finmb_3158417,Houston American Energy Corp.,NYSE American,USD,1538159,253171,0.99,1.1511627,0.86 - 6.36,-4.51,-0.7091195,0.86,6.36,1596412800,1617224400,1636649940,1637013540,-0.492,1.084,1.7245715,0.12542856,0.07273027,1.870942,-0.020941973,-0.011193277,18358180,1.7066422,15,America/New_York,EDT,-14400000,0.3,,,6.36,0.86,1.7246,1.8709,1.54M,253.17k,9.92M,,9.1M,8.28%,2.86%,289.65k,0.86,3.18%,2.92%,325.69k,,,,,,0.00%,"Aug 02, 2020","Dec 14, 2010",1:12,"Aug 02, 2020","Dec 30, 2020","Mar 30, 2021",0.00%,-210.39%,-9.15%,-34.24%,733.7k,0.10,123.30%,148.37k,-1.23M,-3.67M,-0.4920,,5.27M,0.53,192.46k,1.79,19.44,1.08,-851.58k,-1.41M,Value,77002,Energy,2,"Houston American Energy Corp., an independent energy company, acquires, explores for, develops, and produces natural gas, crude oil, and condensate. Its oil and gas properties are located primarily in the Texas Permian Basin, the onshore Texas and Louisiana Gulf Coast region, and in the South American country of Colombia. As of December 31, 2020, the company owned interests in four gross wells. Houston American Energy Corp. was incorporated in 2001 and is based in Houston, Texas.",Houston,713 222 6966,TX,1609372800,United States,http://www.houstonamerican.com,86400,801 Travis Street,713 222 6440,Oil & Gas E&P,Suite 1425
t-2,HUSA,8759154,9923340,,,-259765,,-259765,240390,72822,-262494,-262494,,-4942,,,,0,126425,388919,53603,2729,,-259765,-329365,78184271,359787,8759154,9118943,6977,-69432094,51965,3667,1574775,171450,7192067,1670936,252273,21136,62540,-12473.0,-115050.0,-751335.0,-69600.0,668.0,6575889.0,-1089556.0,-268621.0,100149.0,-69600.0,-3704.0,9081.0,-738862.0,621052.0,-621052.0,1499486,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,Houston American Energy Corpora,False,False,ASE,1.85,1630526400,0.029999971,1.84,1.89,1.8,381634,PRE,0,4,1.64835,1.8 - 1.89,1.82,0.0,1.92,22,14,finmb_3158417,Houston American Energy Corp.,NYSE American,USD,1538159,253171,0.99,1.1511627,0.86 - 6.36,-4.51,-0.7091195,0.86,6.36,1596412800,1617224400,1636649940,1637013540,-0.492,1.084,1.7245715,0.12542856,0.07273027,1.870942,-0.020941973,-0.011193277,18358180,1.7066422,15,America/New_York,EDT,-14400000,0.3,,,6.36,0.86,1.7246,1.8709,1.54M,253.17k,9.92M,,9.1M,8.28%,2.86%,289.65k,0.86,3.18%,2.92%,325.69k,,,,,,0.00%,"Aug 02, 2020","Dec 14, 2010",1:12,"Aug 02, 2020","Dec 30, 2020","Mar 30, 2021",0.00%,-210.39%,-9.15%,-34.24%,733.7k,0.10,123.30%,148.37k,-1.23M,-3.67M,-0.4920,,5.27M,0.53,192.46k,1.79,19.44,1.08,-851.58k,-1.41M,Value,77002,Energy,2,"Houston American Energy Corp., an independent energy company, acquires, explores for, develops, and produces natural gas, crude oil, and condensate. Its oil and gas properties are located primarily in the Texas Permian Basin, the onshore Texas and Louisiana Gulf Coast region, and in the South American country of Colombia. As of December 31, 2020, the company owned interests in four gross wells. Houston American Energy Corp. was incorporated in 2001 and is based in Houston, Texas.",Houston,713 222 6966,TX,1609372800,United States,http://www.houstonamerican.com,86400,801 Travis Street,713 222 6440,Oil & Gas E&P,Suite 1425
t-3,HUSA,9079438,9923340,,,-336502,,-336502,269543,-20988,-341854,-341854,,-4942,,,,0,77928,419782,98916,5352,,-336502,-382102,78244807,520320,9079438,9599760,6960,-69172329,68938,3167,2664331,286500,6570827,2785966,239800,17432,181373,-10046.0,42166.0,-23381.0,-45600.0,-38619.0,6575889.0,-258018.0,-189037.0,92841.0,-45600.0,11754.0,39323.0,-13335.0,621052.0,-621052.0,2499466,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,Houston American Energy Corpora,False,False,ASE,1.85,1630526400,0.029999971,1.84,1.89,1.8,381634,PRE,0,4,1.64835,1.8 - 1.89,1.82,0.0,1.92,22,14,finmb_3158417,Houston American Energy Corp.,NYSE American,USD,1538159,253171,0.99,1.1511627,0.86 - 6.36,-4.51,-0.7091195,0.86,6.36,1596412800,1617224400,1636649940,1637013540,-0.492,1.084,1.7245715,0.12542856,0.07273027,1.870942,-0.020941973,-0.011193277,18358180,1.7066422,15,America/New_York,EDT,-14400000,0.3,,,6.36,0.86,1.7246,1.8709,1.54M,253.17k,9.92M,,9.1M,8.28%,2.86%,289.65k,0.86,3.18%,2.92%,325.69k,,,,,,0.00%,"Aug 02, 2020","Dec 14, 2010",1:12,"Aug 02, 2020","Dec 30, 2020","Mar 30, 2021",0.00%,-210.39%,-9.15%,-34.24%,733.7k,0.10,123.30%,148.37k,-1.23M,-3.67M,-0.4920,,5.27M,0.53,192.46k,1.79,19.44,1.08,-851.58k,-1.41M,Value,77002,Energy,2,"Houston American Energy Corp., an independent energy company, acquires, explores for, develops, and produces natural gas, crude oil, and condensate. Its oil and gas properties are located primarily in the Texas Permian Basin, the onshore Texas and Louisiana Gulf Coast region, and in the South American country of Colombia. As of December 31, 2020, the company owned interests in four gross wells. Houston American Energy Corp. was incorporated in 2001 and is based in Houston, Texas.",Houston,713 222 6966,TX,1609372800,United States,http://www.houstonamerican.com,86400,801 Travis Street,713 222 6440,Oil & Gas E&P,Suite 1425
