Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,GPDB,-12398764.0,10679200,-18656,,-7728329,,-7728329,1384521,-143624,-1528678,-1528678,,-1167804,,,,0,496653,2025331,640277,-6199651,,-7728329,-7728329,12897658.0,13534313.0,-12398764.0,275784.0,9944869.0,1135626.0,11806.0,-25308228.0,286778.0,1035.0,13376800.0,6161.0,598048.0,250800.0,50423.0,31637.0,192342.0,1235104.0,,-1043936,-272172,2016288,1034123,-328696,59808,-159239,-921190,19189,188239,-50423,-1311975,7539063,-272172,-13126000.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0099,0.980198,0.0101 - 0.76,-0.74,-0.97368425,0.0101,0.76,-1.259,51.515152,0.0132 - 0.02,0.0132,0.0,0.0,0,0,finmb_154019070,Other OTC,Green PolkaDot Box Incorporated,USD,18790,15700,-1.05,0.029886112,-0.009886112,-0.33079284,0.12593776,-0.105937764,-0.8411914,8899300,-0.01904762,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GREEN POLKADOT BOX INC,0.02,1630519576,0.0067999996,0.0132,0.02,0.0132,36850,-2.2,,,0.76,0.0101,0.0299,0.1259,18.79k,15.7k,10.68M,,,,,,,,,,,,,,,0.00%,,,1:50,"Mar 09, 2008","Dec 30, 2013","Dec 30, 2013",0.00%,-88.95%,-94.06%,,4.33M,0.39,-56.10%,674.64k,-3.74M,-13.84M,-1.2590,,1.03k,0,2.35M,,0.02,-1.05,-3.95M,4.64M,Value,84647,Consumer Defensive,29,"Green Polkadot Box Incorporated operates an online membership club that offers natural and organic food in the United States. It sells fresh and packaged food, and other products to health-conscious customers through its Web site, greenpolkadotbox.com. The company was founded in 2008 and is based in Mount Pleasant, Utah.",Mount Pleasant,801-478-2500,UT,1325289600,United States,http://www.greenpolkadotbox.com,86400,1450 South Blackhawk Boulevard,Food Distribution
t-1,GPDB,-7415015.0,10679200,7142,,-1525966,,-1525966,1658030,897449,-796789,-796789,,-255853,,,,0,1741368,2538157,843919,-729177,,-1525966,-1525966,10153727.0,8538451.0,-7415015.0,395711.0,4346817.0,1313436.0,11157.0,-17579899.0,406705.0,160274.0,8372023.0,6161.0,358876.0,547855.0,,34479.0,380581.0,973914.0,,-371233,-3617,685849,1375849,119973,500000,139141,-1233091,29066,-47284,-50423,-1311975,-493654,-3617,-7824168.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0099,0.980198,0.0101 - 0.76,-0.74,-0.97368425,0.0101,0.76,-1.259,51.515152,0.0132 - 0.02,0.0132,0.0,0.0,0,0,finmb_154019070,Other OTC,Green PolkaDot Box Incorporated,USD,18790,15700,-1.05,0.029886112,-0.009886112,-0.33079284,0.12593776,-0.105937764,-0.8411914,8899300,-0.01904762,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GREEN POLKADOT BOX INC,0.02,1630519576,0.0067999996,0.0132,0.02,0.0132,36850,-2.2,,,0.76,0.0101,0.0299,0.1259,18.79k,15.7k,10.68M,,,,,,,,,,,,,,,0.00%,,,1:50,"Mar 09, 2008","Dec 30, 2013","Dec 30, 2013",0.00%,-88.95%,-94.06%,,4.33M,0.39,-56.10%,674.64k,-3.74M,-13.84M,-1.2590,,1.03k,0,2.35M,,0.02,-1.05,-3.95M,4.64M,Value,84647,Consumer Defensive,29,"Green Polkadot Box Incorporated operates an online membership club that offers natural and organic food in the United States. It sells fresh and packaged food, and other products to health-conscious customers through its Web site, greenpolkadotbox.com. The company was founded in 2008 and is based in Mount Pleasant, Utah.",Mount Pleasant,801-478-2500,UT,1325289600,United States,http://www.greenpolkadotbox.com,86400,1450 South Blackhawk Boulevard,Food Distribution
t-2,GPDB,-7749521.0,10679200,7724,,-469131,,-469131,735807,-141063,-914845,-914845,,-121080,,,,0,853924,1768769,994987,445714,,-469131,-469131,8293477.0,11873760.0,-7749521.0,3366087.0,8388331.0,4124239.0,10935.0,-16053933.0,3377081.0,21133.0,11709351.0,,384325.0,362833.0,,42118.0,333297.0,1210322.0,,-33366,-57702,1295782,1295782,59742,500000,15682,-1222398,30251,57417,-50423,-1311975,-1677024,-57702,-11346518.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0099,0.980198,0.0101 - 0.76,-0.74,-0.97368425,0.0101,0.76,-1.259,51.515152,0.0132 - 0.02,0.0132,0.0,0.0,0,0,finmb_154019070,Other OTC,Green PolkaDot Box Incorporated,USD,18790,15700,-1.05,0.029886112,-0.009886112,-0.33079284,0.12593776,-0.105937764,-0.8411914,8899300,-0.01904762,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GREEN POLKADOT BOX INC,0.02,1630519576,0.0067999996,0.0132,0.02,0.0132,36850,-2.2,,,0.76,0.0101,0.0299,0.1259,18.79k,15.7k,10.68M,,,,,,,,,,,,,,,0.00%,,,1:50,"Mar 09, 2008","Dec 30, 2013","Dec 30, 2013",0.00%,-88.95%,-94.06%,,4.33M,0.39,-56.10%,674.64k,-3.74M,-13.84M,-1.2590,,1.03k,0,2.35M,,0.02,-1.05,-3.95M,4.64M,Value,84647,Consumer Defensive,29,"Green Polkadot Box Incorporated operates an online membership club that offers natural and organic food in the United States. It sells fresh and packaged food, and other products to health-conscious customers through its Web site, greenpolkadotbox.com. The company was founded in 2008 and is based in Mount Pleasant, Utah.",Mount Pleasant,801-478-2500,UT,1325289600,United States,http://www.greenpolkadotbox.com,86400,1450 South Blackhawk Boulevard,Food Distribution
t-3,GPDB,-7719679.0,10679200,3790,,-4355854,,-4355854,646985,68565,-612654,-612654,,-158371,,,,0,1237596,1850250,1169031,-3743200,,-4355854,-4355854,7570194.0,9695371.0,-7719679.0,1200652.0,6757274.0,1975692.0,10935.0,-15300808.0,1200652.0,5451.0,9548096.0,,356874.0,418166.0,,,390714.0,1169018.0,10994.0,147230,-5363,344169,434169,149436,90000,-143576,-572382,30444,29613,75191,-1311975,3000421,-5363,-9129930.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0099,0.980198,0.0101 - 0.76,-0.74,-0.97368425,0.0101,0.76,-1.259,51.515152,0.0132 - 0.02,0.0132,0.0,0.0,0,0,finmb_154019070,Other OTC,Green PolkaDot Box Incorporated,USD,18790,15700,-1.05,0.029886112,-0.009886112,-0.33079284,0.12593776,-0.105937764,-0.8411914,8899300,-0.01904762,15,America/New_York,EDT,-14400000,4,PNK,PREPRE,us_market,GREEN POLKADOT BOX INC,0.02,1630519576,0.0067999996,0.0132,0.02,0.0132,36850,-2.2,,,0.76,0.0101,0.0299,0.1259,18.79k,15.7k,10.68M,,,,,,,,,,,,,,,0.00%,,,1:50,"Mar 09, 2008","Dec 30, 2013","Dec 30, 2013",0.00%,-88.95%,-94.06%,,4.33M,0.39,-56.10%,674.64k,-3.74M,-13.84M,-1.2590,,1.03k,0,2.35M,,0.02,-1.05,-3.95M,4.64M,Value,84647,Consumer Defensive,29,"Green Polkadot Box Incorporated operates an online membership club that offers natural and organic food in the United States. It sells fresh and packaged food, and other products to health-conscious customers through its Web site, greenpolkadotbox.com. The company was founded in 2008 and is based in Mount Pleasant, Utah.",Mount Pleasant,801-478-2500,UT,1325289600,United States,http://www.greenpolkadotbox.com,86400,1450 South Blackhawk Boulevard,Food Distribution
